"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Chhandam School-Kathak Dance","http://www.kathak.org/site/kathak/section.php?id=9071","chhandam@kathak.org","Chitresh Das Dance Company
2325 3rd St. Suite #320","San Francisco, CA",94107,"ph: (415)333-9000","One of the world's largest classical Indian dance institutions offering the finest in cultural education and the Kathak tradition

Training in dance technique, rhythmical math, improvisation, classical Indian music  
Education in Indian history, philosophy, etiquette
Dedicated and accomplished teachers who train directly under living legend and master, Pandit Chitresh Das
Many classes and intensive courses taught by Pandit Das himself
Performance opportunities with Pandit Das' renowned choreography and world-class dance-drama productions such as The Ramayana.
The only pre-professional Kathak Youth Dance Company and leadership program outside of India with performances at prestigious venues such as San Francisco Symphony Hall and India’s National Centre for Performing Arts
Extensive formal examination process enabling students to measure progress and receive certificates for achievements.
Full dance and music immersion programs such as intensives, summer camps, and retreats
Teacher training and certification program
Training to become part of the professional and internationally touring Chitresh Das Dance Company","CA",4,"adult","y","y","n","Dance","IndianClassical",,,,,,,,360,"per_session","online registration",,"n",,,,,,
"Studio K Dance Center","no","no","11327 Oasis Rd. ,","Pinon Hills",92372,"760-868-0890","Classes in various genres of Dance, Theatre, Fitness and Well Being, and Vocal training.","CA",,"adult","y",,"y","Dance","Jazz","Tap","Ballet","HipHop","Lyrical",,,,,,"not online","https://www.facebook.com/StudioKDanceCenter/timeline","n","n","n",,,,
"Puahi's Hawaiian Tahitian Dance","http://www.puahis.com/home.html","puahi.dancers@gmail.com","PUAHI'S POLYNESIAN DANCERS
27574 COMMERCE CENTER DRIVE
SUITE #132","TEMECULA",92590,"(951) 676-HULA (4852)","Puahi's Polynesian Dance Company has been teaching both Hula and Tahitian dance and culture in the Temecula Valley since 1995.  It has been our privilege and honor to be able to represent two beautiful dance cultures of Hawai'i and Tahiti.  

Puahi has been dancing since she was ten years old and continues to perfect her skills in both Tahitian and Hula by attending various workshops in Hawai'i and the Mainland.  She is currently working on her Uniki under the direction of Kumu Hula Rich Pedrina of Hālau Hula ‘O Nāpunaheleonāpua, www.richpedrina.com
 
Over the last several years, Puahi's continues to enter her dancers in both Hula and Tahitian Dance Competitions.  Puahi’s students have been blessed to be a part of the King Kamehameha Hula Competition under the direction of Kumu Rich Pedrina of Halau Hula ‘O Nāpunaheleonāpua.  We have also been blessed to compete in several Tahitian Dance competitions through Southern California in both Group and Solo competitions.","CA",4,"adult","y","n","n","Dance",,,,,,,,,50,"per_month","online registration","no","n",,,,,,
"Noelani's Halau","http://www.hulatraditions.com/","rkellett10@yahoo.com","1663 Industrial Ave. Ste. C","Norco",92860,"951-280-0300","Noelani's Halau offers dance lessons from the islands of Hawaii, Tahiti, Samoa and New Zealand.  Join us each week for a fun and educational filled hour learning the dances, stories, culture and language of the beautiful dances of the Polynesian Islands.","CA",6,"adult","y","n","n","Dance",,,,,,,,,40,"per_class","not online","https://www.facebook.com/groups/383495775109515/","n","n","n",,,,
"Spotlight School of Music","http://www.spotlightschool.com/programs.html",,"9891 Irvine Center Drive, Suite 110
12352 Brookhurst Street,","Irvine, Garden Grove","92618
92840","(714) 539-4041","Spotlight School of Music brings art education to the community, enriches students’ lives with music, dance, art, and martial arts, builds character, and prepares students for a successful well-rounded future. Performing in public, competing in auditions, and giving back to the community, are all part of Spotlight School of Music’s important values.","CA",,"adult","y","n","n","Dance","HipHop","Piano","Voice","Guitar",,,,,10,"per_class","online form","https://www.facebook.com/spotlightirvine/info","n","n","n",,,,
"Dancin Feet","no","no","701 W Olive Ave","El Centro",92243,"(760) 353-7760","At Dancin’ Feet we offer the opportunity to explore the joy of movement and music. It is our desire to provide a fun and safe environment for children ages 4 to 99 to learn the art of dancing.Let them praise His name with dancing. Psalm 149:3


Description
Dance instruction
 Ballet and Tap: must be 4 yrs old by Dec 31
 Jazz: must be 9 yrs old by Dec 31
 Modern: must be 13 yrs old by Dec 31","CA",4,"adult","y","n","n","Dance","Tap","Jazz",,,,,,,,,"not online","https://www.facebook.com/pages/Dancin-Feet/170279169653940?sk=info","y","n","n",,,,
"Healy Irish Dance Studio","http://healyirishdancers.com/","info@healyirishdancers.com","85 Ardmore Rd,","Larkspur",94939,"(415) 924-9100","As a young girl Ann grew up in a house full of Irish music and she was introduced to all types of dance, though none interested her as much as Irish Dancing. The Healy School became involved in all the Irish activities in the San Francisco area and represented Ireland at the 1936 World Fair on Treasure Island. Ann helped her father with classes and eventually took over the school.  

 

Ann continues to teach beginner level dancers, but now shares the responsibility of running the school with her daughter Patti Ann and her granddaughters Christina and Alisa. Between the 3 generations, they offer dance lessons seven days a week and have expanded their school beyond San Francisco to Marin and Sonoma counties.

 

The Healy Irish Dance Studio gained recognition internationally for team dancing in 2004 with the Senior Ladies Ceili placing 14th at the World Championships in Belfast, Ireland, ranking them 2nd in the United States. In 2006, the Junior Girls Ceili placed 5th at the World Championships in Belfast, ranking them the top North American team. Throughout the years, several Healy soloists have recalled at the World Championships, including John O'Malley who was the first dancer from the Western Region to ever recall at the World Championships. More recent solo medalists include Noreen Boyle TCRG, Christina Ranum, Hannah Kathleen Williams, and Jackie Flynn.","CA",,"adult","y","n","n","Dance",,,,,,,,,,"no","not online","https://www.facebook.com/pages/Healy-Irish-Dance-Studio/265647370680?rf=160132674016417","n","http://healyirishdancers.com/Healy%20Website%20Images/Extras/healy-logo.jpg","http://healyirishdancers.com/Healy%20Website%20Images/Nationals%202006%20Website/U16-10th.jpg",,,,
"Cloverdale School Of Dance","http://www.cloverdaledance.com/","clovdance@sbcglobal.net","123 East First St.","Cloverdale,",95425,"(707)894-4057","Cloverdale School of Dance opened it's doors in 1988, and has been pleased to train dancers of all levels and abilities for over 26 years. We strive to offer the very best in dance education in a nurturing and creative environment. Dance is our passion, and our goal is to continue to provide our students with excellence in training while furthering performing arts education within the community.


 Our experienced, enthusiastic, and caring staff of instructors are eager to meet the needs of every student. Each intructor takes great pride in incorporating strong technical lessons, innovative choreography, and creativity to each and every class. Our staff believes strongly that quality dance training teaches life lessons that go beyond a student's time at the studio itself. Our staff is committed to working on the whole person, as well as the dancer. The development of high self esteem in each of our students is our number one priority. Passing on a love of dance to our student is what our instructors strive to achieve.

​

Cloverdale School of Dance is open 6 days per week, with a broad schedule of classes to choose from. Progressive level classes in ballet, pointe, tap, jazz, hip hop, musical theater, creative movement, and children's gymnastics are offered to students ages 2 through adult. Performance opportunities are available to all students. These performances give every student an opportunity to shine and create memories that last a lifetime!","CA",2,"adult","y","n","n","Dance","Jazz","Tap","HipHop","Ballet",,,,,,"no","online contact form","https://www.facebook.com/pages/Cloverdale-School-of-Dance/189228071126549","n","n","n",,,,
"Footworks Youth Ballet","http://footworksyouthballet.org/",,"1594 Saratoga Ave","Ventura",93003,"(805) 676-1600","Footworks Youth Ballet, Inc.‘s purpose is to provide educational opportunities to young people in the art of ballet.

More specifically, the mission of Footworks Youth Ballet is to develop and enhance every student’s love and appreciation for the art of ballet; to do so by offering all students an opportunity to perform in live ballet performances; to provide serious ballet students who aspire to a professional career in dance the opportunity to develop their artistry and refine their ballet technique while performing on stage; to encourage young aspiring choreographers by providing nurturing workshops and choreographic opportunities under the mentorship of dance professionals; to widen life’s opportunities for all students and encourage them to meet life’s challenges and opportunities with confidence and self-esteem developed through the discipline of ballet.","CA",4,18,"y","n","n","Dance","Ballet",,,,,,,,,"no","online","https://www.facebook.com/oakleyballet","n","n","n",,,,
"Dance 10 Dance Center","http://mydance10.com/#/classes-schedules/4565830450","info@mydance10.com","10853 Folsom Blvd Ste A","Rancho Cordova",95670,"(916) 851-9161","Quality is a very important word to all of us at Dance 10!  Providing the highest quality dance education is paramount and our primary goal for each and every student.  Serving the Major Sacramento Area, and conveniently located in Gold River near Highway 50 and Sunrise Blvd. We provide a positive learning experience, fostering the love of the arts, the appreciation of music and movement and developing the creative mind, in every class. We're proud to offer a safe space where it's all about dance!


Some of our students are looking for recreation and leisure…we offer that.  Some are looking for great exercise…we offer that.  Others for friendship and socialization…we offer that. And some are searching to fulfill their dreams of a lifelong career in dance…we offer that as well! 


Dance education is more than just shuffles, pirouette turns, or X jumps.  We believe the benefits include the exploration of self by building a healthy self esteem and a positive self image as an outcome.  Our students range in age from 3 years old to…well our adults would rather we not share their age…let’s just say you’re never too old to dance!  Our current schedule includes classes in Jazz, Tap, Ballet, Contemporary, Hip Hop, and Pointe, as well as a speciality class for children with Special Needs. We have started a Tumbling class and many new classes.   


Our year-round schedule gives every student the opportunity to work towards an end goal. Our schedule includes performance opportunities for every student, as part of our June Recital, our Fall Presentation, or our Holiday Open House.  This format allows for our students to all work together in order to create a master piece which takes their learning to the stage. Anytime is a good time to enroll, and our summer Recital is the perfect event to showcase the accomplishments achieved throughout the year!


Want more?  Our Wee Tens, Junior,  Senior , and DX dance companies give the “serious about dance” student additional opportunities for expanded learning and performance.  Our Studio has performed for the Sacramento Kings, News 10, and they are looking forward to once again being a part of the California State Fair.","CA",,,"y","y","n","Dance","Ballet","Jazz","Tap","HipHop",,,,,15,"perclass","online PDF","https://www.facebook.com/pages/Dance-10-Dance-Center/90465712406","y","n","n",,,,
"Touch Of Class Dance Academy","http://touchofclassdanceacademy.com/schedule.html","tocdance1@aol.com","10761 Woodside Ave","Santee",92071,"(619) 449-5598","One of T.O.C.'s major goals is to create strong bodies as well as strong minds. Dancing teaches physical coordination, increases socialization skills, and provides healthy competition. Constructive and positive guidance, combined with exercise, gives children a strong foundation for confidence in themsevles. We believe dancing also provides the perfect environment for stressing the importance of team work, while encouraging individual achievement.

        Dance is an art, and like any art, there are rules and techniques. If learned properly, there is no limit to what a young dancer can achieve. For these reasons, we are pleased to offer you a variety of beginning through advanced level classes in Ballet, Hip-Hop, Jazz, Lyrical, Modern, Tap, and Tumbling. We also have Combination classes for children ages 3 - 6 and Creative movement for children ages 2 - 3.","CA",2,,"y","n","n","Dance","Ballet","Jazz","Tap","HipHop",,,,,60,"per_month","online PDF","Touch Of Class Dance Academy","n","n","n",,,,
"Space School Of Performing Arts & Cultural Education","http://www.spaceperformingarts.org/classes-2/","office@spaceperformingarts.org","SPACE Office
508 W Perkins","Ukiah",95482,"707-462-9370",,"CA",2.5,18,"Y","n","n","Dance",,,,,,,,,,,"online PDF","https://www.facebook.com/UkiahSPACE",,"n",,,,,
"Dance Co","http://www.danceco.biz/contactus.html","kfeder72@gmail.com","1585 B St","Hayward",94541,"510-582-1216","Dance Co. is a school for dance and fitness.  We offer all popular forms of dance at convenient times to best suit our students.  We offer Cardio Kickboxing/Boot Camps and Personal Training to assist in attaining and maintaining your fitness goals.","CA",3,,"Y","Y","N","Dance","Jazz","Tap","HipHop",,,,,,30,"per_month","not online",,,,,,,,
"The Dance Scene Studio","http://danceeureka.com/DanceSceneStudio/Home.html","dancescenestudio@gmail.com","1011 H St","Eureka",95501,"(707) 442-7770","The Dance Scene Studio is starting a great Dance Club for ages 7-12 with classes in Ballet, Jazz, Creative Movement, Tap, and Hip Hop. 


Taking dance classes increases flexibility, coordination, strength, technique, balance, posture, and grace. We emphasize the development of rhythm and creative movement while increasing retention and comprehension of complex instructions, creative expression, and music appreciation. Improve self-control, group cooperation, and respect for others' abilities and boundaries!","CA",3,,"Y","N","N","Dance","HipHop","Ballet","Tap",,,,,,40,"per_month","not online","https://www.facebook.com/pages/The-Dance-Scene/422819141108469","N","https://scontent-b-pao.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/1472072_818015444922168_644125281633737628_n.jpg?oh=08e029ca60945ad8747f28117e2f5f99&oe=54DD9FC5","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1545042_817594551630924_8256642050541258603_n.jpg?oh=4d12f975c45101a3d2b3338aab8ff01f&oe=54E6468F&__gda__=1425346482_9632b1ef9ddbf4fc2abaf1ff3e092d83",,,,
"Vivo Dancesport Center Inc","www.vivodance.com","vivofrontdesk@yahoo.com","17130 Colima Road","Hacienda Heights",91745,"(626) 965-6595","All Vivo instructors are former competitors or are currently participating regularly in major Championships. This means that Vivo regularly invites the best coaches from the United States and around the world to work with the instructors. Alan believes that this ensures that Vivo teachers are up to date with the most recent developments in technique, style and choreography; Therefore, ensuring that Vivo can serve the students, on any level, from beginner to professional, in the best possible way. With those principles in place, Vivo Dancesport Center and its instructors has been the recipient of countless Scholarship awards, Championship awards, ""Supreme"" awards, ""Top studio"" awards and ""Top Teacher"" awards.","CA",,,"Y","N","N","Dance","Ballroom","Latin",,,,,,,,,,,,,,,,,
"Sue B Dance Co","http://suebdancecompany.blogspot.com/",,"2525 N. Lake Ave. Ste. 3","Altadena",91001,"(626) 797-1837","Not just another dance studio...we're a family.","CA",2.5,,"Y","N","N","Dance","Ballet","Tap","HipHop",,,,,,15,"per_class","not online","https://www.facebook.com/SueBDanceCo/info","N","https://scontent-a-pao.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/533029_400905803255640_525217227_n.jpg?oh=23f00657b51807d728449b56b688e22f&oe=54E6B142","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/550476_437460549600165_1605876409_n.jpg?oh=896a47f189342cf31fb763294d672175&oe=54DB1A7D&__gda__=1423565228_93bc22babf860af6e6b744776bd488f0",,,,
"Michelle's Dance X-Plosion","http://www.mdxdance.com/",,"2865 Grove Way","Castro Valley",94546,"(510) 247-9022","We are a family oriented studio where realizing the natural talent of your child is our passion. We believe everyone can be a great dancer if they have the right teachers and inspiration. We dedicate ourselves to providing both by creating a positive, fun environment which encourages great performance and rewards great achievement.","CA",6,,"Y","N","N","Dance","Tap","Lyrical","Jazz",,,,,,46.5,"per_month","online contact form","https://www.facebook.com/MichellesDanceXPlosion","N","https://scontent-a-pao.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/167894_187590817918857_704039_n.jpg?oh=5dba19c370c5cf16d7e826c67990894e&oe=54F5D037","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10441254_815333471811252_5425133793420236077_n.jpg?oh=7e3277f10942832a138937273c2aa95c&oe=54E1C0A4&__gda__=1423488146_0d667e0b5e56c365e057196927f9c6e1",,,,
"Diana's Dance Co","http://dianasdanceco.com/",,"29683 New Hub Dr Suite H","Menifee",92584,"(951) 301-3881","Diana’s Dance Company continues to grow and appreciates your continued support. Serving area dancers for over 15 years and look forward to another season of providing you with quality dance instruction and entertainment for the inland area. Experience makes all the difference.

We provide Lyrical, Jazz, Tap, Hip Hop and Ballet dance classes for ages 18 months – adult. Serving Menifee, Canyon Lake, Lake Elsinore, Murrieta and the surrounding areas.

The DDC dance season runs August through June! In order for your dancer(s) to get the maximum benefit of their dance experience, we highly recommend dancing the full year! Registration following the Christmas recital is subject to availability and the level of dance appropriate for your child may not be available!","CA",1.5,,"Y","N","N","Dance","Tap","Ballet","Jazz","HipHop","Lyrical",,,,,,"not online","https://www.facebook.com/dianasdancecompany","Y","https://scontent-b-pao.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10419415_10152496925724400_5345860198416185341_n.jpg?oh=9512b6b35efe9c6895601f4744fa0a69&oe=55203A7B","https://scontent-a-pao.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1897855_10152291602564400_612214526_n.jpg?oh=6b493f05348c19d78b0721122e30ab33&oe=54D1A7BC",,,,
"Camarillo Academy of Performing Arts","http://camarilloacademy.com/",,"2520-A Las Posas Rd.","Camarillo",93010,"805) 383-6446","Since 1999, it has been our privilege and pleasure to bring the performing arts to students in Ventura County. With a state-of-the-art facility featuring over 10,000 square feet of learning space and a professional faculty with vast teaching and performing experience, we are excited to offer many different opportunities for growth and enrichment.

Our own resident company, Young Dance Artists, offers dancers the opportunity to perform and compete thought-provoking and entertaining works of art both locally and nationally.","CA",3,"Adult","Y","N","N","Dance","Tap","Ballet","HipHop","Lyrical",,,,,,,"online","https://www.facebook.com/CamarilloAcademy","Y","https://scontent-b-pao.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10534061_10152228114539157_1506039253400213305_n.jpg?oh=067a674d81d7ad226bf9a5178e135697&oe=54E2E915","https://scontent-a-pao.xx.fbcdn.net/hphotos-xpa1/t31.0-8/10496068_10152453535184157_4197018959444578937_o.jpg",,,,
"Cruz Dance & Entertainment Std",,,"5679 Hollister Ave","Santa Barbara",,"(805) 964-1590",,"CA",,,"Y",,,"Dance",,,,,,,,,,,"not online","https://www.facebook.com/pages/Cruz-Dance-Entertainment-Studio/487193704647991","N",,,,,,
"Km Dance Arts","http://www.kmdancearts.net/","kmdanceinfo@yahoo.com","6104 San Juan Ave Suite 1","Citrus Heights",95610,"916-723-3400","KM Dance Arts Studio is known throughout the region for our quality instruction and dedication to the art of dance. We have been in business for over 20 years! The goal of our team of well-qualified, enthusiastic instructors is to teach each student excellence and precision in technique within a positive, encouraging environment. Whether you like to dance for fun or are passionate about a career in the dance world KM offers classes to help you learn, grow, and LOVE dance.We offer a wide variety of classes for everyone – from the preschooler to the serious, pre-professional performer. Our schedule includes a full repertoire of core dance classes in tap, jazz and ballet, as well as specialty classes such as lyrical, hip hop, stretch and tone, contemporary and theatre dance. Evening adult classes are available too!At KM, dance isn’t only a workout for the mind and a creative outlet for the soul, it also helps build confidence, coordination and poise. Proper dance instruction produces a stronger dancer and reduces the risk of injury. Even though our students have a great time here at KM, you can be confident that the instruction they receive is always based on our award-winning attention to detail and technique.","CA",4,"adult","Y",,,"Dance","Tap","Ballet","Jazz","Contemporary","HipHop",,,,55,"per_month","not online","https://www.facebook.com/km.d.arts/photos/a.291737890965873.1073741825.291737857632543/291737894299206/?type=1&theater","Y","http://www.kmdancearts.net/wp-content/uploads/2013/08/kmweblogo1.png","https://scontent-a-pao.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/935881_291737894299206_1608137603_n.jpg?oh=7b452afdf684ea850f8e5d04a64efae6&oe=54DFE7B4",,,,
"Ballet Repertory Theatre","http://www.orangecountydancecenter.com/ClassSchedule.php","ocdancecenter@aol.com","16161 Springdale Street","Huntington Beach",92605,"714-846-0215","Orange County Dance Center has been training dancers both young and old for over forty years.

Once again under the ownership of Anthony and Terri Sellars, Orange County Dance Center provides a warm, supportive atmosphere for all students. We offer classes in multiple dance disciplines for all ages and experience levels. Come try a class and bring the love and joy of dance into your life!","CA",3,"adult","Y","N","N","Dance","Ballet","Jazz","Tap","Lyrical","HipHop",,,,16,"per_class","not online","https://www.facebook.com/balletrepertorytheatre","Y",,,,,,
"The Pretenders Studio","http://www.thepretendersstudio.com/Home.html","lisa@thepretendersstudio.com","1635 16th Street","Santa Monica",90404,"(310)450-1800","The Pretenders Studio “Dance For A Difference” Mission: The Pretenders Studio is a community service based, dance/enrichment program. Our mission is to bring together a group of technically superior, passionate, positive, highly skilled, experienced teachers to guide our members through a meaningful and well-rounded dance education. We focus on creating and building upon a solid foundation of technique in each dance style. We promote and foster the growth of each dancer on an individual level. We work to bring to life the language of dance in a way that teaches our students about what it means to be effective communicators, reliable and dependable team players, confident and flexible individuals, devoted and well structured members, open minded and creative artists, critical thinkers, rhythmic and spatially aware movers, healthy and physically strong athletes, self reflective and respectful people, graceful and powerful members of our community. 

For us, at The Pretenders Studio, it is this powerful and essential combination of art, sport, physical and emotional nonverbal communication that brings out the best in our dancers and brings about positive change in our community. We teach our dancers to listen for and find the heartbeat of the music and connect it to their own heartbeat. We encourage students to stretch outside of their comfort zones to find expressive quality of movement and to search within themselves to find the strength, power, confidence, and individuality to share with their classmates and ultimately with an audience. 

We expect members to approach their art with open heartedness, support, love and full commitment. We expect members to be honest and to have fun! We enforce the notion that dance is not about attaining perfection but rather about investing in the process and therefore, our measure of success is in witnessing how far we have come and how much progress we have made both individually and collectively. Holding members, teachers, and families of The Pretenders Studio accountable to these core values is what makes it possible for us to grow, improve, dance to our greatest potential, and “Dance For A Difference”.","CA",6,18,"Y","Y","N","Dance","Ballet","Jazz","Bollywood","HipHop","Ballroom",,,,325,"per_session","not online",,,,"http://www.thepretendersstudio.com/FAQ_files/shapeimage_3.png",,,,
