"provider_name","website","email","street_address","city","state","Zipcode","Metro","Sales person","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead","NOTES"
"Rock-N-Water Christian Adventure Camps","https://www.rocknwater.com/","fun@rocknwater.com","6580 State Highway 49","Lotus","CA",95651,"NorCal","Hailey","(800) 738-0555","Rock-N-Water is a Christian adventure camp in California for church youth groups, individuals, families, retreats, and summer camps. We use adventures like whitewater rafting, rock climbing, and backpacking to build team work and help youth realize God through adventures in His Creation. Activities include: Whitewater Rafting, Outdoor Rock Climbing, Backpacking, Canyoneering, Team Challenges, White Water Inflatable Kayaking and more.",5,99,"No","Yes","No","Adventure/Outdoors","Christian","Rafting
Wilderness","Rock Climbing","Hiking","Nature Programs",,,,89,"Per_day","Phone or email","https://www.facebook.com/rocknwater","Yes","https://www.rocknwater.com/images/local/logo-wide-white.png","https://scontent-a-lga.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10407780_10152485756724006_492929937029107920_n.jpg?oh=e1a29db8e5f6390e8b463c213b7f4c16&oe=551D82C8",,,,,
"Dreamcatcher Ranch Girls Riding Camp","http://www.dreamcatcheranch.com/","equicamp@aol.com","8434 Grizzly Flat Road","Somerset","CA",95684,"NorCal","Hailey","(530) 642-0322","Dreamcatcher Youth Camp provides endless activities and fun for all campers ages 9-18 who love horses. Camps are available all summer in one and two week sessions, and some mini-camps during off season (weather depending). The camp fee includes all activities, lessons and meals. Due to the strong camp interest primarily from girls, the residential camp is open to girls only.Under  instruction, each camper will have the opportunity to build  her riding skills using balance seat on the lunge line, arena course riding, gymnastics grids, basic vaulting, and, when ready, will experience riding a cross-country course at their level.  Prior to any riding activity safety checks for both rider and horse equipment are performed.",9,18,"Yes","Yes","No","Horseback Riding",,,,,,,,,1100,"Per_session","Online Form","https://www.facebook.com/pages/Dreamcatcher-Ranch-Girls-Riding-Camp/498860456838826","No","N/A","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/312474_498861113505427_311323457_n.jpg?oh=c3ed3fb08028514f86cd43f002358d19&oe=54DF4F9F&__gda__=1423697441_1b4a835af33b4c88ceb41f7e33cff240",,,,,
"San Diego Danceworks","http://sddanceworks.com/",,"2653 Ariane Dr","San Diego","CA",92117,"SoCal","Jeana","(858) 272 7456","San Diego Danceworks has been inspiring students to dance since 1990.  We believe that dance as an art form develops the whole person. Our teachers are compassionate and knowledgeable, respecting individual body types and developmental needs. We encourage creativity and expression of feelings, giving students a confidence in their ability to think for themselves and bring their ideas into actions. We offer classes in ballet, tap, jazz, hip hop, gymnastics and more. Danceworks’ is a studio that welcomes families.  We have a viewing area for our children’s classes where siblings are welcome to come and play. We perform throughout the year at community events such as the Celebrate Dance Festival and at Fall Festivals at area public schools.  Our year culminates in a performance at the San Diego County Fair and in an Annual Recital at the Jewish Community Center.",2.5,99,"Yes","Yes","No","Dance","Ballet","Pointe","Jazz","Tap","Hip Hop","Gymnastics","Academics",,50,"Per_class","Jackrabbit","https://www.facebook.com/sddanceworks","No","http://sddanceworks.com/wp-content/uploads/2014/06/sd-danceworks-300x274.png","http://sddanceworks.com/wp-content/uploads/2014/09/IMG_14671-1024x768.jpg",,,,,
"Phoenix Ranch School & Camp","http://www.phoenixranch.org/","info@phoenixranch.com","1845 Oak Road","Simi Valley","CA",93063,"SoCal","Jeana","(805) 526-0136","The Phoenix Ranch is a private independent school dedicated to academic excellence and the desire to meet the needs of each child.  The Phoenix offers a myriad of programs to meet the needs of our students and families. Extended care hours assist working parents, and winter, spring, and summer day camps present families with wonderful options during times when school is out of session. The Phoenix Ranch Summer Day Camp is an outstanding program for children ages 5-13 years old. Well-supervised activities include go carting, sports, archery, crafts, ceramics, swimming and more. The American Camp Association accredits our summer camp.",4,18,"Yes","Yes","No","Academics","Archery","Creative Arts","Swimming","Sports","Ceramics",,,,260,"Per_session","PDF","https://www.facebook.com/phoenixranchsummercamp","No","http://phoenixranchcamp.org/wp-content/uploads/2014/03/logo-for-camp-website.png","http://phoenixranchcamp.org/wp-content/uploads/2014/03/DSCF5538.jpg",,,,"Yes",
"Metro Dance, Incl","http://www.metrodancesd.com/",,"5304-B Metro St","San Diego","CA",92110,"SoCal","Jeana","(619) 299-6387","METRO DANCE OFFERS INSTRUCTIONAL DANCE CLASSES FOR AGES 2 - ADULT  IN A WIDE VARIETY OF STYLES FROM BEGINNING THRU ADVANCED AND COMPETITION LEVELS.",2,99,"Yes","Yes","Yes","Dance","Ballet","Pointe","Tap","Jazz","Contemporary","Hip Hop","Cheerleading","Breakdance",56,"Per_hour","Paypal","https://www.facebook.com/pages/Metro-Dance/82246965815","No","http://www.metrodancesd.com/sitebuilder/images/metro_dance_logo_clear_final-549x247.jpg","N/Ahttps://scontent-b-lga.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/295335_444976608921727_303474854_n.png?oh=e1ee944aaf66978cfb4a863221772f7c&oe=54E773BA","Two locations in San Diego",,,"Yes",
"Cali-Camp","http://www.calicamp.com/",,"1717 Old Topanga Canyon Road","Topanga","CA",90290,"SoCal","Jeana","(310) 455-0404","Nestled in a wondrous natural world in the heart of rock-lined Topanga Canyon, Cali Camp is a welcome kids camp adventure in Los Angeles. A place to roam streams, meadows and oak trees. Forget the city – enter the new world. Established in 1955, our iconic summer camp and year-round day camps welcome boys and girls, ages 3 to 14, to the Santa Monica Mountains. Our staff holds hundreds of years of combined experience. Cali Camp is a place of ultimate fun. Yet, activities – from rock climbing for kids to art, from skateboard camp to equestrian camp – only launch every camper’s experience. In a transcendingly-beautiful sky-ceilinged land, campers reclaim their connection to the environment and its springboard for their imaginations. Welcome to the best summer camp in Los Angeles!",3,14,"No","Yes","No","Sports","Swimming","Archery","Adventure/Outdoors","Creative Arts","Horseback Riding","Skateboarding","Nature Programs","Rock Climbing",109,"Per_day","CampBrain","https://www.facebook.com/CCBBR?ref=br_tf","Yes","https://scontent-b-lga.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/295335_444976608921727_303474854_n.png?oh=e1ee944aaf66978cfb4a863221772f7c&oe=54E773BA","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10568934_671251092960943_639229795507350160_n.jpg?oh=08565031e1c11a87eec823679712e658&oe=54DBDF8D&__gda__=1424885580_35b517404d73a0d6800005bf3252152c",,,,"Yes",
"Summer Art Academy","http://summerartacademy.com/","thebigcheese@summerartacademy.com","4130 Greenbush Ave.","Sherman Oaks","CA",91423,"SoCal","Jeana","818-386-1108","The Summer Art Academy has many unique summer programs designed to open minds and change lives including Art Camp, Art Camp 101, Teen Camp, Cooking Camp and Clay Camp. Your kids will enjoy painting, learning the culinary arts, working with clay and most importantly having fun! Camps are available for ages 5-16.",5,16,"No","Yes","No","Creative Arts","Ceramics","Cooking
Crafts","Drama/Theater",,,,,,568,"Per_session","unclear","https://www.facebook.com/pages/The-Summer-Art-Academy/148846131815188","No","http://summerartacademy.com/images/indexheader.jpg","http://summerartacademy.com/data/images/index1.jpg","Mulitple Locations.",,,"Yes","Registration is currently closed."
"Alpha Omega Summer Camps","http://www.alphaomegasummercamp.com/","info@alphaomegasummercamp.com","1286 University Avenue Suite 727","San Diego","CA",92103,"SoCal","Jeana","(619) 327-9503","Alpha Omega Summer Camp is a fun day camp for children ages 6-17, where campers dive into subjects that they are passionate about or want to explore. Campers choose from a selection of creative skills taught by experienced instructors. They also develop their teamwork skills through specialized activities, while creating strong connections with peers who share their interests. We have teamed an innovative, creative, and ultra-fun curriculum along with a top notch team of artists. The program was designed and consulted by local educators, to uncover and maximize your child’s natural gifts and abilities. This will be a camp like no other, a program that parents can be proud of and an unforgettable experience for our campers.",6,17,"No","Yes","No","Martial Arts","Fencing","Dance","Science/Technology","Cooking
Crafts","Creative Arts","Sports","Adventure/Outdoors",,250,"Per_session","PDF","https://www.facebook.com/alphaomegasummercamp?fref=ts","N/A","N/A","http://alphaomegasummercamp.com/images/IMG_9398.jpg",,,,"Yes",
"Outpost Summer Camps","http://www.outpostsummercamps.com/","info@outpostsummercamps.com","13446 Poway Road #240","Poway","CA",92064,"SoCal","Jeana","(858) 842-4900","Outpost Summer Camps (OSC) offers ACA accredited Summer Day Camp programs and school-year seasonal programs located in the north inland ""I-15 corridor"" of San Diego, California. Our traditional summer camp programs are for children aged 3 - 14, split into three camps: Pre Camp (ages 3-5), Day Camp (grades 1-5), and Senior Outpost (grades 6-9). Our Day Camp and Senior Outpost programs are based at Canyonside Community Park in Rancho Penasquitos, adjacent to Los Penasquitos Canyon Preserve, a 3700 acre wilderness preserve jointly operated by the City and County of San Diego. Our Pre Camp program is located at North City Presbyterian Church in Poway.",3,14,"No","Yes","No","Adventure/Outdoors","Creative Arts","Rock Climbing","Sailing","Kayaking",,,,,240,"Per_session","Unclear","https://www.facebook.com/OutpostSummerCamps","Yes","N/A","http://www.outpostsummercamps.com/images/pc1.JPG","Misc locations","K",9,,
"Newport Sea Base","http://www.newportseabase.org/",,"1931 West Coast Highway","Newport Beach","CA",92663,"SoCal","Jeana","949.642.5031","The Newport Sea Base is a place where sunlight, sailboats and sea lions are part of the day. Our desire is to inspire a love for the marine environment in the hearts of youth. Since 1937, the Newport Sea Base has provided fun and valuable educational maritime-based programs to all youth. Year-round, girls and boys learn oceanography, marine biology, environmental science, boating safety, dinghy and keelboat sailing, canoeing, kayaking, motor boating, and other aquatic-related subjects.",6,10,"Yes","Yes","No","Adventure/Outdoors","Sailing","Kayaking","Marine Science",,,,,,,,"unclear","https://www.facebook.com/newportseabase","Yes","N/A","N/A","Newport Sea Base",,,"Yes",
"Special Spirit Inc.","http://www.specialspirit.org/","info@specialspirit.org","9889 Helen Avenue","Shadow Hills","CA",91040,"SoCal","Jeana","(323) 428-5005","Special Spirit is an equine therapeutic center where children and adults become empowered through horse-related activities. Special Spirit's vision is to make equine therapeutic activities accessible to all. Special Spirit offer riding lessons at Moonshadow Ranch for siblings and able-bodied individuals.  We offer English & Western beginning riding lessons for children ages 7 and up with our instructor Amy Molina. All lessons include Horsemanship 101. We take pride in creating a safe, educational, and fun riding environment for the equestrian enthusiast.",7,99,"Yes","No","No","Horseback Riding","Intensive Therapy",,,,,,,,50,"Per_class","unclear","https://www.facebook.com/pages/Special-Spirit-Inc/93423144861","No","N/A","http://www.specialspirit.org/uploads/3/9/3/6/3936974/5707920_orig.jpg","Moonshadow Ranch",,,"Yes",
"C.O.D.E.S","http://www.codesschool.com/","codes@milehighpines.com","42739 State Hwy 38","Angelus Oaks","CA",92305,"SoCal","Jeana","(909) 794-2824","We offer educational outdoor science camps for schools in the San Bernardino National Forest. Our program, developed by Dr. Rick Oliver, was originally designed and is still used at an Outdoor Science School in Northern California. Our program is the same loved and successful program that has been running since 1999. Since being developed for Mile High Pines camp, the program has been modified to teach students about the unique ecosystems in the San Bernardino National Forest. Students also learn important lessons on the environment, pollution, biology, geology and more. All of our classes are designed in close alignment with the State Science Framework.",12,18,"No","Yes","No","Academics","Science","Math","Adventure/Outdoors","Rock Climbing","Archery","Performing Arts","Geology","Biology",190,"Per_session","online form","https://www.facebook.com/milehighpines","Yes",,"https://scontent-b-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10491978_670826369637945_5669246898853573458_n.jpg?oh=de16b29c1f49db10342cd80466ef2672&oe=54D9B407","Mile High Pines Camp",,,"Yes",
"Camp Gilligan","http://www.campgilligan.com/","info@campgilligan.com","P.O. Box 10663","Fullerton","CA",92838,"SoCal","Jeana","714 204 1264","Camp Gilligan is a Christian day camp that believes that every child should experience camp. When Kids come to camp they want to have fun. Parents may send them to camp for many other reasons but the kids come back for one reason…they want to have fun! At Camp Gilligan we provide an atmosphere of fun for all kids ages 6-12. We offer different sports, activities, crafts, music and exciting learning opportunities in a safe environment.",6,12,"No","Yes","No","Sports","Music","Creative Arts","Hiking","Adventure/Outdoors","Martial Arts","Christian",,,,,"EventQ","https://www.facebook.com/CampGilliganChristianDayCamps","No","http://www.campgilligan.com/wp-content/themes/theme1238/images/test.png","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/417513_335976449823521_1270477379_n.jpg?oh=f2054b755b9604916daa350c02fc61f5&oe=54E2C88A&__gda__=1424492035_6c849c36bed678e4b225beefe6414ec7","Craig Regional Park",,,,"Prices not listed until you register a child."
"Rainbow School","http://www.rainbowschoolsb.com/","rainbow.school1@verizon.net","5689 Hollister Ave. Ste. B","Goleta","CA",93117,"SoCal","Jeana","805-964-4511","The Rainbow School offers a well supervised, age appropriate environment where children develop their learning and socialization skills, as well as fulfill their need for physical activity and self control. Rainbow School Summer Camp is an all day or half day camp for children Pre-K and up, starting June through August. Daily field trips and activities will vary from week to week and all trips and activities are designed to be age appropriate.",3,10,"No","Yes","No","Drawing and Painting","Creative Arts","Ceramics","Sculpture","Sewing","Cooking
Crafts","Sports",,,,,"Phone or email","N/A","N/A","http://www.rainbowschoolsb.com/images/page_topleft.jpg","N/A",,,,"Yes",
"Galvan Soccer Academy","http://www.gsakickers.com/","info@gsakickers.com","405 S. Santa Anita Avenue","Arcadia","CA",91006,"SoCal","Jeana","(626) 566-4655","Would you like your kid to have more confidence on the field? Give them a solid foundation to build their confidence and skill while playing the game they love. Enroll them in GSA's program! GSA provides quality training to soccer players of all ages and all skill levels. Have specific areas that need improvement? We offer affordable and personalized training sessions to groups and one on one sessions.",1.5,17,"Yes","Yes","No","Soccer",,,,,,,,,35,"Per_class","Phone or email","N/A","N/A","N/A","N/A","Arcadia County Park & Arcadia High School",,,"Yes","No pictures large enought"
"Launch Soccer","http://www.launchsoccer.com/","INFO@LAUNCHSOCCER.COM","1703 AVENIDA ENTRADA","San Dimas","CA",91773,"SoCal","Jeana","(626) 318-7835","Launch Soccer Inc. was founded to provide youth soccer players an environment to grow as a player and a person through training and competing against players of similar ability and physical maturity. Launch Soccer Camps are considered the #1 camps in Southern California. Using Professional Staff we provide a fantastic learning environment for each player, still keeping the atmosphere challenging and fun.",4,14,"Yes","Yes","No","Soccer",,,,,,,,,99,"Per_session","Demosphere","https://www.facebook.com/launchsoccersport","No","https://scontent-a-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1656265_250798398414595_354226469_n.jpg?oh=bf5f23f415caf24a8e80d37780e781cb&oe=54D556CA","https://scontent-b-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10352294_275906025903832_1286686184895004317_n.jpg?oh=a688a43400993334c3dc15aec87a92e9&oe=54E7096E","La Canada High School Stadium",,,,
"Rancho Linda Mio","http://www.rancholindamio.net/","rancholinda1550@yahoo.com","1550 Tierra Rejada Road","Moorpark","CA",93065,"SoCal","Jeana","805-368-4518","Rancho Linda Mio offers Cowboy Camp for children ages 7-13. Each camp day will include: proper equine grooming, handling, and riding instruction, arts and crafts, and a lesson on roping our stationary cow and just plain horsing around.",7,13,"Yes","Yes","No","Horseback Riding",,,,,,,,,325,"Per_session","Phone or email","https://www.facebook.com/rancholindamio","No","N/A","http://www.rancholindamio.net/yahoo_site_admin/assets/images/photo-3.242132146_std.JPG",,,,"Yes",
"Active Kidz Camp","http://www.activekidzcamp.com/","info@Activekidzcamp.com","13570 Eldridge Ave","Sylmar","CA",91342,"SoCal","Jeana","1-888-484-CAMP","Active Kidz is a co-ed multi-sport and Activities camp offering one week sessions to campers 4.5 to 14 years old. Active Kidz provides a safe, active environment to encourage physical, social, and emotional growth for a lifetime of success. Active Kidz offers sports and games to meet the interest and skill levels of all campers. Campers enjoy playing soccer, basketball, volleyball, baseball, archery, swimming and many other indoor and outdoor games, activities, and field trips.",4.5,14,"No","Yes","No","Sports","Swimming","Soccer","Tennis","Basketball","Cheerleading","Dance","Volleyball","Baseball",120,"Per_session","online form","https://www.facebook.com/ActiveKidzCamp","No","http://static.wixstatic.com/media/df8ad9_4ce6ec062aaa457e8a8454a19f8d6454.gif_srz_p_755_273_75_22_0.50_1.20_0.00_gif_srz","https://scontent-b-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10408051_680349328686399_572834599853156839_n.jpg?oh=e0085fe723ba2e36d24af6e72a96b3fa&oe=54F53A88",,,,,
"Music with Malia & Friends","http://musicwithmalia.com/",,"924 Chapala","Santa Barbara","CA",93101,"SoCal","Jeana","(805) 637-3150","Malia Maurer has been teaching music for over 10 years. Her emphasis included piano, early childhood education, and songwriting. Malia has witnessed time and again immediate effects of music and the long-term positive impact on her students lives. It is a powerful way to express oneself and a useful tool to build focus. Music strengthens mental capacity of one's logical and spatial understanding. Malia believes that music is for everyone and she looks forward to helping you get started on your musical journey!",6,13,"Yes","No","No","Music","Piano","Guitar","Voice","Drums",,,,,30,"Per_class","online form","https://www.facebook.com/malia.maurer.1?fref=ts","N/A","http://musicwithmalia.com/assets/header.png","https://scontent-a-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1497567_1374264332827929_826961281_n.jpg?oh=efcf100ac816999a829bebae2e069a7f&oe=54D18828",,,,"Yes",
