"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url",
"Temecula Dance Company","http://www.temeculadancecompany.com/","info@temeculadancecompany.com","29955 Technology Road","Murrieta",,"(951) 699-9952","Temecula Dance Company was established in 1992 and is the largest dance studio in Riverside County.  Three locations serve over 2500 dancers ages 9 months to adult with over 35,000 square feet and 21 dance rooms.  Instruction includes beginning to advanced levels in tap, jazz, ballet, and hip hop, in addition to combo classes, tiny tots and wee ones.","CA",1,,"yes",,,"Dance","Ballet","HipHop","Jazz","Tap","Voice","Acting",,,61,"per month","phone","https://www.facebook.com/tdanceco?ref=br_tf","yes","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/p417x417/220636_202520529790308_3331899_o.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/198276_410665692309123_2138034438_n.jpg?oh=7117ae6daba3f0c94107b203d0a6a97c&oe=551E0EAE&__gda__=1424041767_bd0c73ed76eff4702970449ebee93f51",
"Temecula Dance Company","http://www.temeculadancecompany.com/","info@temeculadancecompany.com","32625 Temecula Parkway","Temecula",92590,"(951) 699-9952","Temecula Dance Company was established in 1992 and is the largest dance studio in Riverside County.  Three locations serve over 2500 dancers ages 9 months to adult with over 35,000 square feet and 21 dance rooms.  Instruction includes beginning to advanced levels in tap, jazz, ballet, and hip hop, in addition to combo classes, tiny tots and wee ones.","CA",1,,"yes",,,"Dance","Ballet","HipHop","Jazz","Tap","Voice","Acting",,,61,"per month","phone","https://www.facebook.com/tdanceco?ref=br_tf","yes","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/p417x417/220636_202520529790308_3331899_o.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/198276_410665692309123_2138034438_n.jpg?oh=7117ae6daba3f0c94107b203d0a6a97c&oe=551E0EAE&__gda__=1424041767_bd0c73ed76eff4702970449ebee93f51",
"Music & The Mirror Balletcenter West","http://www.musicandthemirror.com/","Michelle@MusicandtheMirror.com","1619 W Lewis St","San Diego",92103,"(619) 692-1461","The Music and the Mirror Balletcenter West dance program, specializing in ballet, is one designed to guide students from their very first acquaintance with dance through a full course of study.","CA",3,,"yes",,,"Dance","Ballet",,,,,,,,50,"per month","phone","https://www.facebook.com/Musicandthemirror","no","http://www.musicandthemirror.com/Letterhead%20draft1_files/image002.gif","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10437446_603484909758674_8756708935470289139_n.jpg?oh=d34a55d1837a0f13b351886033a7c1f7&oe=551E10AD",
"Linda Vega Dance Studio","http://vegaflamenco.com/","vegaflamenco@gmail.com","215 W Victoria St","Santa Barbara",93101,"(805) 963-0073","The Linda Vega Dance Studio in Santa Barbara has contributed toward shaping the course of Spanish dance by presenting innovative music, costumes and choreographies, while preserving the traditional spirit of flamenco. This studio has produced thirty-two Spirits and Junior Spirits in the twenty-five years since its inception. In 2007, Vega was given a Lifetime Achievement Award from the city of Santa Barbara, as well as best dance studio in the Santa Barbara News Press “Reader’s Choice” awards, and finalist in the Independent’s “Best of” for best dance troupe in 2007, 2008 and 2014.","CA",3,,"yes",,,"Dance","Latin",,,,,,,,70,"per month","phone","https://www.facebook.com/lindavegadancestudio","no","http://vegaflamenco.com/wp-content/uploads/2014/09/cropped-cropped-vgheader.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1501841_554236281326095_853011287_n.jpg?oh=ebe88022f6217b2cf687af9502d0cf47&oe=54D68470",
"T & Company Dance Center Inc","http://www.tandcodance.com/TandCoVEr1/Welcome/Welcome.html","Theresa@tandcodance.com","2360 S Bascom Ave","Campbell",95008,"(408) 371-8266","It is the goal of T & Company Dance Center Inc. to provide an environment for young dancers to grow as performers and individuals.  We believe that every person should enjoy the benefits of dance in a safe and healthy atmosphere where fun and positive reinforcement are practiced.  Every student, from beginning to advanced has the opportunity to receive the highest level of instruction from talented and experienced instructors. T & Company Dance Center Inc. will allow students to develop their technique and confidence while learning to respect one another as both individuals and a team.","CA",2,,"yes",,,"Dance","Ballet","Jazz","Lyrical","Tap","HipHop",,,,35,"per month","phone","none","n/a","http://www.tandcodance.com/TandCoVEr1/Welcome/Welcome_files/droppedImage.jpg","http://www.tandcodance.com/TandCoVEr1/Welcome/Welcome_files/droppedImage_1.jpg",
"Melodie's Dance Theatre","http://melodiesdance.com/","Heidi email: dancnkitty@yahoo.com Kimmi email: barnettbunch4@msn.com","3381 Cerritos Ave","Los Alamitos",90720,"(562) 431-8582","Welcome to Melodies Dance Theatre - one of Orange Counties longest running dance studios!","CA",2,,"yes",,,"Dance","Ballet","Jazz","Lyrical","Tap","HipHop",,,,,,"phone","https://www.facebook.com/pages/Melodies-Dance/106485852731834?sk=info","no","http://melodiesdance.com/sitebuilder/images/kid_and_tap-163x123.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/v/t34.0-12/1655021_10202994454519162_1972500285_n.jpg?oh=08ddc8a358b9bfa7142cb9eac1686f4c&oe=546EE37C&__gda__=1416535341_576f3d9212c158d50361c048887f5ba0",
"Alameda Ballet Academy","http://www.alamedaballet.com/","admin@alamedaballet.com","1402 Park Street","alameda",94501,"510.337.1929","Dance is an art form created for presentation before an audience and is a skill that needs to be practiced to be done well, just like anything else. Students are in encouraged to perform in both our Nutcracker and the school's Spring Recital. A passion for performing and the skills it involves represents an important part of the performing arts education that we strive to teach and we hope that it will serve them well throughout their lives. Our students are the most precious seeds that we can plant to ensure a garden of arts for the future and to develop the audiences of tomorrow. Students who wish to participate in a performance must, along with a parent or guardian, read and sign a Performance Agreement. The Performance Agreement includes a commitment to attend all relevant classes, rehearsals and performances. In signing a Performance Agreement, both students and parents are agreeing to take their commitment to ABA seriously and to make classes, rehearsals, and performances a top priority in their lives.","CA",3,,"yes","yes",,"Dance","Ballet","Jazz",,,,,,,65,"per month","online","https://www.facebook.com/pages/Alameda-Ballet-Academy/142206725830877","no","i cant seem to grab the logo","http://www.alamedaballet.com/images/contact.jpgoh=95f1557e7ceb2a63a690ca96906f960a&oe=54E1BC75&__gda__=1424096203_988dbf1295662e3f6e3b1db8be9937c6",
"Danspace","http://www.danspace.com/","info@danspace.com","473 Hudson St","Oakland",94618,"(510) 420-0920","Danspace offers a positive learning experience in ballet.
in a caring and supportive environment.","CA",3.5,,"yes","yes","yes","Dance","Ballet",,,,,,,,265,"semi annual","online","https://www.facebook.com/pages/Danspace-A-Ballet-School/104746142216?ref=ts","np","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1660224_10151868781962217_1092212936_n.jpg?oh=93d1e16288df0c7bc1e40447a314b368&oe=54DA7758","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/943564_10151406740977217_1054819376_n.jpg?oh=fdb8ae461c5002dd0a4f232e6c432d61&oe=551736CB&__gda__=1423016070_423c561f6cc2151de5da5e8357a460a3",
"Vallejo Ballet","http://vallejoballet.com/","??","441 Tuolumne St","Vallejo",94590,"(707) 557-5979","ages 2-adult ballet, tap and gymnastics","CA",2,,"yes",,,"Dance","Ballet","Tap",,,,,,,59,"per month","phone","not active","n/a","http://vallejoballet.com/files/6014/1625/6402/VallejoBallet3.jpg",,
"Oakley Ballet Center","http://www.oakleyballet.com/","not listed","1594 Saratoga Ave","Ventura",93003,"(805) 676-1600","The Children’s Division is part of the non-formal program at the Oakley Ballet Center, which includes Pre-Ballet and Level C1 emphasizing creative movement, expression, and a strong foundation in classical ballet technique.
Formal Division

Level 1 ages 7-8
Level 2 ages 8-9Oakley191-001
Level 3 ages 9 – 11
Level 4 ages 11 – 15
Level 5 ages 11 and up
Level 6 ages 12 and up
Level 7 Advanced ages 12 and up

Ages are approximate and placement in all levels is at the discretion of the school director and staff. Audition and a placement class are required for all students to attend at this level.","CA",4,16,"yes",,,"Dance","Ballet",,,,,,,,60,"per month","phone","https://www.facebook.com/oakleyballet","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1930796_41297519084_4528_n.jpg?oh=559686c060edd6c555d3d8f5c1c763cf&oe=55131D64","http://www.oakleyballet.com/wp-content/uploads/2012/11/Oakley375-001.jpg",
"Enchanting Children's Parties","http://shoshannaparty.com/","dance@shoshannaland.com","P.O. Box 1086","Arcata","(707) 616-6876",95518,"Alice in Wonderland!
Take a journey through the looking glass and visit the magical world of Wonderland where games of croquet with the Queen of Hearts, a Mad Hatter Tea Party, silly games and crafts, a puppet theater and an obstacle course will leave all members of the party smiling like a Cheshire Cat. This is our newest party that we're so excited about. Remember, you can also celebrate your UNBIRTHDAY any time of the year!

Fairy or Fairy Princess or Fairies & Wizards or Fairies & Pirates
Fairy parties are set to a delightful Celtic soundtrack and include dancing and magic at every turn. Pixies and elves are invited to don thier wings and explore our enchanted realm, sit on the magical mushroom, play games, and dance in circles till they collapse.

Princess or Princesses & Knights
Your little one will feel like royalty in this party designed to pop everyone into a fairy tale story. We have ballgowns galore for little ones to enjoy, knight costumes and capes, wizard wear, even dragon capes to get everyone into the mood. A royal tea partywith real china is a highlight of this party, and a quest is always a great way to burn off cake.

Under The Sea or Mermaids & Pirates
This party is truly beautiful, with an elaborate world created at the studio that pulls you into an under the sea fantasy. Treasure hunts, games of starfish-starfish-shark, and doing the penguin dance all might happen at this gorgeous party.

Belly Dance
This resplendant party includes a little performance and dance lesson with Shoshanna, 2004 Belly Dancer of the Year! Veils, drums, finger cymbals, and super cool dress-up make this party something to shimmy about. We bring out the brass, red velved, and peacock feathers for a really special look. Add a henna artist for an even more amazing experience.

Dress-Up or Glamour Fashion Show
Lights, camera, action! Do nails, hair, and fancy face paint make-up, get glamourous and make a runway fashion show at this fun party.

Super Hero
We go Marvel and DC with a vintage comic book feel, capes, masks, and activities including a Super Hero training camp obstacle course! We also design shields and masks as a craft. Great for boys and girls.

Dance Dance Dance Party!
Sometimes all you need is a place to DANCE! The focus of this party is on plenty of time with our party lights on and room to move. The mirrorball spins, the disco lights whirl, and bringing your favorite tunes is excellent. We usually go with stars and rainbow colors for this one.",,,,,,"yes",,,,,,,,,,,,"phone","https://www.facebook.com/shoshannaparty","no","http://shoshannaparty.com/images/header11.jpg","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/421906_418814364871401_1826039109_n.jpg?oh=f6ab4fd27cb360a26c9b0555651dc5ae&oe=54D7DA84",
"Hidden Valley Music Seminars-An Institute Of The Arts","http://www.hiddenvalleymusic.org/","info@hiddenvalleymusic.org","88 West Carmel Valley Road","Carmel Valley",93942,"831.659.3115","Hidden Valley Music Seminars was born out of a deep concern for the development of extraordinary talented young artists. Programs in the field of music, theatre and dance have occupied most of the time and energy of the staff and faculty of the Institute since its inception in 1962. Hidden Valley was begun in Southern California, and named for its first site in the Angeles National Forest. The first several years of its existence, the staff concentrated on the high school Summer Music Seminars. The programs eventually outgrew the original location, and in 1967 moved its operations from Southern California to the Monterey Peninsula. For two years, the summer programs were held on the campus of the Robert Louis Stevenson School in Pebble Beach, and for three years, they were conducted on the campus of the York School in Monterey. Meanwhile, the administration continued its intensive search for a permanent home. Finally, in 1972, Hidden Valley moved to its present location in Carmel Valley: a rustic, 10-acre site nestled in the foothills of the Santa Lucias.

In an effort to broaden the scope of its program, Hidden Valley began exploring the area of theatre, first with a children's theatre group, then with a series of musicals presented at the Sunset Center in 1972 and 1973. These explorations, coupled with a desire on the part of the administration to develop Hidden Valley into a year-round Institute of the Arts, eventually led to the establishment of the Opera Ensemble in 1974. Since that time, the Opera program has grown tremendously, becoming one of the most widely-respected training ensembles in the country.","CA",3,,"yes","yes",,"Dance","Tap","Ballet","Drama/Theater",,,,,,70,"per session","pdf","https://www.facebook.com/HiddenValleyMusicSeminars","yes","http://www.hiddenvalleymusic.org/webart/xlogo.png.pagespeed.ic.b1ksND55Xn.webp","http://www.hiddenvalleymusic.org/webart/customtext/36a.jpg",
"East West Music And Dance","http://eastwestmusicanddance.com/","??","7283 Coronado Dr","San Jose",95129,"408-865-0654","East West Music and Dance offers age-appropriate group classes in jazz, ballet, tap, contemporary, lyrical and hip hop, with a focus on age-appropriate choreography and costuming. We also offer private lessons in piano, flute, violin, guitar, ukulele, clarinet, saxophone and voice. Babies 4 months to ages 4 years old can enjoy The Music Class™, a music and movement program with parent participation.","CA",,,"yes","yes",,"Dance","Tap","Ballet","Lyrical","Jazz","HipHop","Contemporary",,,74,"per month","phone","https://www.facebook.com/eastwestmusicanddance","no","http://eastwestmusicanddance.com/wp-content/uploads/2013/09/EastWestMusicDance_Logo.png","http://www.eastwestmusicanddance.com/wp-content/uploads/2013/10/event2.jpg",
"Deane Dance Center","http://www.deanedancecenter.com/","??","3385 Lanatt St # D","Sacramento",95819,"(916) 453-0226","We are the premier ballet school in Sacramento, California. Deane Dance Center and The Crockett-Deane Ballet was founded by Barbara Crockett and her daughter and son-in-law; San Francisco Ballet dancers, Allyson Deane and Don Schwennesen. Deane Dance Center is the prestigious founding school of the Sacramento Ballet. Since 1994, the school has won many nationally recognized awards including our most recently received award from the Regional Dance America/Pacific (RDA/P) for an original choreographed ballet. 

From ages 3.5 through 19 years old & adults, our ballet school follows a syllabus developed by Deane and Barbara Crockett which combines the best of different techniques including Cecchetti & Vaganova. Opportunities for more accomplished dancers include the Judson Project which is an advanced training tool for the serious dancer and opportunites to participate in the non-profit Crockett-Deane Ballet Company. Guest teachers and master classes are also included in our curriculum. Annual Ballet Performances highlighting dancers from the school and the pre-professional company also include local participants from the Sacramento Ballet Company and other professional dancers from around the world. In addition, adult level classes are available for ballet, jazz, dance conditioning, pilates, yoga & meditation, personal training and zumba.","CA",3.5,,"yes",,,"Dance","Ballet",,,,,,,,,"??","phone","https://www.facebook.com/deanedancecenter","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/38504_106078926113852_6864234_n.jpg?oh=0c514489dcbf2574c3c3be1b5b514311&oe=5515EF94","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/318168_346298608758548_1636874774_n.jpg?oh=205bc00c851f1f5b77851308dc5b9c4c&oe=551B8C43",
"Dancemaker","http://dancemakercovina.com/","tressilian@verizon.net","177 E Front St","Covina",91723,"(626) 332-0175","At Dancemaker, your dreams become a reality. Take advantage of professional teachers, personal attention and a flexible class schedule.","CA",3,,"yes",,,"Dance","Tap","Ballet","Pointe","Jazz","Voice",,,,,"??","phone","https://www.facebook.com/pages/dancemaker/123424097089","no","http://dancemakercovina.com/communities/4/000/001/379/144//images/5134671_259x109.png",,
"Artistic Dance Academy","http://www.artisticdancemurrieta.com/classes.html","adamurrieta@msn.com","41695 Elm St # 402","Murrieta",92562,"(951) 677-0167","Our focus is on your childs Artistic Development. Technique, strength, discipline and the pure enjoyment of dance is taught. We are repected, authentic and professionally trained.","CA",3,,"yes",,,"Dance","Tap","Ballet","Pointe","Jazz","Lyrical","HipHop",,,45,"per month","webform","https://www.facebook.com/ArtisticDanceAcademyMurrieta","no","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/198680_439137172794478_1704588996_n.jpg?oh=651edb26239616da7ef7727f64a61dfe&oe=54DFC20A&__gda__=1424277123_1e89ec7106d56e9ff1f01ce167be5d43","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/p417x417/391743_439053349469527_1327615603_n.jpg?oh=ac30f9d4c35be7bd9db500e124e54541&oe=54E1435F&__gda__=1423249528_4ec6b98855a010615ff50a4f14e0260a",
"Orange County Song & Dance Co","http://www.orangecountysonganddance.com/ocsd/HOME.html","ocsdc@verizon.net","5860 Westminster Blvd","Westminster",92683,"(714) 897-4475","Orange County Song & Dance Company was founded in 1981 to provide youngsters an opportunity to perform while studying to become well-rounded singers, dancers, and actors. With positive instruction, appropriate material, and great choreography, kids can be good performers, professional and entertaining! It is with this philosophy, Orange County Song & Dance Company has trained hundreds of children to work in professional and community theater productions, the music industry doing both voice overs and vocal recording, in videos, as amusement park entertainment, or to be outstanding members of their school show choirs, drama departments, and song and cheer squads.","CA",2,,"yes","yes",,"Drama/Theater","Voice","Dance","Jazz","Lyrical","HipHop",,,,,"??","phone","https://www.facebook.com/pages/Orange-County-Song-Dance/149759221731823?rf=165587536829093","no","http://www.orangecountysonganddance.com/ocsd/CLASSES_files/newOCSDlogo3.png","http://www.orangecountysonganddance.com/ocsd/HOME_files/shapeimage_8.png","sorry no good photos"
"Tustin Dance Center","http://www.tustindance.com/about_us.html","info@tustindance.com","14662 Franklin Ave","Tustin",92780,"(714) 544-3072","Our program begins at newborn with our research-based, award winning Kindermusik classes specializing in child development. Activities enhance language and literacy skills, cognitive skills, and social emotional development, while providing the perfect foundation for formal music and dance lessons. Upon graduating from the Kindermusik program at age 7, students can read and play several songs on the Glockenspiel, the Dulcimer, and the Recorder.
Toddler, Youth and Adult programs are offered in Mommy and Me, Ballet, Tap, Jazz, Contemporary, Hip-Hop, Booty Ballet, and Pilates classes. Our talented and professional teaching staff is dedicated to providing dancers of all ages and abilities with the highest level of technique in a positive, family-friendly environment. Every dancer who walks through our doors is given the opportunity to advance their individual skills and meet their individual goals.","CA","newborn",,"yes","yes",,"Dance","Tap","Ballet","Voice","Pointe","Contemporary",,,,62,"per month","webform","https://www.facebook.com/pages/Tustin-Dance-Center/214206598761344?rf=121947561200041","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1463956_214209018761102_461598426_n.png?oh=ff03c196da695d84317243ca9a9599a1&oe=54E285D4","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10402581_315281828653820_7424479458799039794_n.jpg?oh=615221b81266d5d653846c79fbc28029&oe=54DD3B02",
"San Pedro City Ballet","http://sanpedroballetschool.com/","spballetschool@sbcglobal.net","1231 S Pacific Ave","San Pedro",90731,"(310) 732-1861","San Pedro Ballet School has a class for every dancer! Students are placed in classes based on age, maturity, and skill level. Need help picking the best class for your dancer? Please call us at 310-732-1861.

All students have the opportunity to perform in the School’s annual spring recital. This exciting production features costumes, music and professional lighting and is held at a local theater. Most rehearsals are held during regular classes (starting at the intermediate level, dancers may need to attend additional rehearsals).

Students age five and up are invited to participate in the San Pedro City Ballet’s annual production of the Nutcracker. This magical production has been a staple of the South Bay community since [year?] and features lavish costumes and set design as well as guest appearances by professional dancers. Auditions are held in September and dancers must attend weekly rehearsals in addition to regular classes.","CA",2.5,,"yes",,,"Dance","Ballet","Contemporary","Pointe","Jazz","Tap","HipHop",,,,"??","phone/pdf","https://www.facebook.com/pages/San-Pedro-City-Ballet/180083222026820","yes","http://sanpedroballetschool.com/wp-content/uploads/2012/11/logo_white_blueglow_w-dancer3.jpg","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10346360_763468087021661_2995085563213542881_n.jpg?oh=b5571ac47165d7f57c29ad40a0323009&oe=54D5DB7B&__gda__=1427915175_c18f8423043de066737d04f6523e5a3f",
"A Time To Dance - San Diego","http://www.atimetodancesandiego.com/","??","3982 30th Street","San Diego",,"(619) 297-6401","A Time To Dance, Inc Is San Diego's #1 Latin Dance Studio! Founded In 2002, ATTD has 1 location, a team of dedicated, highly trained Instructors, performers and choreographers and a hands down amazing atmosphere!","CA",5,18,"yes",,,"Dance","HipHop",,,,,,,,15,"per class","phone","https://www.facebook.com/ATimeToDanceStudios","yes","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/p417x417/27836_119636224724313_6191067_n.jpg?oh=2763cbbb197f273dd9da74b4de466651&oe=54D54773&__gda__=1427496251_adb52b762921a1944a0c41e64b2cd715","http://www.atimetodancesandiego.com/images/hiphop.jpg","not the best picture!! sorry!"
"Classical Ballet Academy","http://www.classicalballetacademy.org/Site/HOME.html","For Crystal Peterson:    cbaballet@yahoo.com
For Star Peterson:        cbaballetacademy@gmail.com","787 W Woodbury Rd Ste 6","Altadena",91001,"(626) 797-0961","The Classical Ballet Academy was established in 1990 by Crystal Peterson as the most pivotal point in her quest to freely provide clear and sound information 
to all students, regardless of age or reason for study. Whether preparing for a professional career or just dancing for the joy of it, CBA is a positive working 
environment that empowers students with confidence, creativity and individuality, while fostering appreciation and respect for the art of ballet and fellow dancers.

CBA located in Altadena at the boarders of La Canada and Pasadena, is the premier ballet academy in the area, focusing exclusively on ballet.
Students of CBA have been invited to dance in prestigious schools world wide including the School of American Ballet, Kirov Ballet, American Ballet Theater, Royal Ballet, Bejart Ballet, Joffrey Ballet, San Diego Ballet, Ballet Chicago, Miami City Ballet and Alonzo Kings Lines summer program.
New students are welcome to begin their training at CBA at any time. Please call or email and leave a good time for the administration to return your message and 
answer any questions you may have and/or set up an appointment to watch a class, take a trial class or register and take a placement class.","CA",4,,"yes","yes",,"Dance","Ballet","Pointe",,,,,,,270,"per session","phone","https://www.facebook.com/pages/Classical-Ballet-Academy/142470612470513","no","http://www.classicalballetacademy.org/Site/HOME_files/shapeimage_1.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/1044536_575772725806964_1141362189_n.jpg?oh=a13b5c752cc90437c23a64c149dfbec4&oe=54DF2E65",
"Peninsula School Of Performing Arts - Lunada Bay Studio","http://www.pspadance.com/","pspadance@gmail.com","2325 Palos Verdes Dr W","Palos Verdes Estates",90274,"(310) 544-2166","Peninsula School of Performing Arts was formed to bring high quality dance to children and adults in the Peninsula and South Bay areas. Beginning with Pre-Ballet, Pre-Tap & Hippity Hop, children are given a strong foundation of dance techniques mixed with creative movement and dramatic expression.
 
At age 5, the program expands to include full hour ballet, tap, hip hop & jazz classes. Based on the knowledge that ballet is necessary for all dancers, we encourage everyone to stay in ballet throughout their dance training. For those students who show a talent and love of ballet, we offer a full ballet program from elementary to professional level. In addition, serious ballet students ages 11 and have the opportunity to be coached for YAGP competition, and the leading roles in our Sping Ballet productions and the Nutcracker.
 
We are pleased to offer a performing and competition team open to the students of PSPA. All dancers attend classes at PSPA and are invited to audition for any of the teams in PSPA Dance Company. The PSPA Performing Tap & Jazz Groups & Jazz Competition Team is under the direction of Marie Sperber, Tita Boulger, Lindsay Turner, and Sarah Peroni. We provide a safe and nurturing environment for young dancers that wish to take their dancing to the next level. Advanced dancers are pushed to their highest levels through coaching and competitions.
 
We round out our dance program with tap, ballet, yoga, stretch, and jazz for adults and summer workshops for adults and children.","CA",3,,"yes","yes",,"Dance","Ballet","Pointe","Tap","Jazz","HipHop","Contemporary",,,50,"per month","online","https://www.facebook.com/dancepspa","no","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/532215_10151610841293767_1578684546_n.png?oh=f776b5a1219ed05c339481a0e98842bb&oe=551C3BE4&__gda__=1427222591_3d6282163e341775398cecc88e131cd6","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/1385554_10151936588593767_519953396_n.jpg?oh=8f3710767e03d27968ae5d75f1bf01b3&oe=55185777&__gda__=1423089466_7802029b86e96adfdc7a08ad33df0058",
"Peninsula School Of Performing Arts - Peninsula Center Location","http://www.pspadance.com/","pspadance@gmail.com","Peninsula Center Studio
700 Silver Spur Road
Suites 106 & 107","Rolling Hills Estates",90274,"(310) 544-2166","Peninsula School of Performing Arts was formed to bring high quality dance to children and adults in the Peninsula and South Bay areas. Beginning with Pre-Ballet, Pre-Tap & Hippity Hop, children are given a strong foundation of dance techniques mixed with creative movement and dramatic expression.
 
At age 5, the program expands to include full hour ballet, tap, hip hop & jazz classes. Based on the knowledge that ballet is necessary for all dancers, we encourage everyone to stay in ballet throughout their dance training. For those students who show a talent and love of ballet, we offer a full ballet program from elementary to professional level. In addition, serious ballet students ages 11 and have the opportunity to be coached for YAGP competition, and the leading roles in our Sping Ballet productions and the Nutcracker.
 
We are pleased to offer a performing and competition team open to the students of PSPA. All dancers attend classes at PSPA and are invited to audition for any of the teams in PSPA Dance Company. The PSPA Performing Tap & Jazz Groups & Jazz Competition Team is under the direction of Marie Sperber, Tita Boulger, Lindsay Turner, and Sarah Peroni. We provide a safe and nurturing environment for young dancers that wish to take their dancing to the next level. Advanced dancers are pushed to their highest levels through coaching and competitions.
 
We round out our dance program with tap, ballet, yoga, stretch, and jazz for adults and summer workshops for adults and children.","CA",3,,"yes","yes",,"Dance","Ballet","Pointe","Tap","Jazz","HipHop","Contemporary",,,50,"per month","online","https://www.facebook.com/dancepspa","no","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/532215_10151610841293767_1578684546_n.png?oh=f776b5a1219ed05c339481a0e98842bb&oe=551C3BE4&__gda__=1427222591_3d6282163e341775398cecc88e131cd6","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/1385554_10151936588593767_519953396_n.jpg?oh=8f3710767e03d27968ae5d75f1bf01b3&oe=55185777&__gda__=1423089466_7802029b86e96adfdc7a08ad33df0058",
"HBP Dance Extreme","http://huggybearproductions.com/","hbpdanceextreme@gmail.com","275 S C St","Tustin",92780,"(714) 669-1022","HBP Dance Extreme is a fun and exciting studio in Southern California. We offer Jazz, Ballet, Hip Hop, Tap, Yoga, Musical Theater and more!","CA",2.5,,"yes","yes","yes","Dance","Ballet","Jazz","HipHop","Drama/Theater",,,,,,"??","pdf/phone","https://www.facebook.com/HBPDanceExtreme","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10398709_116880076483_1548911_n.jpg?oh=dcebfde0af82fbf68ad7adec5566bcca&oe=54D511A4","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10686737_10152805517796484_6123144744737054930_n.jpg?oh=841478acb81613981aed4e0ac74b9eec&oe=55138164",
"Tiffany's Dance Studio - Fremont","http://www.tiffanydance.com","fremont@tiffanydance.com","37439 Fremont Blvd","Fremont",94536,"(510) 793-5299","With nine studio locations in both the San Francisco Bay Area and Orange County, Tiffany’s Dance Academy provides excellent training to dancers as young as two years old.  Tiffany’s Dance Academy is also home to the prestigious Bay Area Dance Company, a professional contemporary jazz dance company.","CA",2.5,,"yes","yes","yes","Dance","Ballet","Tap","Jazz","HipHop",,,,,55,"per month","online","https://www.facebook.com/TDAFremont","no","i cant seem to grab the logo","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/p417x417/10394028_788029904569772_1272247357620747312_n.jpg?oh=b830f88c76a258040ee95d16450f1861&oe=54E1A461&__gda__=1423294271_a541190e6c904b7f5820b0bcb17f626c",
