"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","NOTES","Hot Lead"
"Ramona Julian Academy of Dance","http://www.ramonadance.com/","rjad@sbcglobal.net","1530 Main St.suite 14","Ramona","CA",92065,"(760) 789-1711","The Ramona/Julian Academy of Dance has won BEST DANCE STUDIO 4 years in a row and is committed to providing students with professional, technical training and instilling in them, a love for dance! Currently employing 17 teachers, Ms. Griffin and her staff instruct students in classical ballet, pointe, tap, jazz, modern, hip-hop, pom, tumbling, zumba, line dance, pre-school movement, pre-dance and Irish.",2,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Pointe","Breakdance","Jazz",,,,,"Phone","https://www.facebook.com/pages/Ramona-Julian-Academy-of-Dance/158926277465259","N/A","http://www.ramonadance.com/images/ramona_dance.png","http://www.ramonadance.com/images/home_center.jpg","No pricing info on site","Yes"
"Dance Studio 2","http://fresnodance2.publishpath.com/",,"2960 E Nees Ave","Fresno","CA",93720,"559.323.5047","The Dance Studio 2 is a brand new facility owned/directed by Season Cavalla-Cooper. The Dance Studio 2 is a sister studio to The Dance Studio of Fresno led by Sue Sampson Dalena. Sue has revolutionized dance in its entirety, through her patience, dedication, and hard work. Her vision and love for dance has inspired all around her.",3,18,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Pointe",,,,,56,"Per_class","Phone/in person","https://www.facebook.com/pages/The-Dance-Studio-2/158161684210843","Yes","http://fresnodance2.publishpath.com/ResizeImage.aspx?img=/Websites/fresnodance2/WebsiteLogo.jpg&h=132","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1186289_706780992682240_238799993_n.jpg?oh=ce0dd4caa2728d0b194ff9ced61e01b2&oe=54D518CC",,"Yes"
"Danzone Dance Studio","http://danzoneonline.com/",,"129 N. Maclay St.","San Fernando","CA",91340,"(818)837-7964","WE at Danzone believe that people who LIVE their passions are happier, more complete individuals. Helping people discover and experience their passions through movement is simply what we're about. Our instructors are top professionals in their field and all share a passion for dance which they transmit to each student.",4,99,"Yes","No","No","Dance","Ballet","HipHop","Dance",,,,,,,,10,"Per_class","Phone/in person","https://www.facebook.com/DanzoneSanFernando","Yes","http://danzoneonline.com/sitebuilder/images/Danzone_WHT-336x112.png","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/p417x417/10419451_10152365287063595_2200845282773909964_n.jpg?oh=2d44b981c8b0f44bb0a1912f186dee7e&oe=551F987D&__gda__=1423471979_bedc516e2f59ae934242568a13d60743",,"Yes"
"Rock Star Dance Studio","http://www.rockstardancestudio.com/","rockstardancestudio@gmail.com","510 Lighthouse Ave. #3","Pacific Grove","CA",93950,"831-375-4200","RockStar Dance Studio opened its doors in August 2010. The studio is located on Lighthouse Avenue in downtown Pacific Grove, CA. The studio is blessed to have amazing faculty members with high professional experience. We, at RockStar Dance Studio, look forward to meeting your inner RockStar!!!",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary",,,,,20,"Per_class","Phone/Email","https://www.facebook.com/RockStarDanceStudioPG","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c37.0.160.160/p160x160/1377337_293881930759745_21514154_n.jpg?oh=20c3877141b25648ce82f107dc33344a&oe=551F69E3&__gda__=1423099768_f7439307893507dc893df1aed2774c82","https://scontent-a.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10712745_405537659594171_1001136838650746918_n.jpg?oh=e22b648bf84a12b1ec17f45c99c5b1ad&oe=552052FE",,"Yes"
"Cuizon Ballet Centre","http://cuizonballetcentre.com/",,"2977 Willow Lane, Suite 200","Thousand Oaks","CA",91361,"805-494-8800","Cuizon Ballet Centre offers classes for beginners to advanced. We offer daytime homeschool classes.",6,99,"Yes","No","No","Dance","Ballet","Pointe",,,,,,,,,75,"Per_month","Phone/in person","https://www.facebook.com/pages/Cuizon-Ballet-Centre/134423139908024","No","N/A","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10632808_1003556222994707_8880891595649413434_n.jpg?oh=93af49aba079f6f020a5120f1317f451&oe=54DDB521&__gda__=1427507531_2b3d75b5a82f52c9d8dbab23ae0085fe",,"Yes"
"All Star Academy of Dance","http://www.allstardance.net/","courtney@allstardance.net","981 Lomas Santa Fe Dr. #F","Solana Beach","CA",92075,"858.755.7077","All Star Dance offers classes in Tap, Jazz, Ballet, Gymnastics, Hip-Hop, Lyrical, Modern, Cardio Hip Hop, Mommy and Me, Company, and Competition classes to all ages and levels. Our teachers are trained professional dancers and choreographers who love to teach. We will train your child to be the most confident dancer in a fun and positive way.",2,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Pointe",,,,,25,"Per_class","PDF","https://www.facebook.com/pages/All-Star-Dance/184093298275849?ref=br_tf","No","http://www.allstardance.net/images/All-Star-Dance-Logo.png","https://scontent-a.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/7943_610926415592533_1974115049_n.jpg?oh=23e2371385af314ff87b0923a0a7327f&oe=54DB08E1",,"Yes"
"Los Angeles Music & Art School","http://lamusart.org/","stayintune@lamusart.org","3630 East Third St.","Los Angeles","CA",90063,"(323) 262-7734","LAMusArt is fortunate to have highly professional and dedicated teachers who invest in the confidence and personal development of over 80 young people per year in approximately 212 group lessons. Students can begin exploring movement at age four with our Parent & Me ballet class, develop and fine-tune ballet skills in our multi-level, comprehensive ballet program and explore other forms of dance through Hip Hop classes.",2,99,"Yes","Yes","No","Dance","Ballet","HipHop","Drama/Theater",,,,,,,,,,"In person only","https://www.facebook.com/LAMusArt","No",,"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10441054_667132440044831_5971160914993657786_n.jpg?oh=2cb6901d3c4c593fb7f93643c57edcca&oe=551D72EF&__gda__=1423021875_65d43623cf472a3738c7b5d0d954bf39",,
"Pasadena Academy of Music and Dance","http://pasadenadanceclasses.com/","Pasadenaacademy@gmail.com","72 W Bellevue Dr.","Pasadena","CA",91105,"(626) 768-2614","The Academy of Music and Dance in Pasadena has offered Dance and Music classes to thousands of students within the last three and a half years in the Pasadena, California community. The Academy boasts a state of the art 5,000 square foot facility with professional floating dance floors, LCD monitors for live class viewing, top notch instructors who are all both working dancers with their degree in dance, and an attentive office staff who are available for parents during all hours of operation. We specialize in working with the parents schedules by conveniently having dance, music, vocal, and Mommy and Me Workout classes all in one location with multiple classes for different age groups running at the same time. We are the stress free studio that families love! We offer Mommy and Me Workout Classes, Pre-dance for ages 2.5 to 5 year olds, tap, ballet, jazz, hip hop, modern, lyrical, musical theatre, guitar, drums, piano, and vocal lessons.",2.5,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Voice","Guitar",,,94,"Per_month","Phone","https://www.facebook.com/pages/Pasadena-Academy-of-Music-and-Dance/107751205967938","No","http://pasadenadanceclasses.com/images/PAMD-Logo-2014.png","https://scontent-b.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/296694_360608324015557_982379829_n.jpg?oh=1e134f46a5b16363ea7f7224ef8f1b1b&oe=54D6E21C",,"Yes"
"Pacific Academy of Dance","http://www.pacificacademyofdance.com/","info@pacificacademyofdance.com","1100 S Beverly Dr.","Los Angeles","CA",90035,"(310) 277-9779","Dance should be about learning to nurture creativity, develop coordination and promoting self-esteem. Learning basic positions and terminology are the building blocks of our wildly creative dance curriculum. We offer classes for ages 2.5 to adults.",2.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop",,,,,,,160,"Per_session","Phone","https://www.facebook.com/pages/Pacific-Academy-of-Dance/107112996031588?ref=br_tf","No","N/A","https://scontent-a.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/269324_457065421036342_1573585298_n.jpg?oh=db2ecf2d9b8b0966b164fab94783f35c&oe=551D6A09",,"Yes"
"Pacific School of Ballet","http://pacificschoolofballet.com/",,"66 Argonaut","Aliso Veijo","CA",92656,"949.837.0095","Established in 1982, the Pacific Ballet Conservatory is a professional dance school devoted to providing dance instruction of the highest caliber in ballet, pointe, pas de deux, modern, jazz, tap, musical theater, pilates, and contemporary dance styles including hip hop.  Our mission is to give to each student the tools and skills needed to accomplish their dance-related goals, in a nurturing environment.",2.5,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Pointe",,,,,,18,"Per_class","Phone/in person","https://www.facebook.com/pages/Pacific-Ballet-Conservatory/245896092100864?ref=br_tf","No","http://pacificballetconservatory.com/Portals/0/logo.png","http://pacificballetconservatory.com/portals/0/images/PBC/slide4.jpg",,"Yes"
"Artistic Expression Dance Studio","http://www.aedancehemet.com/","danceae@yahoo.com","1532 S Sante Fe Ave #301","San Jacinto","CA",92583,"951-442-8642","Artistic Expressions Dance Studio offers classes in Ballet, Jazz, Lyrical, Tap, Hip Hop, Combo, and Creative Movement for children 18 months to adults. We encourage all ages and levels to audition for our Competition Team, as we have all ages and levels participating at Competitions.  Being on our competition team requires passion, dedication, and good sportsmanship.",1.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Latin","Gymnastics",,,48,"Per_month","Phone/in person","https://www.facebook.com/aedancehemet","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/p160x160/1545144_680910255282515_1885124933_n.jpg?oh=3e5ad986a965b842cda858c6dfcd67fa&oe=54D54414&__gda__=1426572726_7041a97979d518a93272a53763d773f2","http://www.aedancehemet.com/images/abf54ff254a62c334178bd2acf00f609.jpg",,"Yes"
"OC Allstars Cheer and Dance","http://www.ocallstars.com/","heather@ocallstars.com","19531 Pauling, Suite 200","Foothill Ranch","CA",92610,"(949) 766-8326","OC All-Stars Cheer & Dance Inc. is a private organization serving the top cheer and dance athletes in Orange County.  Our goal is to provide quality athletic training in a profession, safe, fun and positive environment.  We wish to teach technical athletic skills pertaining to cheer and dance emphasizing perfection before progression while developing physical and emotional strength.  Our focus will be to instill self-confidence and self-esteem to promote healthy socialization and life skills.",1.5,18,"Yes","Yes","Yes","Dance","Jazz","Ballet","HipHop","Pointe","Contemporary",,,"Cheerleading","Tumbling",,47.5,"Per_month","PDF","https://www.facebook.com/ocallstars","Yes","http://www.ocallstars.com/wp-content/themes/octheme/images/OCLogo.gif","http://www.ocallstars.com/wp-content/uploads/wppa/171.jpg",,"Yes"
"Kova Ballet Conservatory","http://www.kovaballet.com/","info@kovaballet.com","1446 S. Robertson Blvd.,","Los Angeles","CA",90035,"(310) 858-8212","Our school program is designed for those who want to enjoy an excellent form of Ballet dance training as well as for those who aspire to have a career in Ballet. Whatever goals a student may have, our outstanding faculty of professional teachers offer premium Vaganova training to help students develop carriage, body lines, coordination, grace, style, technique, and artistry.",2.5,99,"Yes","No","No","Dance","Ballet","Pointe",,,,,,,,,63,"Per_month","Phone/in person","https://www.facebook.com/pages/Kova-Ballet/380205548766627","Yes","http://www.kovaballet.com/images/logo.png","http://ec12.cdn.cincopa.com/Kova_Ballet_Performance_6.jpg?o=4&res=34&cdn=ec&p=y&pid=412078&ph3=dfh12qejcv0rgijjbq45njzoz4neovzy&d=AsDA7AQmMbAAayjvAE06eLA&as=mp3",,"Yes"
"V & T Dance","http://vandtdance.com/","vandtdance@gmail.com","23601 Ridge Route Dr. Suite A","Laguna Hills","CA",92653,"(949) 215-1553","V & T Classical Ballet Academy is the official school of Victor and Tatiana Kasatsky in Orange County, California. Both Victor and Tatiana were born in Russia and received classical ballet training there. Victor was a principal dancer in the Moscow Classical Ballet. Tatiana met Victor after she graduated from the Bolshoi Academy and also became a principal dancer with the Moscow Classical Ballet.V & T Dance offers a ballet curriculum for all levels of students and interest. Ballet is offered for students range from age 3 to adult. Instructors place students in their respective ballet levels based on a variety of factors. Advancement is contingent upon the technical ability, strength, and attendance of the student.",3,99,"Yes","Yes","No","Dance","Ballet","Pointe","Contemporary",,,,,,,,69.5,"Per_month","PDF","https://www.facebook.com/pages/V-and-T-Dance/133391470008258","Yes","http://vandtdance.com/wordpress/wp-content/uploads/2013/05/logo_header4.png","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/1609584_996724350341628_4613264072305579086_n.jpg?oh=8ab12c2fdf49d77bf93d35593cb41157&oe=54D677C0&__gda__=1423853712_6333d677dc31684adc92b30587b70b89",,"Yes"
"Mystic Dance San Diego","http://www.mysticdancesandiego.com/",,"2650 Truxtun Rd. Dance Place  #204","San Diego","CA",92106,"619-997-5138","At *Mystic Dance San Diego, dancers receive the highest level and quality of training in a harmonious, nurturing and fun environment. *Mystic Dance Educators take pride in training the best dancers while creating special and memorable experiences that will benefit any aspirations of their lives.",4,18,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary",,,"Tumbling",,,68,"Per_month","unclear","https://www.facebook.com/pages/Mystic-Dance-San-Diego/115217771845661","No","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/424161_348077008559735_1106804300_n.jpg?oh=cbeb0c2625f614235979939d98708625&oe=54D9C841&__gda__=1427229896_6c3a26c449e39f88513d2efd8aa80bfc","https://scontent-b.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/406620_330148870352549_142480067_n.jpg?oh=fbe197d69c98f1b3577f1a8f9313e57a&oe=5516EC6C","Website is under construction","Yes"
"Fabulous Feet Dance Studio","http://fabulousfeetdanceandathletics.com/","Fabulousfeetdance@yahoo.com","80 Eagle Rock Way Suite D","Brentwood","CA",94513,"(925)634-4399","Fabulous Feet Dance Studio has been based in Brentwood, Ca. since its inception in 1989.  We instruct students in the dance disciplines of tap, ballet, jazz, and lyrical.  Our objective is to share our love of dance with children of all ages and abilities, prepare young dancers who wish to enter the professional world of dance, and provide training in proper technique and style to all of our students.  We believe in creating a sense of achievement, pride and accomplishment in our students, expanding their knowledge and love of dance, while increasing their self confidence and self esteem.  Our program is aimed at teaching proper dance technique, terminology and posture, no matter their age or ability level. Fabulous Athletics offers a variety classes for all age groups including  Hip Hop, Zumba fitness, Cheer, Acro Dance and Tumbling.",3,18,"Yes","No","No","Dance","Ballet","Tap","Lyrical","HipHop","Contemporary","Latin",,"Acrobatics","Cheerleading","Tumbling",60,"Per_month","PDF","https://www.facebook.com/fabulousfeet.danceathletics","N/A","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1391510_1383216231919929_1508261050_n.jpg?oh=80703a58f8a2a214709de07e2039d08a&oe=550AD9E2&__gda__=1423566778_ceb6a49e1003f64b733ea51811dc647e","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1425748_1401087736799445_1876142704_n.jpg?oh=0b93a8e0c57fb1c4fd6de581b9f659ba&oe=5515FC21",,"Yes"
"Academy of Performing Arts-San Diego","http://www.apastudios.com/","youth@apastudios.com","5120-C Baltimore Drive","La Mesa","CA",91942,"619-460-4500","The Academy of Performing Arts (APA) has been committed to offering the best instruction available in the performing arts since 1993. Our staff is a carefully selected group of professionals from the Screen Actors Guild, Actors’ Equity Association, American Federation of Television & Radio Artists, American Guild of Musical Artists, American Guild of Variety Artists, various dance companies, and other performing arts organizations. We provide all of the training necessary for the aspiring performing artist to succeed as well as offering classes for those interested in the performing arts for enjoyment.",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Latin","Drama/Theater",,,,20,"Per_class","MindBodyOnline","https://www.facebook.com/apastudios","Yes","http://www.apastudios.com/images/hdr_home.jpg","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10382776_10152379586738419_381348600072822208_n.jpg?oh=32c8a6d914bebc54745b590bb6349c3c&oe=551F882F&__gda__=1427642751_3a20e12ce2812d42b7cb9c0b94c6efa8",,
