"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)",,"Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot Lead"
"California Science Center","https://www.californiasciencecenter.org/Education/YouthPrograms/SummerCamp/SummerCamp.php","4info@cscmail.org","700 Exposition Park Drive","Los Angeles",90037,"323-724-3623","Exciting explorations, delightful discoveries and wild wonders await your family this summer at Hands-On Science Camp at the California Science Center. We offer more than 30 courses, including popular parent-and-child classes that give families a chance to investigate science together. The Hands-On Science Camp staff consists of education professionals and working professionals in science fields. Your child will have a unique, fun and engaging summer!","CA",4,13,"n","y","n","Science","Biology","Chemistry",,,,,"none","https://www.facebook.com/CaliforniaScienceCenter","y",,"https://californiasciencecenter.org/sites/default/files/styles/floated-breakpoints_theme_labrat_l_1x/public/media/image/summer-camp-kid-balloon-drop.jpg?itok=iAzs1r93","Main","Pre K",8,
"Kidspace","http://www.kidspacemuseum.org/hands-learning/summer-camps",,"480 N. Arroyo Blvd","Pasadena",91103,"(626) 449-9144","An incredible seed bed of learning and discovery, the purpose of a children’s museum is to inspire children to learn and grow, equip parents and teachers, and to be a safe place where learners of all abilities can do so at their own pace and focus on topics of interest to them. This is often referred to as “Free Range Learning.” What makes us different from a school is our approach to informal education. We believe in giving our guests hands-on experiences that are relevant and inspiring. - See more at: http://www.kidspacemuseum.org/about/kidspace-mission#sthash.24Tbn9Yf.dpuf","CA",1,11,"y","y","y","Space","Science","Biology",,"Creative Arts",275,"per_week","online form","https://www.facebook.com/KidspaceChildrensMuseum","y",,"https://scontent-2.2914.fna.fbcdn.net/hphotos-xap1/v/t1.0-9/10629872_10152293286768317_2474964691033202898_n.jpg?oh=959bf9de5ee9d76d040003dbe8d5d097&oe=551E78AF","Main",,,
"Heal the Bay","http://www.healthebay.org/santa-monica-pier-aquarium/education/summer-programs",,"1600 Ocean Front Walk","Santa Monica",90401,"310.393.6149","Education is a top priority of Heal the Bay. Whether you visit our public, marine education center on a school field trip, attend a free evening lecture on a marine science related topic, send your budding young scientist to ourMicro Biologist classes or to our summer camp, you will leave the Santa Monica Pier Aquarium with a new sense of wonder and appreciation for the amazing marine life of the Santa Monica Bay.","CA",3,9,"y","y","y","Marine Science",,,,,65,"per_session","online form","https://www.facebook.com/healthebayfans","y","https://scontent-2.2914.fna.fbcdn.net/hphotos-xap1/v/t1.0-9/10295797_10152103143550869_393562787046972278_n.png?oh=bdd8925a6186a2c4a8e57e1a6b290bc0&oe=551AE5B0","http://www.healthebay.org/sites/default/files/imagecache/slideshow_inside_355x280/page-smpa-winter-camp-355x280px.jpg","Main","K",4,
"Robotics and Things","http://www.roboticsandthings.com/","robot@roboticsandthings.com",,"Simi Valley",93062,"(888) 222-1809","The ROBOTICS Hands-on STEM (Science, Technology, Engineering & Math) Summer Camp Enrichment is the perfect activity for Boys and Girls in Grades 1 thru 6 to experience the design, creation and building of Robots, Robotic Vehicles & BattleBots with a focus on Math & Science applications using real life goals & objectives. For 12-Years ROBOTICS has offered the Kids in attendance unique Tasks, Challenges and Time-Trials with Individual, Team & Group situations in diversified Platforms including Obstacle Courses, Targets (Various Sizes), Mars Terrain Sectionals (similar to JPL’s Red Room) and other unique Curriculum using California & National Science Standards. The Daily Registration for Each 3-Hour Session includes Instruction by ROBOTICS & THINGS and the Lab (Materials) Fee. Kids who Register for ALL 5-Daily Sessions will also receive a Motorized ROBOTICS Kit and a Certificate of Completion","CA",6,13,"n","y","n","Robotics","Programming",,,,250,"per_week","online form","https://www.facebook.com/roboticsandthings?v=app_4949752878","n","https://www.roboticsandthings.com//wp-content/uploads/2012/07/masthead1.jpg","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/180154_150348611686538_4593243_n.jpg?oh=008fe2a103d53f7d336c3b055583c8b8&oe=54EF2502","Main",1,8,
"Explorit","http://www.explorit.org/","explorit@explorit.org","3141 5th Street","Davis",95616,"(530) 756-0191","These camps emphasize active learning through age-appropriate experiments, hands-on activities, and problem-solving.","CA",4,10,"y","y","y","Science",,,,,35,"per_class","online ASAP","https://www.facebook.com/explorit.fb","y","https://scontent-2.2914.fna.fbcdn.net/hphotos-prn2/v/t1.0-9/536071_445295872221902_24931156_n.jpg?oh=12e72efa870276126cc7cb4e31ce09f5&oe=54D56877","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/560177_717814711636682_6780867994910447819_n.jpg?oh=8e4957dae90599e47bc10b5e93d25c92&oe=551C16C2","Main","Pre K",5,
"Fresno Art Museum","http://www.fresnoartmuseum.org/education/for-children/art-academy/","susan@fresnoartmuseum.org","2233 North First Street","Fresno",93703,"559-441-4221","For the past few years FAM has partnered with SAM Academy to provide a unique experience for nearly 200 children ages 7 to 15 to explore the wonderful worlds of art, music, and science! Our students became Young Makers! This summer, through a partnership with Shine Youth Theatre, we will be adding theatre to the mix.","CA",7,15,"y","n","n","Science","Music","Creative Arts",,"Drama/Theater",,,"PDF","https://www.facebook.com/FresnoArtMuseum","y","https://scontent-2.2914.fna.fbcdn.net/hphotos-xaf1/v/t1.0-9/3750_82033489252_3866842_n.jpg?oh=e69e2a732d1ac5e4092e0e48c7febf48&oe=54E057B6","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/10649850_10152662417989253_1318556770565663623_n.jpg?oh=0f2b6ed15c94159db3c3e0164549713e&oe=54D419D1","Main",,,
"San Joaquin Delta College","http://www.deltacollege.edu/dept/edventure/ClassesFL.html","cmackey@deltacollege.edu","5151 Pacific Ave., Box 117","Stockton",95207,"209-954-5015","Kids College, part of the Community Education Department at San Joaquin Delta College in Stockton, has been providing learning opportunities for the youth in our service area for more than 20 years. This unique program offers children and teens academic and enrichment workshops on a college campus. Kids College workshops are designed to teach new and meaningful skills, develop new interests and hobbies, excite students about learning, and provide an opportunity for them to explore possible careers.","CA",,,"y","n","n","Science","Sports","Creative Arts","Music","Dance",,,"PDF",,,,,"Main",,,
"ASEP Learning Center","https://sites.google.com/site/asepkids//brea-learning-center/ASEP-Learning-Center","Nancy@asepkids.com","1307 W. 6th St. STE 137","Corona",92882,"(951) 268-6748","ASEP Learning Center in Corona, CA is the headquarters of the After-School Enrichment Programs offices. Offered here are Art, Cartooning, Science, and Spanish classes. Group and individual classes for each of these subjects are available for grades K-8th. Individual tutoring for all ages is also available.","CA",5,13,"y","y","n","Science","Spanish","Cartooning","Creative Arts","Drama/Theater",300,"per_session","online","https://www.facebook.com/asepkidscorona","n","https://scontent-2.2914.fna.fbcdn.net/hphotos-xfa1/v/t1.0-9/10171243_780925255251387_3342728729810862356_n.png?oh=0c3a485b9b4270a8a6b69a487402fe97&oe=551A79DC","https://scontent-2.2914.fna.fbcdn.net/hphotos-xfa1/v/t1.0-9/10670222_860353697308542_1583855518054195977_n.jpg?oh=7dca5d99a9935af04c6404732826e106&oe=54DABFA7","Main","K",8,"y"
"Watershed Preservation Network","http://www.wpn.org/wpn/afterschool.html","info@wpn.org","PO Box 8","San Geronimo",94963,,"Our goal is to excite children's curiosity about the vast world of science, then satisfy it through hands-on projects and experiements! We teach critical thinking and integrated learning, as they are the basics of scientific thought and theory. There's so much to explore: physics, chemistry, biology, paleontology and on...All experiments are kid safe and fully supervised.","CA",5,99,"y","y","n","Science",,,,,230,"per_session","online through rec depts",,,"http://www.wpn.org/wpn/images/Banner_Composite_vers4.jpg","http://www.wpn.org/wpn/images/e_kids05.jpg","Main","K",5,
"The Ranch","http://www.btrecreation.com/",,"600 Ned's Way","Tiburon",94920,"415-435-4355","Our goal is to enhance the experience of living in our community; to play an active role in helping it be a happier, healthier, and more fulfilling place to live.","CA",1,99,"y","y","y","Science","Computers","Sports","Drama/Theater","Music",192,"per_session","online through active network","https://www.facebook.com/btrecreation","n","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/1461008_10152073038011873_600875691_n.jpg?oh=e4832a599fb1a8dcb7cdab71fd84db45&oe=54ED3EB1","https://scontent-2.2914.fna.fbcdn.net/hphotos-xap1/v/t1.0-9/10644812_10152828344536873_2199757527202395885_n.jpg?oh=8e5cabd2e5d8a8c9fd1705450bbdec1b&oe=54E53F66","Main",,,"y"
"Grossmont-Cuyamaca","http://www.cuyamaca.edu/CFK/","Cuyamaca.ContinuingEd@gcccd.edu","900 Rancho San Diego Parkway","El Cajon",92019,"(619) 660-4350","College for Kids is a spring enrichment program for children between ages 8-14. We are committed to teaching new and meaningful skills as your children participate in classes such as art, dance, fitness, science, media, and more. The program serves parents and children alike by providing fun, safe and educational activities with the added benefit of introducing kids to the college environment. In our new College for Kids format, your children will be able to choose between fun and exciting classes that meet your schedule.","CA",8,14,"y","y","n","Gaming","Drama/Theater","Marine Science","Creative Arts","Sports",95,"per_session","online through web advisor","https://www.facebook.com/gcccd.cfk?ref=br_tf","n","https://scontent-2.2914.fna.fbcdn.net/hphotos-prn2/v/t1.0-9/536112_244961998946664_541606172_n.jpg?oh=53fe82bf7ac9ab61a985a6898e04abf0&oe=551E7A63","https://scontent-2.2914.fna.fbcdn.net/hphotos-xfa1/v/t1.0-9/p417x417/182531_247645968678267_558097840_n.jpg?oh=9df46685827a2e70e7653c06fe2671d5&oe=54E90D46","Main",,,"y"
"SeaWorld","http://seaworldparks.com/en/seaworld-sandiego/educational-programs/","SWC.GuestRelations@seaworld.com","500 Sea World Drive","San Diego",92109,"(800) 257-4268","From our Emmy Award winning Shamu TV DVD series to the thousands of visitors who participate in our park’s educational programs each year, SeaWorld artfully combines education and entertainment in a way that connects people to the sea and sea life like no where else. Here you’ll find ways to help your children or students make the most of all SeaWorld has to offer.","CA",5,18,"y","y","y","Marine Science",,,,,750,"per_week","online","https://www.facebook.com/seaworldsandiego?from=Footer_Nav","y",,"http://seaworldparks.com/seaworld-sandiego/~/media/seaworld_sandiego_com/Educational%20Programs/Resident%20Camps/Career%20Camp/seallion_460x345.ashx","Main","K",12,"y"
"Astro Camp","http://astrocampsummer.org/","info@guideddiscoveries.org",,"Claremont",91711,"800-645-1423","AstroCamp boasts one of the premier science and adventure programs in California. 1-week campers will spend their mornings at some of our core, exciting programs, and then in the afternoon, our 10-14 year olds will get the chance to pick from a variety of activities and design their own adventure. All of AstroCamp’s activities are hands-on and designed for campers to gain new skills and experiences, all while enjoying time with friends and our professional staff.","CA",8,17,"n","y","n","Space",,,,,1050,"per_week","online","https://www.facebook.com/astrocamps","y","http://astrocampsummer.org/wp-content/themes/astrocamp/images/logo.png","https://scontent-2.2914.fna.fbcdn.net/hphotos-xap1/v/t1.0-9/10653831_10152747888319923_3930282001924767748_n.jpg?oh=e58e2ee38d64b4346c3bc224c33730d8&oe=551A223B","Main",,,"y"
"San Diego Zoo","http://www.sdzsafaripark.org/education/summer_camp.html",,"15500 San Pasqual Valley Road","Escondido",92027,"760-747-8702","Discover an adventure like no other during the Safari Park’s Summer Camp! There may be many types of summer camp for kids, but few will have campers interacting with rhinos and giraffes, meeting meerkats, getting up close to cheetahs, feeding okapis, and discovering African wonders the way the Safari Park’s will. This is hands-on, join-in, be-a-part-of-it fun!","CA",,,"y","y","y","Biology",,,,,,,,"https://www.facebook.com/sdzsafaripark","y","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/1235912_733211420028870_1124950802_n.png?oh=d8b75c17487bfa0dfa3555ce101c3062&oe=551640B6","http://www.sdzsafaripark.org/images/Education_Hero_SummerCamp2013NoButton2.jpg","Main",,,
"Modesto Junior College","https://mjc.edu/instruction/commed/campsforkids.php",,"435 College Avenue","Modesto",95350,"209-575-6063","This summer we will be offering the best camp experience ever for those students who register with Modesto Junior College. No matter the interest of the child, they will do activities, crafts, while learning.","CA",5,99,"y","y","n","Science","Dance","Cooking","Music","Sports",89,"per_week","online",,,"https://mjc.edu/instruction/commed/images/camp_hands_summer2014_primarycolors_web.jpg",,"Main",,,
"Rigatoni & Robots a division of Cali Kids Club","http://calikidsclub.com/",,"4300 Ashe Road Suite #106","Bakersfield",93311,"661.858.7398","What truly makes Rigatoni & Robots so unique is our ability to make learning fun. This commitment to a hands-on, interactive approach to teaching kids, has caught the eye of many of today’s leading manufacturers of children’s products. We are proud to announce our partnerships with LEGO®, Toysmith®, KNEX™, 4M®, Elenco®, Consumer Crafts™, and others…as we not only teach about engineering, robotics, sewing, and the like…we let you go home with the actual products available at the large retail stores as part of the class fee and/or memberships. Imagine all of this while being surrounded by a cool California-themed surf/skate/snowboarding décor…come join the fun!","CA",4,12,"y","y","y","Science","Creative Arts",,,"Cooking",79,"per_month","online through Member Solutions","https://www.facebook.com/pages/Cali-Kids-Club/233771286768495","n","https://scontent-2.2914.fna.fbcdn.net/hphotos-prn2/v/t1.0-9/537074_233772790101678_1984153649_n.jpg?oh=51aae5a2232fbc599fb05b04db8c785b&oe=551AD699","http://calikidsclub.com/images/banner/img1.jpg","Main",,,"y"
"Mt. San Antonio College","http://www.mtsac.edu/instruction/continuinged/feeclasses/college4Kids.html",,,,,,,"CA",,,,,,,,,,,,,,,,,,"Main",,,
"Charles M. Schultz Museum","https://schulzmuseum.org/learn/classes-camps/",,,,,,,"CA",,,,,,,,,,,,,,,,,,"Main",,,
"Children's Discovery Museum of the Desert","http://www.cdmod.org/",,,,,,,"CA",,,,,,,,,,,,,,,,,,"Main",,,
"Smart Mind Robotics","http://smartmindrobotics.com/users/awp.php?ln=711756",,,,,,,"CA",,,,,,,,,,,,,,,,,,"Main",,,
"Chino Hills Kids","http://www.chinohillskids.net/CLASSES.html",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,
"Kidzone Museum","http://www.kidzonemuseum.org/",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,
"Disney Youth Programs","http://www.disneyyouth.com/our-programs/education/sp/youth-education-series/#categories-youth-education-series,interests-applied-sciences",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,
"Allan Hancock College","http://www.hancockcollege.edu/public_affairs/announcements/2013Feb28CFKMarchScienceClasses.php",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,
"BrickSpace","http://www.brickspacebenicia.net/",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,
"Pali Adventures","http://www.paliadventures.com/specialties/hollywood-stunt-camp/",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,
"San Diego Natural History Museum","http://www.sdnhm.org/education/family-fun/summer-camp/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reuben H. Fleet Science Center","http://www.rhfleet.org/learn/youth-programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego Model Railroad Museum","http://www.sdmrm.org/#/education/4533422248",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego Air & Space Museum","http://www.sandiegoairandspace.org/education/summer_camps.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego Museum of Man","http://www.museumofman.org/camps/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
