"provider_name","website","email","street_address","city","Zipcode","Metro Area","Sales agent","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot lead"
"Shoghart Gallery","http://www.shoghartgallery.com","shoghartgallery@gmail.com","1515 W Magnolia Blvd","Burbank",91506,"SoCal","Jeana","(818) 567-4278","SHOGHART GALLERY IS OWNED AND OPERATED BY AN ARTIST FOR ARTISTS TO DISPLAY THEIR WORK OR FOR THOSE WANTING TO LEARN DIFFERENT WAYS OF EXPRESSION THROUGH ART. SHOGHART GALLERY OFFERS ART EXHIBITIONS, ART CLASSES FOR ALL AGES, GALLERY RENTALS, FUNDRAISING EVENTS, BIRTHDAY ART PARTIES FOR KIDS, MUSIC NIGHTS, AND MORE!","CA",,,"y","n","y","Drawing and Painting",,,,,,,,,,"None listed","none","https://www.facebook.com/pages/Shoghart-Gallery/127404163944957","No","http://nebula.wsimg.com/a31303625f706b510215e7c7256d08a7?AccessKeyId=3961D3458838AE6F9E4A&disposition=0&alloworigin=1","http://nebula.wsimg.com/07237d065c95a750c30096bfc7c287e4?AccessKeyId=3961D3458838AE6F9E4A&disposition=0&alloworigin=1",,,,"No information about specific classes on their site. Only a paragraph that says they hold children's classes",
"Art Experience Studio","http://www.artexperiencestudio.com","ArtExperience88@Gmail.com","5203 Scott Street","Torrance",90503,"SoCal","Jeana","(310) 365-9287","Art Experience is a unique studio environment where we believe art is a vital part of child development. We are art educators with backgrounds in child psychology, understanding each child's individuality and work to meet their needs. Art is more than just the reproduction of contours, colors, and techniques.  Life is a work of art and we are its artists, born with the tools--our innate imagination, curiosity, and playfulness--to create anything we can imagine. Our philosophy is grounded in the belief that the art experience for children should focus on not only the finished product, but,more importantly, the process of creation. They have the freedom to touch, to look, to ask questions and to find their own truth while learning art along the way.","CA",5,99,"y","n","y","Drawing and Painting",,,,,,,,,195,"Per session","online form","https://www.facebook.com/pages/Art-Experience-Studio/146463172097105","No","http://artexperience.vpweb.com/bg-1-25825.jpeg?u=649527243","http://images.artsonia.com/art/large/32239374.jpg",,,,,
"Paradise Sewing","http://www.2paradisesewing.com","info@paradisesewing.com","12633 Poway Rd","Poway",92064,"SoCal","Jeana","(858) 679-9808","At Paradise Sewing, we're dedicated to helping you realize your creative potential through excellent customer service, sewing machine repair, and a variety of sewing products. Whether it be a beginner sewing machine or a multi-needle professional embroidery machine, Paradise Sewing has what you want! We're your one stop shop for Pfaff and Babylock Machines, Accessories, Embellishments, Fabric and Notions. Because we care about your sewing experience, we offer help with your sewing needs plus fun, informative classes for sewing and embroidery enthusiasts of all ages and skill levels. We also offer personal one-on-one lessons as well as group ""learn to sew classes.""","CA",,,"Yes","No","No","Sewing",,,,,,,,,10,"Per class","paypal",,,,"http://siterepository.s3.amazonaws.com/THUMB_1225/lazy_day_skirt.jpg",,,,,
"All Brands Sewing & Vacuums","http://www.allbrands.net",,"13071 Harbor Blvd","Garden Grove",92843,"SoCal","Jeana","(714) 636-1322","Join other 8 to 16 year old's in this fun and creative ""Learn to Sew"" environment. Susan will guide your student along on their individual projects.  Whether your child is a beginner or has sewing experience, they will feel completely at home and inspired to learn more and more.","CA",6,18,"Yes","No","No","Sewing",,,,,,,,,30,"Per class","Asapconnected","https://www.facebook.com/pages/OC-Sewing/127749747249818","No",,,,,,,
"Fish Ceramics","http://www.fishceramics.com",,"2360 Shasta Way","Simi Valley",93065,"SoCal","Jeana","(805) 581-1109","We offer a wide variety of courses for every age!  Girl Scout Clay and Ceramic Badge's can also be earned at Fish Ceramics! We also have open workshops every day.","CA",5,99,"Yes","No","No","Ceramics",,,,,,,,,,"None listed","Phone",,,,"http://www.fishceramics.com/images/more%20images/course2.jpg",,,,,
"Needle In A Haystack","http://www.needhay.com","jody@needhay.com","2262 Honolulu Ave","Montrose",91020,"SoCal","Jeana","(818) 248-7686","Learn the basics of knitting while working on a fun project.","CA",7,99,"Yes","No","No","Knitting","Sewing",,,,,,,,80,"Per session","Cash or Check","https://www.facebook.com/pages/Needle-in-A-Haystack/141185552585018","No",,,,,,,
"Clay Works Pottery Studio","http://www.claycamp.com","e_wohlstadter@yahoo.com","4130 Greenbush Ave","Sherman Oaks",91423,"SoCal","Jeana","(818) 905-8300","Clay is a marvelous material to work with, and pottery is a craft that involves a total hands on experience. Come learn the art and craft of clay at Clayworks Studio, where we offer classes for children and adults. Whatever your age or level of expertise, from beginner to fine artist, pottery has something enjoyable and challenging to offer for everyone. Private lessons are also available.","CA",,99,"Yes","Yes","No","Pottery",,,,,,,,,140,"Per session","Mail only",,,"http://www.summerartacademy.com/Clayworks/images/headers/afterschool.jpg","http://www.summerartacademy.com/Clayworks/images/Kidsphotos/21.jpg",,,,,
"Paint A Dream","http://paintadream.com","simivalley@paintadream.com","1555 Simi Town Center Way","Simi Valley",93065,"SoCal","Jeana","(805) 520-9500",,"CA",1,99,"Yes","No","Yes","Drawing and Painting","Pottery",,,,,,,,23,"Per class","Phone only","https://www.facebook.com/PaintADreamLLC","Yes",,,,,,,
"Kathy Schilling Art Studio","http://www.schillingartstudios.com/",,"12426 Jomani Dr","Bakersfield",93312,"SoCal","Jeana","(661) 587-4400","Welcome to Schilling Art Studio! We're excited about expanding your child's natural gifts of creativity and artistry. Each child learns at their own pace and will be brought along accordingly. First and foremost, we foster and encourage your child's love for art and the creative process. Our goal is to work with your child,  so that they are able to exercise their fullest creative potential and bring them along in a graduated method.   We strive to give them the most well-rounded art education possible.","CA",6,99,"Yes","No","No","Drawing and Painting",,,,,,,,,80,"Per month","Phone","https://www.facebook.com/pages/Schilling-Kathy-Art-Studio/102855899781182","No",,"http://nebula.wsimg.com/0e667350fe6451548e0cf20def72c466?AccessKeyId=158998949253531EC584&disposition=0&alloworigin=1",,,,,
"Painted Earth","http://www.paintedearthpottery.com/","info@paintedearthpottery.com","30010 Haun Rd Ste 240","Menifee",92584,"SoCal","Jeana","(951) 679-6800","Painted Earth Pottery & Art Studio was founded in Temecula in 1998 by Christy Forrest. The studio has enjoyed bringing art to our area since the beginning, including ceramics and art classes. It is near to our heart that you and your families, loved ones, and friends be exposed to and be involved in art. With our studio in Menifee, we now have two convenient locations. Both offer a full calendar of events for all ages, as well as our open studio with a variety of pieces ranging from fun to functional. We offer small class sizes for kids to create that perfect environment for your young artists to spread their wings. And we provide a fun (and wine friendly) environment for adults to enjoy making art in their classes.","CA",7,14,"Yes","Yes","Yes","Drawing and Painting","Pottery",,,,,,,,26,"Per class","Squarespace","https://www.facebook.com/PaintedEarthPottery","Yes","http://static.squarespace.com/static/502eb0f3e4b0adcdbccb96ec/t/52722e94e4b0a406b9060363/1411801528806/?format=1500w","http://static.squarespace.com/static/502eb0f3e4b0adcdbccb96ec/5285dfe7e4b035638f9d7771/5285dfe9e4b0b26086d3e107/1384505328352/party%20room%20pic%201.jpg?format=750w",,,,,
"Purple Twig","http://purpletwig.com","info@purpletwig.com","2038 Colorado Blvd","Los Angeles",90041,"SoCal","Jeana","(323) 254-8944","Art exploration is an excellent way for children to build self-confidence through discovering and manipulating materials. By focusing on the process and the exploration of materials whether it be paint, toilet paper tubes, clay or fabric, we help kids use their imagination and articulate their ideas. In addition to the discovery of the physical possibilities of materials, we will also explore a wide variety of subjects, from animals and where they live to underwater sea life to great architecture depending on the age of the students.","CA",2,9,"Yes","Yes","Yes","Creative Arts",,,,,,,,,24,"Per class","Paypal","https://www.facebook.com/groups/144369355605621/","n/a","http://www.purpletwig.com/","https://purpletwig-media-e.s3.amazonaws.com/images/gZgbmmwaTeyvC2aFAhgheg.jpg",,,,,
"Martin Fine Art Classes","http://martinfineartclasses.com","info@martinfineartclasses.com","1462 Encinitas Blvd","Encinitas",92024,"SoCal","Jeana","(760) 944-7913","The goal of the MFAC Young Masters Program is to teach children ages 6 and above the necessary mechanical and observational skills necessary for them to create high quality representational fine art. Martin Fine Art Classes emphasizes mastery of foundational and advanced skills. It is also a goal of the program that through creating representational fine art students will enrich their lives and the lives of those around them while developing an appreciation for aesthetics and the beauty of the natural world. Finally, while attending Martin Fine Art Classes we want your child to be engaged, interested, and having fun!","CA",6,99,"Yes","No","No","Creative Arts","Drawing and Painting",,,,,,,,118,"Per month","Phone, email","https://www.facebook.com/pages/Martin-Fine-Art-Classes/212745192077250","No","http://www.martinfineartclasses.com/static/img/martin-fine-art-logo.png","http://www.martinfineartclasses.com/static/img/Student-Art/005.tn.jpg",,,,,
"My Learning Studio","http://www.mylearningstudio.com/","info@mylearningstudio.com","17032 Van Buren Blvd","Riverside",92504,"SoCal","Jeana","(951) 789-5403","My Learning Studio is a Learning Center creative in our teaching styles.  We are a Tutoring Center for All levels of Math, Reading Comprehension and all school subjects for every age, including adults located in Riverside, CA. We also offer  Science Workshops, Creative Arts classes, Conversation Spanish, French & American Sign Language classes.  During the school year, we have a homework club, sometimes called tutoring club. Our tutoring is very effective for students struggling in Algebra, Geometry or any level of math, including Calculus and Statistics.  College level tutoring is available too.","CA",5,99,"Yes","Yes","No","Tutoring","Creative Arts",,,,,,,,37,"Per class","Paypal","https://www.facebook.com/pages/My-Learning-Studio/204100706389048","Yes","http://www.mylearningstudio.com/images/logo_to_use_rafk_qkcl.jpg",,,,,,
"Muddy's Studio","http://muddysstudio.com","muddysstudio@att.net","2610 Halladay St","Santa Ana",92705,"SoCal","Jeana","(714) 641-4077","Muddy's Studio offers a popular ceramic class for children ages 9 through 12. The class will focus on beginning wheel throwing on a potter's wheel, and basic hand building techniques. Each session is 4 weeks long and encompasses wheel throwing, hand building and glazing. It is a fun and creative break to a busy and hectic week.","CA",9,99,"Yes","Yes","Yes","Pottery",,,,,,,,,100,"Per session","Google Form","https://www.facebook.com/pages/Muddys-Studio/105300303889?ref=ts","Yes","http://muddysstudio.com/images/new_banner.jpg","http://muddysstudio.com/images/clay_camp.jpg",,,,,
"Children's Art Studio","http://thechildrensartstudio.com/","info@thechildrensartstudio.com","12217 Santa Monica Blvd #203,","Los Angeles",90025,"SoCal","Jeana","(310) 207-0076","The Children’s Art Studio, founded in 1997, is a school committed to the education and development of children’s visual perception and artistic creativity.  The school’s guiding principles reflect that children are capable artists who need to be provided with the space and the opportunity to discover their creative world and experience the joy of making art.  This unique studio environment provides the necessary art experiences and artistic tools/techniques that will facilitate the blossoming of young artists who will share their dreams with the world through paint or a piece of molded clay. ach studio art class at The Children’s Art Studio is designed to provide children (ages 18 months-12 years) with skill level/age-appropriate artistic experiences.  The curriculum is rooted in developmentally-based lessons that encourage an in-depth engagement with the process of making art.","CA",1.5,12,"Yes","Yes","Yes","Creative Arts","Drawing and Painting","Pottery",,,,,,,160,"Per session","on website","https://www.facebook.com/pages/The-Childrens-Art-Studio/254944917882216","NO","http://thechildrensartstudio.com/wp-content/uploads/2014/03/cas-logo-new-site12.jpg","http://thechildrensartstudio.com/wp-content/uploads/2014/03/cas-about3.jpg",,,,,
"Ceramic Cupboard","http://www.ceramiccupboard.net","info@ceramiccupboard.net","1660 Hamner Ave Ste 10","Norco",92860,"SoCal","Jeana","(951) 737-3521","Ceramic Cupboard is a full-service ceramic art studio offering ceramic painting instruction and services to Norco, Corona and other surrounding Inland Empire, Riverside and San Bernardino County cities. The Kid's Club at Ceramic Cupboard is a wonderfully organized, fun, and interactive kid ceramics group and a great source of  fun, art activities for kids. Are you looking for an indoor kid activity? Does your child have the desire to do something creative or imaginative? How about learning to hand build a box, bowl, picture frame or little bitty critters from a ball of clay? Various ceramic activities are offered in our wonderful Kid's Club.","CA",5,99,"Yes","No","Yes","Ceramics",,,,,,,,,28,"Per class","Zozi Advance","https://www.facebook.com/pages/Ceramic-Cupboard/248260063121?ref=mf","Yes","http://www.ceramiccupboard.net/images/ceramiccupboard.gif","http://www.ceramiccupboard.net/images/kidpaintingceramics.jpg",,,,,
"A Colorful Universe","http://www.acolorfuluniverse.com","info@acolorfuluniverse.com","1523 San Elijo Rd S","San Marcos",92078,"SoCal","Jeana","(760) 761-0476","Your child is invited to a place where they can create, learn and have fun in a safe and friendly environment! We have re-designed and implemented a new program to engage and entertain your child. Choose from any of our Classes or Camps. will engage in creative projects! What better way to jump into summer than with exciting art projects and a group of awesome kids. Every session is a different experience! Children will be exposed to many different medium of art. Painting Pottery, clay, painting canvas, mosaics and express your self art.","CA",3,99,"Yes","Yes","Yes","Drawing and Painting","Pottery",,,,,,,,25,"Per class","Zozi Advance","https://www.facebook.com/pages/A-Colorful-Universe/133043613417775","Yes","http://acolorfuluniverse.com/wp-content/uploads/2011/05/ACU_logo21-300x115.png","http://acolorfuluniverse.com/wp-content/uploads/2011/05/camp5-150x150.jpg",,,,,
"Neo Fine Art Learning Center","http://neolc.com",,"19 E Live Oak Ave","Arcadia",91006,"SoCal","Jeana","(626) 574-1244","Neo Learning Center has been teaching children in Arcadia since 1989, with personal attention to the needs of each and every student. We specialize in developing your child's greatest potential. Our experienced tutors lovingly guide your child to success. We offer excellent tutoring programs for kids and teens, from kindergarten to high school.","CA",5,18,"Yes","No","No","Tutoring",,,,,,,,,180,"Per month","on website","https://www.facebook.com/pages/Neo-Fine-Art-Learning-Center/167577259921351","No",,,,,,,
"Mission Renaissance","http://fineartclasses.com",,"508 Foothill Blvd","La Canada Flintridge",91011,"SoCal","Jeana","(818) 790-6930","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance/155803924459021","No","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"San Diego Art Department","http://sandiegoartdepartment.com","info@sandiegoartdepartment.com","3830 Ray St","San Diego",92104,"SoCal","Jeana","(619) 299-4278","The San Diego Art Department provides an inclusive, collaborative environment that fosters artistic expression, for all ages and proficiencies, using art to contribute value and diversity to the community with educational programs, exhibitions and workspace.  SDAD is a dynamic artistic community with rewarding educational opportunities. We offer a relaxing and inspirational venue to escape from the routine and hectic pace of life.","CA",1,99,"Yes","Yes","No","Creative Arts","Drawing and Painting","Digital Media","Photography and Video",,,,,,45,"Per class","Call or email","https://www.facebook.com/pages/San-Diego-Art-Department/123757744318737","Yes","http://sandiegoartdepartment.com/images/SDAD.logoAndStudioImage.07.png",,,,,,
"Mission Renaissance","http://fineartclasses.com",,"270 Shoppers Ln","Pasadena",91101,"SoCal","Jeana","(626) 564-1556","At all of our art studios throughout Southern California, we teach the same traditional fundamentals used by the Great Masters, but in a dramatically new and effective way. Refined over three decades, we have established a proven, step-by-step art instruction method, called The Gluck Method, whereby anyone of any age can learn to draw and paint beautifully. We break down the classic techniques of the Great Masters, and convey them to our students with an exact approach. The results speak for themselves – our students routinely realize their aims in creating works of fine art of which they can be proud.","CA",5,99,"Yes","Yes","No","Drawing and Painting",,,,,,,,,,"None listed","Call or email","https://www.facebook.com/pages/Mission-Renaissance/159959844027224","NO","http://www.images.fineartclasses.com/logo.png","http://www.images.fineartclasses.com/ArtCamps/summer-camp-page-images.jpg",,,,,
"The Art Studio","http://the-art-studio.biz",,"3825 E Sierra Madre Blvd","Pasadena",91107,"SoCal","Jeana","(626) 351-4266","The Art Studio teaches a variety of art skills in a comfortable and supportive setting. Our principal goal is to bring out the inner creativity of each artist, especially those that might doubt their own natural talents. The Art Studio promotes an environment where people of all ages and abilities can learn to draw and paint. Students are taught on an individual basis in a small group setting and advance at their own pace, freeing them from the 
frustrations of rigid curriculum deadlines.","CA",4,99,"Yes","Yes","Yes","Drawing and Painting",,,,,,,,,125,"Per month","Phone or email form","https://www.facebook.com/TheArtStudioPasadena?fref=ts&ref=br_tf","n/a","http://the-art-studio.biz/images/logo.jpg",,,,,,
"Art Studio For Kids","http://www.art-tutoring-studio.com/index.html","info@art-tutoring-studio.com","1832 Fremont Ave","South Pasadena",91030,"SoCal","Jeana","(323) 259-0370","Art Studio for Kids offers instruction for children and adults in the fundamentals of fine art. There are no more than 6 students in a class so each student gets individualized instruction. Students learn drawing, watercolor, painting with acrylics, oils and mixed media in a non-competitive creative environment in our art classes. Art is a visual language. We teach students how to see and communicate visually using the elements of line, value, color, and texture. From this solid foundation students can go in any direction. Our classes are designed to help build self-confidence and give students a very real sense of pride in their work.","CA",3,99,"Yes","No","Yes","Drawing and Painting",,,,,,,,,35,"Per hour","Online form, mail checks","https://www.facebook.com/pages/Art-Studio-for-Kids/185107288200744","No",,"http://www.art-tutoring-studio.com/sitebuilder/images/good_time_040-258x197.jpg",,,,,
"Art Lessons By Cindy","http://artlessonsbycindy.com","ArtByCindy2@aol.com","25411 Trabuco Rd","Lake Forest",92630,"SoCal","Jeana","(949) 461-9231","If you have ever wanted to enroll your child in art lessons that are taught by a skilled instructor and affordable, this is your chance. Art Lesson’s by Cindy offers affordable art lessons for students of all ages and skill levels. Mrs. Cindy began her career as an art instructor teaching children from her home as well as participating in the Meet the Masters program. The growing public demand and need for art instruction encouraged Mrs. Cindy to open her own art studio based upon the belief that everybody is entitled to affordable art instruction.","CA",4,99,"Yes","No","No","Creative Arts","Drawing and Painting",,,,,,,,20,"Per class","PDF","https://www.facebook.com/pages/Art-Lessons-by-Cindy/197301750293602","No","http://artlessonsbycindy.com/Art_Lessons_by_Cindy/Welcome_files/shapeimage_1.png","http://artlessonsbycindy.com/Art_Lessons_by_Cindy/Welcome_files/P1000498.jpg",,,,,
"Da Center For Arts","http://daartcenter.org/","daartcenter@gmail.com","252 S Main St","Pomona",91766,"SoCal","Jeana","(909) 397-9716","An array of exhibitions, studio art classes and workshops, the Art Link program, a concert, cinema, dance and poetry venue, a volunteer and internship program, and a gallery store featuring local artisans’ are all the programs that paint the portrait of the dA Center for the Arts. The dA Center for the Arts exhibition venue offers unlike any other arts organization, a place for aspiring artists to experience having their artwork on display in a professional and esteemed gallery setting. This opportunity is available to students of all ages, hobby artists, and emerging and professional artists. The art courses are affordable and range from classic with life drawing opportunities to contemporary with creative computer art courses. The infusion of experimental to traditional musical concerts as well as performances of dance and poetry complete and enhance the multidisciplinary experience that the dA Center for the Arts, endorses and promotes for all ages and populations.","CA",5,99,"Yes","No","No","Drawing and Painting","Ceramics","Photography and Video",,,,,,,10,"Per class","PDF","https://www.facebook.com/ThedACenterfortheArts","Yes","http://daartcenter.org/img/dAlogo.png","http://daartcenter.org/img/Class.jpg",,,,,
