"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead","NOTES"
"Chuck Will Golf Academy at Dulles Golf Center","http://www.chuckwillpga.com/","ChuckWill@PGA.com","100 Avenue of the Champions","Palm Beach Gardens","FL",33418,"703-932-0537","At Chuck Will's Golf Academy instruction includes grip, stance posture, woods, irons, putting and the short game as well as rules and etiquette. There are 8-12 students per instructor. Summer Vacation Camps are held on Monday, Tuesday, Wednesday & Thursday.",4,99,"Yes","Yes","No","Golf",,,,,,,,,125,"Per_session","Active","https://www.facebook.com/pages/Chuck-Will-Golf-Academy/265537040278","No","N/A","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/424078_10150569452655279_2124922352_n.jpg?oh=9b0d28d3b140f4cd64c79089e31de0d2&oe=5518C834&__gda__=1424149439_5e5e6621a6a497e622b4001b644fac29","Dulles Golf Center",,,,
"Camp Lake Stephens","camplakestephens.com","darrell@camplakestephens.com","117 Camp Lake Stephens Drive","Oxford","MS",38655,"662-234-3350","During the summer months, Camp Lake Stephens is committed to offering the best summer camping program around. Activities such as swimming, canoeing, kayaking, archery, rappelling, and high and low ropes courses make our camp a favored destination. Our counselors and program staff are well-trained and well-equipped to lead the campers to a better understanding of what a Christian community is, while having a safe and exciting time away from home. Though we draw our campers mainly from Mississippi, our affordability merits us campers from as far away as Hawaii, New Jersey, and Minnesota. Thus, any child or youth is welcome at Camp Lake Stephens, no matter their religious affiliation. We consider all children to be precious in the eyes of God, and strive to love them as we have been called to do.",8,18,"No","Yes","No","Adventure/Outdoors","Nature Programs","Archery","Swimming","Christian","Kayaking","Canoeing","Creative Arts","Hiking",,,"Active","https://www.facebook.com/camplakestephens","Yes","http://camplakestephens.com/wp-content/uploads/2010/03/logonew.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/p417x417/10392458_10152407835664422_4119470775544204935_n.jpg?oh=62bf9364a57cd1d8191966b5a0fffc3b&oe=551C1570&__gda__=1428127078_5b0c951dc48ce58580cddaf8be08f49a",,3,12,,"No pricing listed"
"Mac's National Soccer School","macssoccerschool.com","denise@macssoccerschool.com","800 South Tucker Ave.","Tulsa","OK",74104,"918-688-4306","As we have for 20 years, Mac's National Soccer School offers several summer camp options for soccer enthusiasts of all skill levels.  We have camps for boys and girls from recreational, competitive and advanced backgrounds.",5,18,"Yes","Yes","No","Soccer",,,,,,,,,150,"Per_session","Active","https://www.facebook.com/MacsNationalSoccerSchool","No","http://static.wixstatic.com/media/b7747a_54567cd7d7c946a28b304feb97f1dc8d.jpg_srz_p_283_109_75_22_0.50_1.20_0.00_jpg_srz","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10559824_509972162436904_6361097931657134962_n.jpg?oh=e377b8ee60ea0d40d33e45e28372223a&oe=551758C1&__gda__=1423447408_1b484d61d4056334017e9aea29b4b071","Multiple lcations",,,,
"Groveland Summer Recreation Program","gsrp.org","director@gsrp.org","253 School Street","Groveland","MA",1834,"978-518-7421","The Groveland Summer Recreation Program is a non-profit summer day recreation program offered to Groveland children who will be entering Grades 1-7 in August of 2014.  We are located at the Dr. Elmer S. Bagnall Elementary School.  Our program offers numerous sports, games, activities, arts & crafts, terrific field trips, and TONS OF FUN!",6,11,"No","Yes","No","Creative Arts","Sports","Swimming",,,,,,,525,"Per_session","Active","https://www.facebook.com/grovelandsummer","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c1.0.160.160/p160x160/30744_121339977892797_445393_n.jpg?oh=e1cc994f2b8b65433e6ef1acc6ca3aa1&oe=5519133D&__gda__=1424275359_469d609ba438ded2521f2babca4b554a","https://scontent-a-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10364095_942399929120127_433068281216183910_n.jpg?oh=a9cf489c1ebad357aa55903ab070ea6a&oe=54DE7E7B","Dr. Elmer S. Bagnall Elementary School",1,7,,
"Bot Shop Rocks","botshoprocks.com","dwallace@botshoprocks.com","P.O. Box 262276","Houston","TX",77207,"832-208-0445","Bot Shop offers engaging hands-on educational robotic workshops for teachers, coaches/parents, and robotics summer camps that motivate kids to learn math & science through a focus on Rigor, Relevance & Robots. Our robotics summer day camps and workshops help learners and educators increase academic achievement in math and science through the use of robots as instructional learning tools in both formal and informal classrooms. We offer various topics at diverse dates and times at affordable prices to accommodate the wide-range of needs for educators and learners.",7,14,"Yes","Yes","No","Robotics","Science/Technology",,,,,,,,50,"Per_day","Active","https://www.facebook.com/pages/Tech-It-Out-Educational-Robotics/222529832424?ref=ts","No","N/A","https://scontent-a-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1915628_223331102424_2567824_n.jpg?oh=3dccc3a9c4c71c6674e6310797611f02&oe=54D65E6E",,,,,
"The Bridges Golf Club","ericjonesgolf.com","ejones@ericjonesgolf.com","The Bridges Golf Club 9000 S Gale Ridge Rd","San Ramon","CA",94582,"650-274-3890","Summer golf camps are a great way to introduce juniors to golf, have lots of fun, and meet new friends. Our summer camps focus on building solid fundamentals in the most important parts of the game: putting, chipping, and the full swing with irons and woods. But we also have plenty of fun with golf-related games and activities.",5,17,"Yes","Yes","No","Golf",,,,,,,,,190,"Per_session","Active","N/A","N/A","https://d36gjuhpahvv9l.cloudfront.net/api/file/Mo9cMGQv2ZkQPElOAIfQ","https://d36gjuhpahvv9l.cloudfront.net/api/file/n94cWVzmRqpmDuuqAN2Y","The Bridges Golf Club",,,,
"Everglades Youth Conservation Camp","http://fyccn.org/Everglades%20Youth%20Conservation%20Camp","EYCC@MyFWC.com","620 S. Meridian St.","Tallahassee","FL","32399-1600","561-624-6929","The Everglades Youth Conservation Camp (EYCC) is located on the J.W. Corbett Wildlife Management Area in western Palm Beach County. The residential summer camp program is for campers 8–14 years old. The EYCC also offers a Junior Counselor program for campers 15–17 years old. Summer camp activities challenge camper’s physical, mental and social growth. Cabin counselors serve as guides through camp life and instructors are mentors and role models. EYCC’s summer programs feature a unique environmental education theme with outdoor adventure activities in the Florida Everglades, recreational opportunities and time to relax, have fun and make new friends.",8,14,"No","Yes","No","Adventure/Outdoors","Nature Programs","Hiking","Canoeing","Swimming","Archery","Sports",,,360,"Per_session","Active","https://www.facebook.com/FYCCN","No","http://fyccn.org/images/Not%20connected%20color_horizontal.png","https://scontent-a-lga.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10628240_865646720153766_7721370075199291436_n.jpg?oh=4aabd5e914d99b59c756bbaef6538657&oe=54E06E80",,,,,
"The Farm Education Collaborative","www.thefarmeducationcollaborative.org","farmeducationcollaborative@gmail.com","P.O. Box 323","Belchertown","MA",1007,"413-657-0000","The Farm Education Collaborative (TFEC) is a group of experienced educators dedicated to creating farm-based education programs in the Pioneer Valley of Western Massachusetts.  TFEC programs nurture the seeds of earth stewardship for young and old alike while connecting people to local food, our shared agricultural heritage, and to one another.  Our vision is to create a thriving agricultural education center in the Pioneer Valley with a variety of farm based programs on and off site, for all ages and populations.  Our programs will transform participants’ relationships with food, fiber, and farms.",4,14,"No","Yes","No","Nature Programs","Farm","Animals",,,,,,,335,"Per_session","Active","https://www.facebook.com/pages/The-Farm-Education-Collaborative/332480391189","No","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/312387_10151283034821190_1133778628_n.jpg?oh=7c22e3db0a340d4868204c1226390a3d&oe=5520145A&__gda__=1427553489_361c212b7c400bc56205f8baf8eaf7f6","https://scontent-a-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1609914_10152101691831190_8610651178005464705_n.jpg?oh=2ad1bc2db264a57bd5727c30db4e32e1&oe=54ECEB8C","Hampshire College Farm Center",,,,
"Science Matters Foundation","sciencematters4kids.com","garyf@sciencematters4kids.com","4551 Logan Ct","Fremont,","CA",94536,"510-353-1047","Summer camps abound and they are great for kids. Just about anywhere you live, you can find a summer camp that is conveniently located. They're fun, but they can be somewhat limiting. On the other hand, A-STEM camp offers you so much more. STEM camps are designed with the child in mind. Fremont kids will be enjoyig the first ever STEM camp run in the Fremont area.  It is being sponsored by Science Matters Foundation and has a curriculum developed by four leading children's after school enrichment providers.  All four are experts at bringing educaton to children, cleverly disguised as ""FUN.""",5,11,"No","Yes","No","Academics","Math","Science/Technology",,,,,,,129,"Per_session","Active","N/A","N/A","http://sciencematters4kids.com/image/84016983_scaled_405x137.png","N/A","Multiple locations",,,,"No usable pics on site"
"Knollwood Country Club","www.knollwoodgc.com","golferdmann@gmail.com","12040 Balboa Boulevard","Granada Hills","CA",91344,"616-254-7784",,,,,,,,,,,,,,,,,,,,,,,,,,,"No mention of childrens activities on site"
"Indian Hill Country Club","ihccgolf.com","golfshop@ihccgolf.com","111 Golf Street","Newington","CT",6111,"860-666-5447","Indian Hill Country Club offers a junior's golf program, a concentrated course designed to teach your child everything he/she will need to play golf. The low student to instructor ration allows for plenty of 1-1 time to improve their golf skills.",8,16,"Yes","No","No","Golf",,,,,,,,,99,"Per_session","Active","https://www.facebook.com/IndianHillCountryClub","No","http://ihccgolf.com/IHCC/Images/ihcc%20beige%20logo%20transparent.png","https://scontent-a-lga.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/6743_610329695644496_935448492_n.jpg?oh=f5b46d47bd113216d86c01c0e19233f3&oe=54EA1B4A",,,,,
"The Ranch Country Club","theranchcc.com","golfstaff@theranchcc.com","11887 Tejon Street","Westminster","CO",80234,"303-466-2111","Tennis at the Ranch Country Club is year-around with 4 indoor and 4 outdoor hard courts, ball machines, tennis professionals, and plenty of fellow players and programs to polish and test your game. For your enjoyment and convenience, all courts are lit for evening play. Our active tennis program includes tournaments, lessons and clinics, and extensive league competition. Our staff of USPTA Professionals offer a complete instruction program from tots to adults in groups or privates. The tennis pro shop offers quality equipment and merchandise for the entire family.",5,18,"Yes","No","No","Tennis","Swimming","Golf",,,,,,,54,"Per_class","Active","https://www.facebook.com/pages/The-Ranch-Country-Club/470377700703","No","http://theranchcc.memberstatements.com/Clubs/Ranchcc-CO/Uploaded/FacilityPics/RANCHLOGO1.bmp","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1383175_10153375606735704_335367617_n.jpg?oh=37be308a478b95573cf6ef3e458570a1&oe=54ED1B9C&__gda__=1428011972_7b72960b4de86c1995ee5d6e4cf0d993",,,,,
"Bill Ferguson's Elite Volleyball Camp","https://billfergusonvolleyballcamp.com/","greencam@usc.edu","3400 S. Figueroa Street","Los Angeles","CA",90089,"213-361-6610","Bill Ferguson’s Elite Volleyball Camp is an advanced skill camp designed for boys between the ages of 14-18 seeking to maximize their potential in all areas of the game. The training session will be held on the USC Campus in the brand new state of the art Galen Center built exclusively for the men’s and women’s volleyball and basketball teams.",14,18,"No","Yes","No","Basketball",,,,,,,,,460,"Per_session","Active","N/A","N/A","https://billfergusonvolleyballcamp.com/images/header.png","https://billfergusonvolleyballcamp.com/images/home-big.jpg","Galen Center",,,,
"Empire Lakes Golf Course","http://www.empirelakes.com/","hammergolf@roadrunner.com","11015 Sixth Street","Rancho Cucamonga","CA",91730,"(909) 481-6663","The School of Golf at Empire Lakes offers a great way to introduce your youngsters to the great game of golf. Our Saturday Junior Golf Clinics are custom-taylored to junior golfers. Students learn full swing, chipping, putting, rules and etiquette, and safety. The clinics are designed for beginners up to experienced junior golfers who want to improve their game and have the skills to play on the course.",6,17,"Yes","No","No","Golf",,,,,,,,,15,"Per_class","Active","https://www.facebook.com/EmpireLakes","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p160x160/543675_10150918688737804_1728874423_n.jpg?oh=fa1da2336cd9443c1eefcae328fdf8a0&oe=551BBC09&__gda__=1427984708_2ef7a58d12a1584b66108addf0e1de77","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/246905_10150211614062804_4633092_n.jpg?oh=dd0cde58b929228b22a5072fd2a67526&oe=5519621E&__gda__=1423680160_59bfc4cb67b073663559c67b1858e737",,,,,
"Tri Mountain Golf Course","www.trimountaingolf.com","hbluestein36@hotmail.com","1701 NW 299th St","Ridgefield","WA",98642,"360.887.3004","If you have ever thought about picking up a golf club, either again or for the first time, you can make golf your sport for a lifetime. Get Golf Ready is designed to teach you in five 90-minute lessons everything you’ll need to know to step onto a golf course and play with confidence. Lessons will include on-course activities taught by trained Golf Professionals who will make sure you have fun each step of the way.",3,99,"Yes","No","No","Golf",,,,,,,,,129,"Per_session","Active","https://www.facebook.com/pages/Tri-Mountain-Golf-Course/103955202996315","No","https://d1nwosmzpc2sru.cloudfront.net/d6/df/1f8c390647b186a3603f1447bc73/tri-mountain-golf-course.png","https://d1nwosmzpc2sru.cloudfront.net/6a/5d/47063bc1444db801dc502a90a488/tri-mountain-junior-golf-1.jpg",,,,,
"DIGIVATIONS Institute","campdemigod.org","info@campdemigod.org","P.O. Box 92","Point Robert","WA",98281,"360-543-5641","Whether the goal is to extend the student's foundations of knowledge, skills or experience or to tackle life's unknown challenges to achieve desired goals, our programs will develop passions and inspire a love of learning in people of all ages. This means engaging conceptual and critical thinking beyond the basics coupled with creative expression and constructive risk taking in an applications-hands on environment. DIGIVATIONS Camp Demigod’s Camp Half-Blood and Camp Fandom are a blend of world building through innovation, role playing and speculative fiction which we refer to as the Innovation Bakery. These Camps are based on the principles that kids have an enormous reservoir of creativity and innovative ideas which they look forward to sharing with other like-minded individuals who hold common interests.",9,15,"Yes","Yes","No","Academics","Math","Science/Technology","Creative Writing","Drama/Theater","Dance","Martial Arts","Music","Gymnastics",,,"Active","https://www.facebook.com/groups/151576568340990/","N/A",,"http://www.digivations.com/images/499_IMG_1749.JPG",,,,,
"Collins Hill Golf Club","www.collinshillgolf.com","info@collinshillgolf.com","585 Camp Perrin Rd NE","Lawrenceville","GA",30043,"770-822-5400","The SHARE Golf Academy is designed to make learning to play golf fun, simple and inexpensive.  The game is hard to play without proper instruction and I want to teach you the fundamentals necessary to actually play golf.  Through the classes offered you will learn the fundamentals of all aspects of the game.  Once the fundamentals are in place, we can then begin to build your skills so that your scores will go down.",3,99,"Yes","No","No","Golf",,,,,,,,,30,"Per_class","Active","https://www.facebook.com/CollinsHillGolf?ref=hl","No","http://www.collinshillgolf.com/images/design/logo.png","https://scontent-b-lga.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/221669_189531311092909_7817056_n.jpg?oh=c156751e6e818a39bb2ed681c365afd3&oe=551E9A88",,,,,
"Families First Brooklyn","http://www.familiesfirstbrooklyn.org/","info@familiesfirstbooklyn.org","250 Baltic Street","Brooklyn","NY",11202,"718-237-1862","Families First Brooklyn is an independent, non-profit organization dedicated to supporting Brooklyn families.  Serving the Carroll Gardens, Cobble Hill, and Boerum Hill community for nearly 30 years. Families First provides a safe place for parents and caregivers to bring young children. The Center provides activities and spaces where the child is the center of activity, and we offer parents and caregivers frequent parenting workshops, classes, support groups, and a lending library stocked with parenting-related books.",1.5,4,"Yes","No","No","Creative Arts","Academics",,,,,,,,390,"Per-session","Active","https://www.facebook.com/pages/Families-First-Brooklyn/307479828588?fref=ts","No","http://www.familiesfirstbrooklyn.org/uploads/2/1/6/7/21677730/1383766482.png","https://scontent-a-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10514504_10152367137383589_8840361461431843023_n.jpg?oh=d4a8de9f692d645f757b9a5e8a094015&oe=54E24F75",,"Pre-school","Pre-K",,
"First Shot Soccer","firstshotsoccer.com","info@firstshotsoccer.com","29 Mohawk Avenue","Oakland","NJ",7436,"201-644-8733","First Shot Soccer is a recognized leader in the development of youth soccer in northern New Jersey for over 25 years. We are a full-service training academy which offer various training programs, camps, indoor winter training, private training, small group training and high school mini-camps all year-round for boys & girls ages 6-19.  Our players are easily recognized for their high skill level, game strategies and sportsmanship, all while having fun! Even our youngest, beginner level players are noticed demonstrating First Shot Soccer technique!",4,19,"Yes","Yes","No","Soccer",,,,,,,,,75,"Per-session","Active","https://www.facebook.com/firstshotsoccer?ref=nf","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p160x160/1914003_178728597264_2341266_n.jpg?oh=4caaf49cf0f0bd358d81c9ca2e6219b8&oe=55184896&__gda__=1423077530_f8c410564d985363baa6b20601291bca","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/30651_449088372264_774672_n.jpg?oh=0320f0790532c03da6991d362c84916f&oe=54E9E20E&__gda__=1428095944_32249b7197f6668a5ea6aaec96dba411","Turf City Sports Center",,,,
"Hope Soccer Camp","hopesoccercamp.com","info@hopesoccercamp.com","222 Fairbanks Avenue","Holland","MI",49423,"616-805-9303","The Hope Soccer Camp has been creating outstanding experiences for both novice and experienced_x0006_ players since 1992. It's the unique and special approach we take in developing our camp culture that sets the Hope Soccer Camp apart from the competition. It's the design of the curriculum and the commitment to excellence that sets our camp apart. The Hope Soccer Camp experience is specifically designed to meet each player's need. By combining the training techniques used by the Varsity Soccer programs and a commitment to the traditions and values of Hope College, the Hope Soccer Camp has a well-deserved reputation for developing players' skills, character, and their love for the game.",6,18,"No","Yes","No","Soccer",,,,,,,,,180,"Per_week","Active","https://www.facebook.com/pages/Hope-Soccer-Camp/111367155569886","N/A","http://hopesoccercamp.com/files/Title_Header_Template.jpg",,,,,,"No usable photos on site or FB"
"Outside the Lens","outsidethelens.org","info@outsidethelens.org","2750 Historic Decatur Road, #103","San Diego","CA",92106,"858-349-7578","The mission of Outside the Lens is to empower youth to use digital media to create change within themselves, their community and their world. Our innovative program engages disconnected youth, encourages them to tell their stories and teaches them that participation in their community’s future makes a difference. We use cameras and digital media along with a proven educational strategy that allows youth to think creatively, engage in issues that are important to them and advocate for social change.",8,18,"Yes","Yes","No","Digital Media","Photography and Video",,,,,,,,39,"Per_class","Active","https://www.facebook.com/OutsideTheLens","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p160x160/481723_10151246395227272_946014908_n.png?oh=ead42bee66b42da85bac3a43495ceefa&oe=55197E8F&__gda__=1427940378_618ccbfe8b94d211c79953891f6e54d5","https://scontent-b-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10641078_10152776591372272_1990375400756211621_n.jpg?oh=36b222e8675311734237d24332b5ebc7&oe=54DA6B8F",,3,12,,
"Pilots Baseball School","www.pilotsbaseballschool.com","info@pilotsbaseballschool.com","5000 N. Willamette Blvd.","Portland","OR",97203,"360-798-7866","Pilots Baseball School has been providing baseball camps, private instruction, and youth coaching clinics in Portland since 1984. We are running summer and winter baseball camps for players from Little League to high school. We love teaching and training players in the mental and physical fundamentals of the game, and helping young people transfer the lessons learned to their everyday lives as they grow. Our camps are staffed with professional coaches and players from the University of Portland. Over the years, we have utilized high school and college coaches, current and former professional players, and professional baseball scouts to work selected events. Our camps have a camper-to-coach ratio of 10:1 or smaller. In addition to our camp formats, we provide small group and private instruction to players, as well as coaching clinics for youth at every level.",7,18,"Yes","Yes","No","Baseball",,,,,,,,,225,"Per_session","Active","https://www.facebook.com/PilotBaseballSchool","No",,"http://static.wixstatic.com/media/58b377_a4f3e8b416404d20bf9590ca608205c0.jpg_srz_p_400_300_75_22_0.50_1.20_0.00_jpg_srz",,2,12,,
