"provider_name","website","email","street_address","city","state","Zipcode","Metro Area","Sales agent","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","HOT LEAD"
"Galaxy Blues Academy","http://www.galaxybluesfc.com/","info@galaxybluesfc.com","701 Wildcat Blvd","Rocklin","CA",95765,"NorCal/Sacramento","Hailey",,"Blues Player Development Clinics are geared towards the soccer player looking to increment their normal team training to build their skills and understanding of the game. These sessions are designed for players at all levels and also provide an excellent introduction into the Blues Training Philosophy. The U7/U8 Academy Program is the entry program into the Galaxy Blues competitive soccer team play and training. The program establishes necessary technical skills and confidence, while creating a thirst for personal challenges and individual improvement. Our program maximizes the players touches on the ball in a safe and friendly environment to encourage our young athletes to take risks and experiment. The technical skills and ability to function within small group concepts established in this program positions the young athlete to compete in the more competitive programs that follow.",6,12,"Yes","Yes","No","Soccer",,,,,,,,,100,"Per_month","Paypal","https://www.facebook.com/galaxybluesfc","Yes","http://calbluessoccer.epaiges.com/wp-content/themes/GalaxyBlues//img/galaxy-blues-logo.png","http://calbluessoccer.epaiges.com/wp-content/uploads/2014/01/u8-pic.jpg","Multiple",,,"Player developement programs and player academy","Yes"
"Pacific Elite Soccer Academy","http://www.pacificelitesocceracademy.com/","mcoleman@pacific.edu","3601 Pacific Avenue","Stockton","CA",95211,"NorCal/EastBay","Hailey","209-946-7301","The purpose of our Skills Academy is to give youth soccer players opportunities outside their regular team practices to work on skill development and to help them understand the concepts of soccer and how it applies on the field. Sessions will be run by the Pacific Soccer collegiate coaching staff and players. Our training sessions run year round.",8,18,"Yes","Yes","No","Soccer",,,,,,,,,60,"Per_session","Campnetwork","https://www.facebook.com/PacificSoccer","Yes",,"http://www.pacificelitesocceracademy.com/wp-content/uploads/2014/06/RS46881_Soccer-Summer-Sports-Camp-2014-26-176x116_c.jpg",,,,,
"San Francisco Vikings Soccer Club","http://www.sfvsc.org/","sfvikingssoccer@sbcglobal.net","12101 Van Nuys Blvd. #16","Lake View Terrace","CA",91342,"SoCal","Jeana","415-753-3111","The Academy is designed for boys and girls who love soccer and are looking for developmental opportunities in addition to their practices with their fall team. The Academy is looking for players who are committed to developing their soccer skills and are mentally and emotionally ready to benefit from a structured technical training environment.",8,11,"Yes","Yes","No","Soccer",,,,,,,,,100,"Per_session","Formsite.com","https://www.facebook.com/pages/San-Francisco-Vikings-Soccer-Club/373233062790797","NO",,"http://cdn4.sportngin.com/attachments/text_block/3598/8375/soccer__3__large.jpg",,,,,
"Cal South","http://www.calsouth.com/",,"1029 S. Placentia Avenue","Fullerton","CA",92831,"SoCal","Jeana","888.429.7276","Cal South provides sanctioning as a CCAP Program in order to allow soccer instructors and youth players to participate in skills-based development programs with the resources and support of Cal South. CCAP Programs focus mainly on introductory soccer activities and/or technical skill development in an individual or small group setting. Advanced CCAP Programs may also offer specialty skill development training programs (goalkeeping, finishing, etc.). CCAP Programs predominately target U4 to U10 players, but may be offered up to the U19 age group. Participants are not provided a Cal South Player Pass, nor are they eligible for league play or tournaments unless appropriately registered and rostered to an eligible team.",4,10,"Yes","Yes","No","Soccer",,,,,,,,,200,"Per_session","Formsite.com","https://www.facebook.com/CalSouthSoccer","Yes",,,,,,,
"Brea Soccer Association","http://www.breasoccer.org/","soccer@breasoccer.org","PO Box 573","Brea","CA",92822,"SoCal","Jeana","714-256-1382","The Brea Soccer Association (known on the field as AC Brea - referring to all levels of play, recreational, club, camps, clinics, futsal, adults, etc.) has a long history of service in and around the community of Brea. We are proud of our past and look forward to meeting the needs of our community. Today, AC Brea is a full-service youth and adult soccer organization.",5,18,"Yes","Yes","No","Soccer",,,,,,,,,,"None listed","Demosphere","https://www.facebook.com/acbrea","No","http://www.breasoccer.org/images/2013/home-1-1.png","http://www.breasoccer.org/imgs/036.jpg",,,,,
"Little Rascals Soccer Club","http://littlerascalzsoccer.com/",,"830 Valley Center Drive, Suite 705 - 826","San Diego","CA",92130,"SoCal","Jeana","619-309-9626","At Little Rascalz our soccer classes for kids are unique and not like any other sports programs. hey are purposely designed to be fun, silly, age appropriate and a high energy experience for your toddler.  Our Soccer & Mommy 'n' Me sports programs feature exciting games and activities to teach the rudimentary skills of the sport, and all that comes with it. Your toddler will learn to participate in a group, follow simple instructions, cooperate with peers, develop gross motor skills, and lets not forget the obvious benefits of having them burn off some of that energy...eh! 
Little Rascalz Soccer coaches are, as you have come to know, highly experienced in dealing with toddlers and young children and are brilliant at what they do!  Located throughout San Diego, you can find us having fun at a community park in your neighborhood.",1.5,7,"Yes","Yes","Yes","Soccer",,,,,,,,,146,"Per_session","MyIMatrix","https://www.facebook.com/pages/Little-Rascalz-Soccer-School/113198062036860","Yes","http://my.imatrixbase.com/clients/585/images/slideshows/10150/lrsbanner1.jpg",,,,,,
"Strikers South Coast Junior Academy","http://southcoaststrikers.com/","bobby@scbayeern.com","18141 Beach BlvdSuite 395","Huntington Beach","CA",92648,"SoCal","Jeana","714-658-2221","STRIKERS FC - SOUTH COAST is dedicated to provide a soccer program to regional youth that inspire enjoyment of the game, development of soccer skills and discipline of integrity. We offer a structured program that emphasizes discipline and sportsmanship. Family involvement is encouraged to help create a unified soccer community and support for the youth players. As players progress in skill and game understanding, expectations for team play can vary from player to player. STRIKERS FC - SOUTH COAST is dedicated to offering an empowering experience for all participants, with a focus on individual skill and awareness. STRIKERS FC - SOUTH COAST is also dedicated to develop players to their utmost potential.",6,8,"Yes","Yes","No","Soccer",,,,,,,,,10,"Per_class","Phone or email","https://www.facebook.com/strikers.fc.71?fref=ts","N/A","http://southcoaststrikers.com/images/spacer.gif","http://208.166.54.35/~scoast/UserFiles/images/mattie.jpg","HB Sports Complex",,,,"Yes"
"FC Valencia","http://fcvalencia.com/","info@fcvalencia.com","27943 Smyth DriveSuite 210","Valencia","CA",91355,"SoCal","Jeana","661-800-4255","FC Valencia is offering a variety of clinics, training camps, and recreation league activities geared towards player enrichment and overall development.  Creative Soccer Enterprises, Inc. promotes a vision of developmental soccer that advocates a unique focus of training and understanding of youth soccer. The principle objectives of Creative Soccer Enterprises, Inc. are to build programs that promote longer range, developmental and educational programs for youth soccer and beyond, but specifically based on the guidelines for learning that are endorsed by the United States Youth Soccer Association and the United States Soccer Federation.",5,12,"Yes","Yes","No","Soccer",,,,,,,,,160,"Per_session","DirectPay","https://www.facebook.com/futbolclubvalencia","No","https://fcvalencia.com/cms/wp-content/uploads/2014/10/FCV-Hori_1045w292h-Ribbon2.png",,,,,,
"Chula Vsita Rangers Soccer Club","http://www.chulavistarangers.com/","board@chulavistarangers.com","374 E. H St. Ste. A PMB 441","Chula Vista","CA",91910,"SoCal","Jeana","619-454-4116","Our program provides the training and game exposure needed to build confidence in a fun filled instructional environment for boys and girls ages 4 to 10 years old. Players will learn: Ball Mastery, Coordination and most-of-all; HAVE FUN in a Positive Learning Environment. Some advantages to the program include small sided games for mastery, everyone plays, and most of all cultivates affection for the game of SOCCER.",4,10,"Yes","Yes","No","Soccer",,,,,,,,,150,"Per_session","Demosphere","https://www.facebook.com/pages/Chula-Vista-Rangers-Soccer-Club/345077770453","Yes","http://www.rangerssc.net/images/2013/home-1-1.png",,"Voyager Park",,,,
"Crescenta Valley Soccer Club-First Kickers","http://www.cvsoccerclub.com/","reggiesoccer@yahoo.com","12101 Van Nuys Blvd. #16","Lake View Terrace","CA",91342,"SoCal","Jeana","818-257-4515","Crescenta Valley Soccer Club’s First Kickers has teamed up with RightStart Soccer and founder Joel Govea to offer a special program designed just for young players. Our goal is to develop athletes with the skills and tools they need to be successful both on and off the soccer field. The program is age-appropriate and developmentally focused to encourage learning through technical demonstration and movement in a positive and fun learning environment. The purpose of the program is to develop players technically while building confidence and motivation, regardless of ability level.",5,8,"Yes","Yes","No","Soccer",,,,,,,,,125,"Per_session","Demosphere","https://www.facebook.com/pages/Crescenta-Valley-Soccer-Club/234683929530","No","http://www.cvsoccerclub.com/images/2011/header.png","http://www.cvsoccerclub.com/imgs/JuniorAcademy/Kickers_1_3.JPG",,,,,
"NHBFC","http://www.nhbfutbol.com/","info@nhbfutbol.com","PMB 15818685 Main St. #A","Huntington Beach","CA","92648-1719","SoCal","Jeana","714-969-7674","The NHB Academy is designed to help players improve their technical skills and game tactics with an emphasis on ball control and technique. Sessions will be led by NHB licensed coaches under the direction of Academy Director, David Thomas and Director of Coaching and UCI coach Chris Volk. Players will receive small group training followed by small sided games, allowing players to practice and develop new skills.",5,12,"Yes","Yes","No","Soccer",,,,,,,,,90,"Per_session","PDF","https://www.facebook.com/pages/NHB-Futbol-Club/226522900727888","No",,"http://cdn3.sportngin.com/attachments/photo/3038/7195/Goal_kick_small.jpg","Hope View Elementary School",,,,"Yes"
"Nomads Soccer Club & Academy","http://www.nomadssoccer.org/","info@nomadssoccer.org","3908 Torrey Pines Road","La Jolla","CA",92037,"SoCal","Jeana","858-587-0511","Following a comprehensive review of elite player development in the United States and around the world, U.S. Soccer created the Development Academy in 2007 to improve the everyday environment for the elite youth player. he Development Academy is a partnership between U.S. Soccer and the top youth clubs around the country to provide the best youth players in the U.S. with an every day environment designed to produce the next generation of National Team players. The Academy’s programming philosophy is based on increased training, less total games and more competitive games.",11,18,"Yes","Yes","No","Soccer",,,,,,,,,,"None listed","Demosphere","https://www.facebook.com/NomadSoccer","No","http://www.nomadssoccer.org/images/2009/home-1-2.gif","http://www.nomadssoccer.org/imgs/Screen%20Shot%202013-11-07%20at%2010_45_32%20AM.png",,,,,
"Irvine Soccer Academy","http://www.irvinesocceracademy.com/","info@irvinesocceracademy.com","PO Box 60184","Irvine","CA",92602,"SoCal","Jeana","949 466-3129","LEARN SOCCER SKILLS & PLAY TEAM GAMES IN A FUN ENVIRONMENT - Our ""JUNIOR ACADEMY PROGRAM"" is LEARN SOCCER SKILLS & PLAY TEAM GAMES IN A FUN ENVIRONMENT - Our ""JUNIOR ACADEMY PROGRAM"" designed to develop players advanced technical skills. Each player is encouraged to have fun and develop a passion and loyalty to the beautiful game of soccer, while taking their technical game to the next level and developing tactical awareness. Our professional training staff will provide a fun and enjoyable experience while they focus on developing advanced technique in BALL CONTROL, DRIBBLING, PASSING, SHOOTING, TACKLING, TACTICS and PLAYING GAMES.",3,12,"Yes","Yes","No","Soccer",,,,,,,,,49,"Per_session","Korrio","https://www.facebook.com/pages/Irvine-Soccer-Academy/197706097041095","No",,"http://cdn3.sportngin.com/attachments/photo/2893/4248/image_20789684302015607791_medium.png",,,,,
"Inland Empire Surf Soccer Club-Little Kickers","http://inlandempiresurf.com/","info@inlandempiresurf.com","3496 Little League Drive","San Bernardino","CA",92407,"SoCal","Jeana",9092379091,"nland Empire Surf Soccer Club announces the formation of its ""Happy Kickers"" program specifically designed for children aged 4-8 years old who are looking for a fun, high energy, positive hour of soccer! Our professional staff has planned a series of courses where young players can enhance their soccer skills while helping them with their overall growth, motor skills and confidence! The Happy Kickers courses are designed for children who are ready for a challenge while at the same time have fun with a group of children at his or her level. Classes are fun and fast paced while keeping the player focused on their balancing skills, coordination and teamwork! The Inland Empire Surf SC ""Happy Kickers"" program is held every Wednesday at the Surf Soccer Complex in San Bernardino.",4,8,"Yes","Yes","No","Soccer",,,,,,,,,25,"Per_month","Sportsaffinity","https://www.facebook.com/pages/Inlandempiresurfcom/139366139585505","No","http://inlandempiresurf.com/images/2013/home-1-1.jpg",,"Surf Soccer Complex in San Bernardino",,,,
"Socceroplis","http://www.socceropolis.com/",,"Clover Park & McKinley School","Santa Monica","CA",,"SoCal","Jeana","310-592-5707","SOCCEROPOLIS is a non-competitive introductory program which is designed to provide year-round soccer classes and camps for boys and girls ages 3 to 10. Children will learn the basic FUNdamentals of soccer such as: dribbling, trapping, passing, shooting, and play actual soccer games. This fast paced, energetic program will stimulate each child to build coordination, motor skills, balance and movement in a fun and safe environment. Our SOCCEROPOLIS program clearly understands the youth player and will certainly bring out their confidence and creativity through lessons taught on the field.",3,9,"Yes","Yes","Yes","Soccer",,,,,,,,,143,"Per_session","Phone only","N/A","N/A","http://www.socceropolis.com/images/new_header.gif","http://www.socceropolis.com/galleryphotos/th/53ae384a89eeb_IMG_3931.jpg","Clover Park, McKinley School",,,"Coach Milton","Yes"
"Soccer Kids USA","http://soccerkidsusa.com/","info@soccerkidsusa.com","12806 Pacific Avenue, Suite #6","Los Angeles","CA",90066,"SoCal","Jeana","310.737.0174","SoccerKidsUSA™ is a unique and playful children's fitness program that introduces boys and girls 2.5 – 6 years old to the wonderful game of soccer! With its fun and imaginative games and activities, SoccerKidsUSA™ helps kids develop their soccer skills, coordination, cooperation and learning abilities in a non-competetive environment. Young players are encouraged to listen, make choices, solve problems, and set goals in a supportive, motivating and positive atmosphere. Our nurturing and safe environment invites children to express their individuality while exploring our playing field of... ""FUN, SUN & SOCCER!!!""",2.5,12,"Yes","Yes","Yes","Soccer",,,,,,,,,340,"Per_session","On website","https://www.facebook.com/soccerkidsusa","No","http://soccerkidsusa.com/images/gui/logo.png","http://soccerkidsusa.com/images/gui/-2cropped.jpg","Crestwood Hills Park, Cheviot Hills Park",,,,"Yes"
"Soccer Kids America","http://www.soccerkidsamerica.org/",,"1765 Garnet Avenue #3","San Diego","CA",92109,"SoCal","Jeana","619-977-0474","Soccer Kids America was founded in 2008. Our mission is to provide a fun and positive environment to assist kids in learning and developing soccer skills. Our programs are designed to support kids in learning to love the sport of soccer and to develop a positive self esteem along with a basis for future success in soccer and in life. We offer camps, classes, youth and adult soccer tournaments and futsal indoor soccer leagues for youth ages 4-17 years old.",4,17,"Yes","Yes","No","Soccer",,,,,,,,,13,"Per_class","Paypal","https://www.facebook.com/pages/Soccer-Kids-America/190125731063848","Yes","http://www.soccerkidsamerica.org/uploads/3/2/4/7/3247543/header_images/1368686658.jpg","http://www.soccerkidsamerica.org/uploads/3/2/4/7/3247543/1398220895.jpg","Misc Schools",,,,
"Soccer Routes","http://www.soccerroutes.com/",,,"Burbank","CA",,"SoCal","Jeana","(424) 281-0534","Soccer Routes (Inc.) is a fun skill based, technical coaching company for kids (2-14yr). We offer professional coaching, which will challenge and develop children into better athletes and better people. Every week a different aspect of the game will be coached in Forty-five to Sixty minute sessions.",2,14,"Yes","Yes","No","Soccer",,,,,,,,,25,"Per_class",,"https://www.facebook.com/soccerroutes","N/A","http://static.wixstatic.com/media/68d6be_9461ca65d9e146b38a477cb540c12f1f.jpg_srz_p_508_364_75_22_0.50_1.20_0.00_jpg_srz",,"Various Parks",,,"Website is under construction","Maybe"
"Coast2Coast Soccer","http://www.c2csoccer.com/","info@c2csoccer.com","27324 Camino Capistrano, Ste. 203","Laguna Niguel","CA",92677,"SoCal","Jeana","888-896-2209","At Coast 2 Coast Soccer, we ""Make Soccer Fun"". We run after school soccer programs and day camps. We are now the largest after school soccer program provider in California & Texas. We partner with over 80 School Districts & 25 Community Based Organizations. We offer the best soccer programs because: 1) We hire and train college soccer players; and 2) We have a highly organized & fun soccer curriculum.",5,12,"Yes","Yes","Yes","Soccer",,,,,,,,,69,"Per_session","Cart on website","https://www.facebook.com/c2csoccer","Yes","http://www.c2csoccer.com/Managed/Banner/logo_website.png",,"Various",,,"Multiple locations","Yes"
"For the Love of the Game- Soccer for Tots","http://www.soccerfortots.com/","info@soccerfortots.com",,,,,"SoCal","Jeana","(310) 316-7470","Our specialized curriculum, designed specifically for this age group, allows kids to develop their soccer skills at their own pace without the pressure of games and competition. Our small group, non-competitive format encourages multiple touches
of the ball often missing in games, but essential for player advancement. Our weekly classes develop not only their soccer skills but also coordination, motor, social, listening, and communication skills.   We provide a structured yet FUN environment which is the perfect balance for your child to work on their skills while building their confidence.",3,7,"Yes","Yes","Yes","Soccer",,,,,,,,,180,"Per_session","PDF","https://www.facebook.com/soccerfortots","No","http://www.soccerfortots.com/About_Us_files/droppedImage.png","http://www.soccerfortots.com/Tots_files/7255.jpg","Palos Verdes & N Redondo",,,,"Yes"
"Autobahn Soccer Academy","http://www.autobahnsoccer.com/","autobahnsoccer@yahoo.com","3400 Airport Ave. #73","Santa Monica","CA",90405,"SoCal","Jeana","310-572-9121","Autobahn Soccer Club is a unique soccer development program designed to provide youngsters ages 3-18 with an opportunity to improve fundamental soccer skills in a fun and safe environment. Here at Autobahn Soccer Academy, we pride ourselves on playing as a team to produce imaginative, entertaining and skillful football. We take time to develop and nurture our younger players to ensure that they reach their full potential. By guiding players through our extensive training programs, we have produced many players that we are proud of.",3,18,"Yes","Yes","Yes","Soccer",,,,,,,,,65,"Per_month","SportNgin","https://www.facebook.com/Autobahnsoccer","No",,,"Various",,,"Reg fee is due as well as monthly fee. Multiple locations.","Yes"
"KidzKicks","http://www.kidzkicks.com/",,"3891 Royal Woods","Los Angeles","CA",90049,"SoCal","Jeana","(310) 883-5690","We believe that the joy of playing should be at the forefront of learning soccer and that the development of soccer skills goes hand in hand with having fun, which is the foundation of our approach. Players learn the most through individualized attention, age appropriate challenges and positive reinforcement.  We are pleased to be offering Kidzkicks tot classes, youth clinics, league play, “days off” from school, private lessons and summer camp to youth ages 20 months-17 years.",1.5,17,"Yes","Yes","Yes","Soccer",,,,,,,,,50,"Per_day","Cart on website","https://www.facebook.com/kidzkicks","No",,"http://www.kidzkicks.com/wp-content/uploads/2014/02/soccer-300x300.jpg",,,,,"Yes"
"A to Z Soccer Academy","http://www.atozsocceracademy.com/","Manuel@atozsocceracademy.com",,"Playa del Ray","CA",90094,"SoCal","Jeana","(310) 591-0130","The A to Z Soccer Academy is a children's soccer academy serving the communities surrounding Marina Del Rey, California. The Academy is a youth soccer school where kids learn the fundamentals of soccer in a fun, non-competitive, high energy environment. Our staff focuses not only on teaching the skills needed to play soccer but we also teach the meaning of teamwork and fair play. It is very important at the A to Z Soccer Academy that our soccer stars finish the academy having not only learned the fundamentals of soccer, but more importantly that they have learned to encourage each other, play together and help one another on and off the soccer field.",2,11,"Yes","No","No","Soccer",,,,,,,,,225,"Per_session","Unclear","N/A","N/A",,"http://www.atozsocceracademy.com/page2/files/page2-151.jpg","The Campus at Playa Vista, Glen Alla Park, & Oceanview Park",,,,"Yes"
