"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url"
"Harding Martial Arts Fitness Academy","http://hardingtaekwondo.com/_/Home.html","hardingtkd@mac.com","3120 Crow Canyon Rd.","San Roman",94583,"(925) 830-0500","HMA has grown into a one stop shop for the health and skill driven 
individual. Now after 10 years, HMA provides a variety of activities for
 all ages. All fantastic for better health and personal growth, the 
logical convenience is customer friendly.

The goals of HMA are simple. To give everyone the ability to receive 
instruction with integrity and transparency, offering flexible choices 
with personable dispositions highlights our unique difference.

 The owner believes that Martial Arts, Health and Fitness should not be a market but a way of life. Ethical and Moral business practice along with unwavering personal standards are essential for long term stability and
 growth. HMA respectfully considers itself a school by making standards 
and integrity its highest priority.","CA",,,"yes",,,"Martial Arts",,,,159,"per_month","web form, phone","https://www.facebook.com/pages/Harding-Martial-Arts-Fitness-Academy/180361684825?sk=timeline","no","http://hardingtaekwondo.com/_/Home_files/FB%20copy%20Monument.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1463974_10151963540919826_1384814004_n.jpg?oh=5eb873b32fa8120bb713634587aaaf4d&oe=54F5275E"
"Shaolin Temple Kung Fu School","http://www.shaolinlomita.com/","tzmantis@aol.com","24606 Narbonne Ave.","Lomita",90717,"(310) 539-1374","Specializing  in the Traditional and Spiritual forms of Northern Shaolin, Tai Chi Praying 
        Mantis, Seven Star Praying Mantis, Plum Flower Praying Mantis, the Eighteen 
        Classical Weapons, Yang, Chen & Wu Tai Chi Chuan, Baguazhang, Hsing 
        Yi, Internal Chi Kung & Nei Gung methods of Wudang and Shaolin, and 
        the Five Families Choi, Lee, Fut, Mok, Hung Five Animal Snake, Tiger, 
        Crane, Dragon, Leopard forms of the Southern Fist. Lion & Dragon Dance 
        of both Northern & Southern Lineage.","CA",6,99,"yes",,,"Martial Arts","Yoga",,,,,"phone, email",,,"http://www.shaolinlomita.com/images/LRGkids1.jpg","http://www.shaolinlomita.com/Zhu%20IKF%206-25-2008%20023.jpg"
"Pitts' Martial Arts Academy","http://www.kpmaa.com/","pmaa1@att.net","468 Santa Clara Ave.","Oakland",94610,"(510) 836-4929","Studying at Pitts’ Martial Arts benefits your entire family with:
 Increased Self-Confidence
 Stress Relief
 Sharper Discipline
 Rich Cultural Experiences
 Outlets for Excess Energy
 Improved Concentration
 Self Defense Training
 Reduced Shyness in Children","CA",3,99,"yes","yes",,"Martial Arts",,,,,,"phone, email","https://www.facebook.com/pages/Pitts-Martial-Arts-Academy/197665060409024?sk=timeline","no","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10678614_353770864798442_1851272631351822047_n.jpg?oh=26f41d37de72f4c8a2d43d670f7d1bf6&oe=54E7330D&__gda__=1423978961_6737ecbc05713072f4200012513768f2","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1796429_266999653475564_625041123_n.jpg?oh=f6daf5456ffb50211abdcf560d760efe&oe=54E5F4D3"
"Kaijin MMA","http://kaijinmma.com/","info@kaijinmma.com","2100 Delaware Ave.","Santa Cruz",95060,"(831) 427-2560","Tucked away on the corner of Delaware and Swift, Kaijin Mixed Martial 
Arts offers one-of-a-kind personal training with some of the best in the
 business. With world-renowned instructors Garth Taylor (winner of 
multiple Brazilian Jiu Jitsu world championships), Clement Shields, and 
Sam Radetsky, you can be sure you’re training with a master. The studio 
offers Brazilian Jiu Jitsu, kickboxing, boxing, and Judo in classes 
tailored to all ages in a comfortable and friendly environment. Kaijin 
is a top-notch gym that can help improve even the most advanced 
students.","CA",3,99,"yes",,,"Martial Arts",,,,,,"web form, phone","https://www.facebook.com/KaijinMMA?fref=ts","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/206465_111666525582687_5511797_n.jpg?oh=140f09e1b8ba7dfaac00a4fa14521bfe&oe=55202E0D","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10712911_716247078457959_7914798535492968243_n.jpg?oh=45b322edbf444c55217766d9ddab122e&oe=54E47D76&__gda__=1425141568_b47d46b8c600307a4930e1227ca83fd9"
"Shugyokan Dojo","http://shugyokan.wix.com/front","allokinawankarate@yahoo.com","15203 Crenshaw Blvd.","Gardena",90249,"(424) 456-7806","We follow the principles and philosophy as set forth by the Founder of 
Matsubayashi Ryu ,  Shoshin Nagamine Sensei. He fervently believes that 
the dojo is the place where courage is fostered and superior human 
nature is bred through the ecstacy of sweating in hard work. It is the 
sacred place where the human spirit is polished.","CA",3,99,"yes",,,"Martial Arts",,,,25,"per_month","web form, phone","https://www.facebook.com/Shugyokan.Dojo?fref=ts","yes","http://static.wixstatic.com/media/f83f9b_bbd260359732447b9d1f2313eee8fd31.jpg_srz_p_777_380_75_22_0.50_1.20_0.00_jpg_srz","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10393807_985146981501967_6222860246864487790_n.jpg?oh=c4d67e039fbb77478706b60c828ba511&oe=54E7A7D8&__gda__=1424208622_136212e2b09e0db6670c6cdbf10216e6"
"Moore's Karate","http://www.mooreskarate9thstreet.com/","shunshifu142N9@gmail.com","142 N. 9th St. Ste 4","Modesto",95350,"(209) 524-1334","Moore’s Shou Shu is an application art. We use the fighting styles of 
seven different animals to develop fighting skills. It’s called an 
application art because we have eliminated all the wasted motion and 
teach the self-defense application part of the technique. The term Shou 
Shu means “Fighting ways of the beast” or “Beast Art”.
 The benefits 
that are attained by training in Shou Shu are; increased 
self-confidence, improved physical fitness, increased concentration, 
discipline, flexibility, Positive reactions in self-defense situation, 
etc.","CA",4,99,"yes","yes",,"Martial Arts",,,,,,"web form, phone","https://www.facebook.com/pages/Moores-Karate-9th-St-Modesto/163376360419559?fref=ts","no","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/p843x403/10414520_669873803103143_8480135512618930618_n.jpg?oh=6d31c367627e164833c7ca27d0e2f060&oe=54D42D79&__gda__=1424771623_9242c26a494cb10921e56daa8729fc2a","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/270553_459755824114943_1248564493_n.jpg?oh=487034c8e8e536f5a9a6a17c88025a5d&oe=54EEDA22"
"Aikido of Santa Barbara","http://www.aikidoofsantabarbara.com/index.html","aikidoofsantabarbara@gmail.com","121 N. Milpas St.","Santa Barbara",93103,"(805) 962-4741","Aikido is a non-competitive martial art.  There are no tournaments or
 competitions.  Learning is by repetitive practice of movements and 
techniques with a partner.
                Aikido of Santa Barbara is a 501c3 non-profit 
organization whose mission is to enhance the physical, mental, and 
spiritual health of youth and families by cultivating their minds and 
bodies through the knowledge and practice of the traditional Japanese 
art of Aikido.
                Aikido of Santa Barbara teaches a non-competitive, 
non-combative physical art that places emphasis on 
non-violent resolution, tolerance of others, and overall social harmony,
 Aikido of Santa Barbara programs serve to enhance the
 quality of life for those participating, and enable the dojo to cater 
to the diversity of the community. Sponsors, such as The Balm 
Foundation, help to make this happen by underwriting programs like the 
Santa Barbara Junior High Aikido Class.","CA",4,99,"yes",,,"Martial Arts",,,,60,"per_month","phone","https://www.facebook.com/pages/Aikido-of-Santa-Barbara/53461045024?ref=ts&fref=ts","yes","http://www.aikidoofsantabarbara.com/images/home_header/big7.jpg","http://www.aikidoofsantabarbara.com/images/kids.png"
"Universal Self Defense League","http://www.universalselfdefenseleague.com/index.html","ninjapro_2000@yahoo.com","2860 Bordeaux Dr.","Riverside",92503,"(951) 204-2650","In all classes we teach our students about being aware of their 
surroundings and what to do ""IF"".  They will also be learning 
traditional Shorin Ryu karate and Aikido, as a base, along 
with effective techniques from other styles to help defend themselves 
against armed and unarmed assailants.  We always stress the importance 
of safety and using what they've learned for self-defense only.

All students will attain belt ranks through individual testing according to their individual abilities and of equal importance their all-around attitude in and out of the dojo","CA",9,99,"yes",,,"Martial Arts",,,,25,"per_class","phone",,,"http://www.universalselfdefenseleague.com/new_logo_oval.jpg","http://www.universalselfdefenseleague.com/kirsten_and_leonel.jpg"
"Bakersfield Brazilian Jiu","http://www.mattbakerbjj.com/","bakersfieldbjj@live.com","4308 Resnik Ct. #203","Bakersfield",93309,"(661) 345-2906","home of JJ Machado Black belt Matt Baker. Jean Jacques machado jiu jitsu
 competition team. Offering classes 7 days a week, day and night. 2 
locations, southwest and northwest Bakersfield. Kids to adults. Stop by 
for a free class. cheers and GWG.","CA",,,"yes","yes",,"Martial Arts",,,,,,"phone","https://www.facebook.com/pages/Bakersfield-Brazilian-Jiu-Jitsu/121166397897447?sk=timeline","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/315648_229812287074141_1658822223_n.jpg?oh=fdc5903b848301d4aa3706f39e9916f2&oe=54E2510B&__gda__=1423092698_d2c3117602c1e6576a0cdc3b6c40cf34",
"Koryo Family Taekwondo Center","http://www.koryoftc.com/","info@koryoftc.com","8807 Thornton Rd.Ste R-3","Stockton",95209,"(209) 475-9818","Koryo Family Taekwondo Center is a black belt school dedicated to 
tradition, discipline, respect, and excellence.  Our goal is to help our
 students become better people through martial arts.  For children, this
 means becoming a better student, son, or daughter by learning courtesy,
 integrity, perseverance, self-control, indomitable spirit, and winning 
positive attitude.
Our curriculum is comprehensive, giving the student a rounded 
perspective on martial arts.  Students twelve years of age or under have
 four areas to learn, while teens and adults have five.  These areas 
include martial arts knowledge, board breaking skills, arranged 
defensive techniques, forms routine, and self-defense (teens/adults 
only).  Once they have learned the various areas and have met their 
attendance requirements, they become eligible to test for belt 
promotion.","CA",6,99,"yes",,,"Martial Arts",,,,49,"per_month","web form, phone","https://www.facebook.com/pages/Koryo-Family-Taekwondo-Center/167530066717?sk=timeline","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/32004_440354051717_632787_n.jpg?oh=c71f3d540e893c86dbbad0fac9e1d1c2&oe=551DCC7B","https://scontent-b-ord.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/401330_10150673077781718_812396205_n.jpg?oh=f5f6700d9fa6ba1c00034fbf053c82a5&oe=54E162D9"
"ATA Legacy Martial Arts","http://www.oxnardmartialarts.com/",,"2101 S. Rose Ave.","Oxnard",93033,"(805) 240-7424","Our ATA Martial Arts Centers are the top rated martial arts schools in 
the Oxnard community. We offer programs to all ages and fitness levels. 
Give us a call and experience the difference martial arts can make on 
you or your child’s life.","CA",3,99,"yes",,,"Martial Arts",,,,19.95,"per_2 weeks","web form, phone",,,"http://oxnardmartialarts.com/file/2014/10/Website-Tiny-Tigers-1024x460.jpg","http://oxnardmartialarts.com/file/2014/10/Website-Karate-for-Kids-1024x460.jpg"
"Combined Martial Science","http://www.combinedmartialscience.com/","cmsdojo@live.com","13611 12th St. Suite A","Chino",91710,"(909) 238-9217","Combined Martial Science (CMS) has one of the largest mixed martial arts programs in the Inland Empire. Located in Chino, California, we have 
been dedicated to making our students' martial arts experience enjoyable
 and satisfying for over 25 years. Although we honor martial arts 
traditions that go back centuries, we utilize a dynamic teaching style 
and are constantly seeking new and innovative ways to motivate and 
excite our students.
At Combined Martial Science, we take pride in developing our students on 
an individual basis. We understand that each student possesses unique 
skills and talents, and we thrive on bringing out those skills in all of
 our students. By using a variety of training methods and programs, we 
are able to build strong minds and even stronger bodies. Serving as a 
positive role model is a responsibility that we at CMS take very 
seriously.","CA",3,99,"yes",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/CMSDojo/timeline","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/19002_483146841731469_298250962_n.jpg?oh=272fc8d042960d5d9e7a5cd8a296707d&oe=54DD03CF","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/t31.0-8/966562_676426955736789_929660220648679066_o.jpg"
"Okinawa-Te Karate","http://okinawa-teav.com/",,"45337 N. Sierra Hwy.","Lancaster",93535,"(661) 942-5855","Welcome to Okinawa-Te Karate. Our goal is to instill self confidence, 
honesty, courage and character.  We develop self defense skills, 
strength and coordination.  We are serious about martial arts.  Self 
Defense is Common Sense!","CA",4,99,"yes",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/pages/Okinawa-Te-Karate-Organization/131101096915936?fref=ts","no","http://okinawa-teav.com/wp-content/uploads/2012/03/lancaster_header1.jpg","http://okinawa-teav.com/wp-content/uploads/2012/04/IMG_8728-1024x682.jpg"
"US Shaolin Kung Fu","http://usshaolinkungfu.com/index.php","info@usshaolinkungfu.com","212 9th St. #109","Oakland",94607,"(510) 388-9001","We are a training facility dedicated to extend the teachings of the ancient Shaolin martial arts. Shaolin Kung Fu was originated
 by the Shaolin monks of China and is renowned for its defensive 
mechanisms and intricate animal forms. The art has created elaborate 
emphasis on flexibility, strength, agility, speed, coordination, and 
grace. Shaolin Kung Fu is an exemplification of character, discipline, 
and total well-being.
 
 U.S. SHAOLIN KUNG FU's curriculum and 
instructors are devoted to equipping its students with influential 
concepts such as respect, character-building, motivation, cooperation, 
physical exercise, and increased mental acuity.","CA",,,"yes",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/pages/US-Shaolin-Kung-Fu-%E5%B0%91%E6%9E%97%E6%AD%A6%E6%99%BA%E5%BE%B7%E5%AD%A6%E9%99%A2/47219781621?fref=ts","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1237_10151512687016622_1839582573_n.jpg?oh=b591f90f9b99f5928fd7768bbbff0726&oe=54F16EBA","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/382174_10151597759336622_1373586939_n.jpg?oh=13dad0c17774db5727ab072bb493cd76&oe=54E498BF"
"Kovars Satori Academy","http://www.kovars.com/",,"9320 Elk Grove Blvd.","Elk Grove",95624,"(916) 714-3390","Through high quality martial arts instruction, we empower people of all ages to achieve their full potential.
By emphasizing self-defense, health, fitness and life skills in a
 friendly, safe, positive environment,we inspire our students to become 
more confident, successful, contributing members of our community.","CA",4,99,"yes",,"yes","Martial Arts",,,,39.95,"per_month","web form, phone",,,,
"Esteller Martial Arts Academy","http://www.estellermma.com/","kajukine@yahoo.com","977 Manor Blvd.","San Leandro",94579,"(510) 346-5425","EMA provides a safe, fun environment for all students and parents. To 
ensure the most realistic self defense training available. And to 
continually re-enforce life lessons to all students, young and old.","CA",4,99,"yes",,,"Martial Arts",,,"Self Defense",,,"web form, phone","https://www.facebook.com/kajukine2/timeline","no","http://www.estellermma.com/images/title_background.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/205298_499492920098278_1601487694_n.jpg?oh=e850bb8cb42c418a46f3d4bc64da8600&oe=54D4D5ED"
