"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot Lead"
"Color Me Mine","http://www.chinohills.colormemine.com/",,"13865 City Center Drive, Suite 3065","Chino Hills",91709,"(909) 628-7744","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-Chino-Hills/551187271573162","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://metropointe.colormemine.com/",,"949 South Coast Drive #103","Costa Mesa/Metro Pointe",92626,"(714) 241-8072","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-Costa-Mesa/277363595607","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.fresno.colormemine.com/",,"River Park, 230 Paseo Del Centro","Fresno",93720,"(559) 435-7969","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/cmmfresno","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.hanford.colormemine.com/",,"186 N. 12th Avenue, Suite 107","Hanford",93230,"(559) 587-2738","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/ColorMeMineHanford","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.danapoint.colormemine.com/",,"27741 Crown Valley Parkway, Suite 323","Mission Viejo",92691,"(949) 367-9757","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form",,,"https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.glendaleca.colormemine.com/",,"2280 Honolulu Ave","Montrose",91020,"(818) 542-6644","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-Montrose/101952499841420?ref=ts","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.oxnard.colormemine.com/",,"2710 Portico Way","Oxnard",93036,"(805) 981-8631","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/cmmoxnard","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.pasadena.colormemine.com/",,"81 S. Fair Oaks Ave","Pasadena",91105,"(626) 298-6765","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminepasadena","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.porterranch.colormemine.com/",,"19839 Rinaldi Street","Porter Ranch",91326,"(818) 363-8855","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminepr","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.redlands.colormemine.com/",,"9900 Alabama Street, Suite A","Redlands",92374,"(909) 792-2622","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormemineredlands","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.southbay.colormemine.com/",,"1509 Hawthorne Blvd , Suite #105","Redondo Beach",90278,"(310) 406-3068","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminesouthbay","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://riverside.colormemine.com/",,"1299 Galleria at Tyler, G122","Riverside",92503,"(951) 687-1630","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormemineriverside","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.ranchobernardo.colormemine.com/",,"10550 Craftsman Way, Suite 183","San Diego",92127,"(858) 312-5500","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-RanchoBernardo4SRanch/185122624901168","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.torrance.colormemine.com/",,"2627 Pacific Coast Hwy","Torrance",90505,"(310) 325-9968","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminesouthbay","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.tustin.colormemine.com/",,"2931 El Camino Real","Tustin",92782,"(714) 505-3975","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/ColorMeMineTustin","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.valencia.colormemine.com/",,"24300 Town Center Drive, Suite 106","Valencia",91355,"(661) 799-9266","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminevalencia","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://westchester.colormemine.com/",,"6081 Center Drive #111","Westchester",90045,"(310) 410-9700","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminewestchester","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.whittier.colormemine.com/",,"6711-A Greenleaf Ave","Whittier",90601,"(562) 789-5600","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-of-Whittier/357300407711898","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Prodigy School of Arts","http://www.prodigyarts.com/","info@prodigyarts.com","5725 La Jolla Blvd","La Jolla",92037,"(858) 456-2753","Art instruction","CA",,,"Y","Y","N","Drawing and Painting","Cartooning","Music",,,,,,"Drama/Improvisation",60,"per_session","Online form","https://www.facebook.com/prodigyarts2/timeline","Y",,,,,,,
"The Art Institute of California - San Diego","http://getcreative.artinstitutes.edu/sandiego/","AICASDGETCreative@aii.edu","7650 Mission Valley Road","San Diego",92108,"(858) 598-1200","Art instruction","CA",14,18,"Y","N","N","Drawing and Painting","Cooking","Music","Cartooning","Photography and Video",,,,"Business related courses",60,"per_class","Online form",,,,,,,,"Online offer: 50% off courses until Nov. 30",
"California College of the Arts","https://www.cca.edu/academics/special","specialprograms@cca.edu","5212 Broadway","Oakland",94618,"(510) 594-3710","Art instruction","CA",,,"Y","Y","N","Drawing and Painting",,,,,,,,,,,"PDF, send materials by USPS or in person","https://www.facebook.com/CaliforniaCollegeoftheArts","Y","https://www.cca.edu/sites/all/themes/cca_responsive/logo.png","https://www.cca.edu/sites/default/files/images/2014/02/yasp_ban5_2.jpg",,6,12,"Have to check with institution for what is being offered",
"Fine Art Studio","http://fineartstudio.org/art/","fastudio@pacbell.net","160 Centennial Way, Suites 4 & 5","Tustin",92780,"(714) 832-6595","Art instruction","CA",6,18,"Y","N","N","Drawing and Painting","Digital Media",,,,,,,,95,"per_month","Phone call",,,"http://fineartstudio.org/art/wp-content/header-images/ContactBackground-Fine-Art.jpg",,,,,,
"Alpha Fired Arts","http://www.alphafiredarts.com/index.html",,"4675 Aldona Lane","Sacramento",95841,"(916) 484-4424","Art instruction","CA",3,18,"Y","N","Y","Ceramics","Pottery",,,,,,,,89,"per_month","Phone call","https://www.facebook.com/alpha.f.arts","Y","http://www.alphafiredarts.com/_images/transparent.gif","http://www.alphafiredarts.com/_images/vision.jpg",,,,,
