"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot Lead"
"Roxana Art Academy","http://roxanaacademy.com/",,"2226 Ringwood Ave","San Jose",95131,"(408) 964-8485",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Art and Soul Music Studios","http://www.artandsoulmusicstudios.com/","info@artandsoulmusic.com","1764 Brandee Ln","Santa Rosa",95403,"(707) 575-7701","Our Mission is to Faciliate an Environment Where Everyone is Inspired to Create! We believe every child is born intrinsically creative. What happens to our creative path is shaped by our life experiences. 

It is our hope that children experience a fun and empowering time in our classes and lessons.  During that time we also strive for students to ascertain a quality proficiency of the Arts.  

We encourage this upbeat, quality atmosphere by hiring a staff who have both studied the Arts and also are currently practicing their art-forms in your local community.  We shape our curriculum around their passion for the arts so that they pass that passion and encouragement along to your children.","CA",3,,"yes",,,"Creative Arts","Crafts","Drawing and Painting",,,,,,"music, dance, drama, yoga, language",55,"per class","online","https://www.facebook.com/artandsoulmusic","no","http://www.artandsoulmusic.com/images/logo.png","http://www.artandsoulmusic.com/userfiles/image/artsoul/art_hero_01.jpg",,,,,
"Hawkins School Of Performing Arts","http://www.hawkinsschool.com/",,"118 Woodmere Rd","Folsom",95630,"(916) 355-1900",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Artist Tree Studio","http://www.artisttreestudio.com/",,"1001 W San Marcos Blvd","San Marcos",92078,"(760) 471-7450",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mehnoosh Painting Classes","http://mehnooshpaintingclasses.com/","arcrendering@yahoo.com","10687 Santa Monica Blvd.","Los Angelas",90025,"(310) 869-5351",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharaku Paintertainment","http://www.sharakupaintertainment.com/index2.html",,"205 Main Street, Suite F, 2nd Floor","Pleasanton",94566,"(925) 425-9446",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"The Instrumental Music Academy of San Diego","https://www.musiclessonscalifornia.org/","musicacademysd@gmail.com","??","San Diego",92106,"619-383-0072","Our music school believes that music instruction should be enjoyable, built on a solid technical foundation, produce life-long love of music, and match each individual's goals. We deliver the highest quality, engaging and most affordable music lessons for kids, teens and adults that you can find!","CA",,,,,,,,,,,,,,"music",,"??","phone","https://www.facebook.com/pages/The-Instrumental-Music-Academy-of-San-Diego/158160977618443","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/384461_158161630951711_1918682272_n.jpg?oh=37e8edad9a2d50ccf1fa97910c81485b&oe=551DBC32","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1921877_487503214684216_1396748326_n.jpg?oh=6cefc244e5c7c2bf571356d4c94cedd1&oe=551FFE20",,,,,
"Creative Fire Clay Studio","http://creativefire-studio.com/","creativefirestudio@mac.com","11061 Swinton Ave.","Granada Hills",91344,"(818)223-9344","Creative Fire 
is a studio that specializes in providing quality three dimensional arts programs to elementary schools through out Los Angeles. Founded twelve years ago by ceramic artists Rich Mudge and Joanne Horton, Creative Fire has developed a potent, creative, and fun after school curriculum that supplements the education of grades K-5. Creative Fire is deeply committed to arts and education.","CA",5,11,"yes",,,"Ceramics",,,,,,,,,,"??","phone","none","n/a","http://creativefire-studio.com/rw_common/images/CF_WEBlogo.png","http://creativefire-studio.com/files/stacks_image_4_1.png",,,,,
"Art & Creativity For Healing","http://www.art4healing.org/healing-workshops/kids/","info@art4healing.org","26079 Getty Dr","Laguna Niguel",91677,"(949) 367-1902","Art & Creativity for Healing is proud to bring you a wide variety of classes and workshops.  Examples are anger and greif","CA",6,,"yes",,,"Drawing and Painting",,,,,,,,"therapeutic",55,"per workshop/class","online","https://www.facebook.com/pages/Art-Creativity-for-Healing-Inc/33464945666?ref=ts","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1930959_33465080666_6940_n.jpg?oh=6d50bd14e8b51c2d6c552183b848d263&oe=54DD4824","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10425176_10152395685220667_525906423678814396_n.jpg?oh=3d6ded41cbbc4d3f84403cb6b640d090&oe=54DEF3C8&__gda__=1426764440_b7b5d23a71ab431c7d0807f5d5d66f2b",,,,,
"Momentum Arts Academy","website not working http://www.momentumartsacademy.com/","??","630 Corte Maria Ave","Chula Vista",91910,"(619) 977-3716","dance school","CA",,,"yes",,,,,,,,,,,"dance",,"??","phone","https://www.facebook.com/pages/Momentum-Arts-Academy/144150418967809?sk=info&tab=overview","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/155847_144150608967790_2752385_n.jpg?oh=b4391e02eafc83efa263300eff845a54&oe=551DD168","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/p417x417/56783_145507038832147_5952778_o.jpg",,,,,
"Carter Sexton","http://www.cartersexton.com/#!__classes","Joannamlewis@gmail.com for kids classes or call the store directly","5308 Laurel Canyon Blvd","Valley Village",91607,"(818) 763-5050","Carter Sexton is an arts supplies store that also offer art classes to all ages","CA",5,,"yes",,,"Drawing and Painting",,,,,,,,,,,"phone","https://www.facebook.com/cartersexton","yes","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/1978863_10152316908659365_1876421996_n.jpg?oh=e5fb6f9fad1036d8fbf54af3da6be050&oe=54D4AF7A&__gda__=1423147687_ab646c0e452b277a705a968711c9fb8f","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10308553_10152503208044365_1911414743581197043_n.jpg?oh=d38c2bb2a5d2eec4a4a6ed72b21ce764&oe=5510824A&__gda__=1423686703_d0ee70cb29e6316641c17ca5bca67f2d",,,,,
"KidsArt/Drawn2Art","http://kidsartclasses.com/","some locations missing from acctivity hero",,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Art Escape","http://artescapesonoma.com/about/","artescapeclasses@gmail.com","17474 Highway 12","Sonoma",95476,"(707) 938-5551","Artescape provides:

Art and craft classes, at low or no cost, in a supportive environment that encourages and expands creative expression.
A well-equipped space that Sonoma Valley professional artists may rent to hold classes, workshops and lectures.
Mentors and Teachers who encourage and support Sonoma Valley youth to pursue careers in the fine arts.
Artescape programs:
Classes and workshops • Demonstrations • Exhibitions • Guest artists
Special events • Summer art camps • Student shows • Teaching apprenticeships

Artescape offers free:
Monthly Sunday art projects for parents and children.
Weekly Wednesday after-school art classes for elementary school students. Curriculum based classes for Sonoma Valley teachers.
Matching students to artist mentors.
Advisors for high school Senior projects.
Assistant teaching experience.

Artescape Classes (not limited to):
Assemblage, painting, acrylic, watercolor and oil, book arts, paper arts, callig- raphy, photography, drawing, cartooning, recycled and upcycled art, encaustic, sculpture, floorcloths, stenciling, jewelry, textiles, mixed media, urban art, mosaics.","CA","??","??","yes","yes",,"Drawing and Painting","Photography and Video","Sculpture","Cartooning","Creative Arts",,,,,,"??","phone","https://www.facebook.com/artescapesonoma","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/389184_238135999616252_1556453835_n.jpg?oh=6c847eadee966c2d254eddb6b174989e&oe=54D75EA6","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10346222_653990811364100_1042194263406013722_n.jpg?oh=8fa3d8b5923b84f645616d9e914ebe26&oe=551A4129",,,,,
"Oodles Learning Center - Kids Gym -  Activities","http://www.oodlesusa.com/","info@oodles.mobi","17420 Carmenita Rd","Cerritos",90703,"(562) 888-1496","""Oodles primary goal is to provide world class facility which encompasses fitness, activities & tutoring - all under one huge facility. We have 10 huge Rooms covering 4000+ sq ft space to cater to different activities that we offer. Our organized education, fitness & event party programs provide a non-competitive but challenging environment that will enhance the lives of children as well as their families."" 
Oodles provides a place where parents and their children spend quality time playing together, a place for school kids to study and excel in academics and also a party place to enjoy birthday parties. 
Oodles offer various programs which include Birthday Party, Kids Gym, After School Tutoring, Playful Parent Child Classes, Art, Pre-K Gym, School Age Gym, Cheer and Dance along with Sports Fitness class and Free play.","CA",2,,"yes","yes","yes","Drawing and Painting","Creative Arts",,,,,,,"dance, music, gym",45,"per month",,"https://www.facebook.com/oodlescerritos.birthdays.kidsgym.tutoring.camps","yes","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/388681_327425267268184_1535330620_n.jpg?oh=3a7e45d5347ae762411ca5b7b09d68b1&oe=550E4D2E&__gda__=1426696703_4326bebcc7e3701e272cf4155400ae4b","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/409035_354113247932719_1879582569_n.jpg?oh=6138dae7c8a981847a64e928407dc594&oe=5518384C",,,,"not a lot of good pictures to choose from",
"KidzArt - Del Monte, Marina, Monterey and Pacific Grove","http://www.southmontereybay.kidzart.com","tharder@kidzart.com","San Jose is already on activity hero as ""main location"" so perhaps just add these?",,,"831-320-231","This is ArtInnovators! Where ages 2- adult HAVE FUN, learn to draw and experience creativity building exercises. Offered at schools and other community locations, our mobile program is complimented with 3-D projects, new and varied art mediums and our unique multi-cultural curriculum.

By using our simple drawing method, certified instructors help students create original works of art beyond what they thought possible. We are a drawing based program, complimented with artistic projects and curriculum that never repeat from age 2-18. We offer exposure to many mediums over the course of a student’s education. We offer:

a nurturing, safe,  non competitive environment
easy-to-learn drawing techniques that bring ideas to life.
A no mistake philosophy that allows students to take risks and think outside the box.
age appropriate, safe, professional-level fine art supplies and materials
activities that promote problem solving skill development
focus exercises
techniques to relax through art
music to enhance art expression","CA",,,"yes","yes","yes",,,,,,,,,,,"??","online","https://www.facebook.com/kidzart
https://www.facebook.com/pages/KidzArt-Monterey-Bay/111602338926649?sk=info&tab=page_info","yes","http://oc55.artinnovators.com/app/resources/images/innovators-logo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10670118_10153230240981996_8884649309244046430_n.jpg?oh=d7a1c0faaa0997200a792d4118c06a27&oe=54DD7570",,,,,
"KidzArt - Antelope, Granite Bay, Rocklin, Roseville and Sacramento","http://www.kidzartca.com  under construction","jessica@kidzartca.com",,,,"916-574-9700","same as above","CA",,,"yes","yes","yes",,,,,,,,,,,"??","phone","https://www.facebook.com/kidzart","yes","http://oc55.artinnovators.com/app/resources/images/innovators-logo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10670118_10153230240981996_8884649309244046430_n.jpg?oh=d7a1c0faaa0997200a792d4118c06a27&oe=54DD7570",,,,,
"KidzArt - Artesia, Cerritos, Cypress, Fullerton, Garden Grove, Hawaiian Gardens, Lakewood, Los Alamitos, La Mirada, Long Beach, Rossmoor, Whittier","http://oc55.artinnovators.com/","info55@artinnovators.com",,,,"714-289-9385","same as above","CA",,,"yes","yes","yes",,,,,,,,,,150,"per session","online","https://www.facebook.com/kidzart","yes","http://oc55.artinnovators.com/app/resources/images/innovators-logo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10670118_10153230240981996_8884649309244046430_n.jpg?oh=d7a1c0faaa0997200a792d4118c06a27&oe=54DD7570",,,,,
"KidzArt - Goleta, Montecito, Santa Barbara and Solvang","http://www.santabarbara.artinnovators.com/","santabarbara@artinnovators.com",,,,"800-379-8302","same as above","CA",,,"yes","yes","yes",,,,,,,,,,,"??","phone","https://www.facebook.com/kidzart","yes","http://oc55.artinnovators.com/app/resources/images/innovators-logo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10670118_10153230240981996_8884649309244046430_n.jpg?oh=d7a1c0faaa0997200a792d4118c06a27&oe=54DD7570",,,,,
"KidzArt - West Los Angeles, Malibu, Santa Monica, Venice, Marina del Rey, Playa del Rey, Culver City, Westchester","http://westla.artinnovators.com/","infowestla@artinnovators.com",,,,"310-823-3631","same as above","CA",,,"yes","yes","yes",,,,,,,,,,60,"for 4 classes","online","https://www.facebook.com/kidzart","yes","http://oc55.artinnovators.com/app/resources/images/innovators-logo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10670118_10153230240981996_8884649309244046430_n.jpg?oh=d7a1c0faaa0997200a792d4118c06a27&oe=54DD7570",,,,,
"Placerville Clayworks","http://www.placervilleclayworks.com/class_schedule.html","??","800 Skyline Ct","Placerville",95667,"(530) 626-3871","Classes are 2 hours long, and small, usually 4 students. This allows everyone ample one-on-one instruction for challenging projects.

New students learn the traditional forming methods: coiling, pinching, slab forming, sculpting, using molds and wheel throwing.","CA",6,,"yes",,,,,,,,,,,,20,"per class","phone","none","n/a","http://www.placervilleclayworks.com/images/logo_header.jpg","http://www.placervilleclayworks.com/images/students_work/thumbs/P1040853-sm.jpg",,,,,
"Jasmine Fine Art Academy","https://www.facebook.com/jasminefineartacademy/info?tab=overview","Jasminefineartacademy@gmail.com","311 Balboa Street","San Fransisco",94118,"(415) 812-6022","Offers childrens art classes- have to ask for website from facebook page","CA","??",,"yes",,,"Drawing and Painting",,,,,,,,,,"??","phone","https://www.facebook.com/jasminefineartacademy/info?tab=overview","no","??","https://scontent-a-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/1006281_1392853400937382_336097980_n.jpg?oh=646865257ec362da4d1d70489efe9e7f&oe=54D8C9B5",,,,,
"Min W Fine Art & School","http://www.minw-fineart.com/Students-Corner.html","MinWArt@aol.com","9908 Las Tunas Drive, Unit F","Temple City",91780,"(626) 642-5783","As an Art Instructor, Min W has been awarded numerous awards and chosen for the National Teachers Award of Excellence from many exhibits of her students.  Min W's  students have gone on to be distinguished each year thru examinations to be able to enter and attend some of the finest art universities in china.  Since relocating to the America, she has been exhibited in numerous gallery venues and continues sharing her teaching abilities with students in California.","CA",4,,"yes",,,"Drawing and Painting",,,,,,,,,,"??","phone","https://www.facebook.com/pages/Min-W-Fine-Art/146580522120698","no","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/431471_177284529050297_4701185_n.jpg?oh=1fedc9558b7f90fb1967f38bd94e3bb6&oe=5519CE1A&__gda__=1428190674_0733716d23717cfc02f0ed312c0fb870","?? no good kid pics",,,,,
"Color my World Art Studio","http://www.colormyworld.me/","info@colormyworld.me","11960 Artesia Blvd., #101","Artesia",90701,"(562) 219-4566","Color My World  art studio provides quality art enrichment experiences in the visual arts for individuals of all skill levels and ages. The studio allows each individual's creativity and imagination to work wonders while using various media (charcoal, crayon, graphite, pen, ink, marker, pastel, pencil, water color, acrylic and/or oil) to create art on canvas, card, poster, paper, wood and clay.

       Color My World  art studio is the most fun and energetic art place to enjoy with family, friends, co-workers or fly solo. We provide:

● Kids Art Classes

●“Paint Your Own Canvas” - Private Art Parties for All Occasions

● Open Canvas Art Sessions for All Ages","CA",,,"yes",,"yes","Drawing and Painting",,,,,,,,,90,"per month","phone","https://www.facebook.com/ColorMyWorldArtStudio","no","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10007452_547769648672087_1742934824_n.jpg?oh=62a32ce2c47fadc5e806f314b2605563&oe=55194440&__gda__=1427749455_49bba7f70bf06b913b078f15085a0fcc","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10169297_552524598196592_974402871_n.jpg?oh=4d33e982ad0df8dd14297ae3767ac7de&oe=5508C842&__gda__=1427992813_5e32e3933c781bb2e6d167728c60346b",,,,,
"Morro Bay Art Association","http://www.artcentermorrobay.com/","artcrazy1@earthlink.net","835 Main St","Morro Bay",93442,"(805) 772-2504","Ages 4 & 5 – accompanied by an adult – to age 9
If somewhat older children would like to participate, there may be room for a few to learn while assisting the instructor.

Location: Activity Room at Art Center Morro Bay
835 Main Street, Morro Bay, CA

Cost: A materials fee of $12 for each student which includes all 5 classes.  Scholarships, as always, are available.","CA",4,,"yes",,,"Drawing and Painting",,,,,,,,,12,"per class","pdf/phone","https://www.facebook.com/pages/Morro-Bay-Art-Association/143043732505337?ref=stream","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/229938_145834105559633_962495194_n.jpg?
http://www.artcentermorrobay.com/art1st/wp-content/uploads/2013/06/Art-Center-Logo.pngoh=452892ea62f0509cc50d442680818234&oe=5516EB8C&__gda__=1423412274_8bd694e07d1e9d308f738df885184988","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1016846_257497604393282_150828709_n.jpg?oh=d2811c4db56ffea9ef4b791be6b6344e&oe=551B451C",,,,"not great photos",
"Plaza De La Raza","http://www.plazadelaraza.org/","??","3450 N Mission Rd","Los Angelas",90031,"(323) 223-2475","Nestled within the 40-acre Lincoln Park on North Mission Road, Plaza de la Raza is where everyone comes together to visit, relax and have fun. It’s been the heart and soul of Latino Los Angeles for 40 years, with its outdoor amphitheater, gallery, indoor theater, gift shop and—of course—its plaza.  Whatever your interest—music, dance, performance, art, culture—you’ll find exciting events for you and your entire family at Plaza de la Raza. To learn more, call (323) 223-2475","CA",,,"yes",,,"Drawing and Painting",,,,,,,,"music, dance",,"??","phone","https://www.facebook.com/PlazaDeLaRaza","yes","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1382826_10151906120134204_1627406079_n.jpg?oh=907e3857ed44d573d3502baccdd15d79&oe=55150665&__gda__=1427856319_785a4349a26a5f3486b917d2c8f68131","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10360694_10152662873809204_1285130133310891781_n.jpg?oh=1906d39f54bb6482653031ad5905ac93&oe=54D872C8",,,,,
"US Arts Education Center","http://www.usartseducationcenter.com/Pages/CuriculuumYouth.aspx","usarts.templecity@gmail.com","23639 Hawthorne Blvd # 100","Torrance",90505,"(310) 378-4600","Among the top private art institutions in Southern California
•Convenient locations in California: Temple City, Torrance, San Diego, and one location in Virginia: Chantilly
• Exclusive partnership with UCLA through the Thought-Makers Program
Kids classes ages preschool and up","CA",4,,"yes",,,"Drawing and Painting",,,,,,,,,,"??","phone","n/a","n/a","cant find one","http://www.usartseducationcenter.com/siteimages/ch_stdworks17.jpg",,,,,
"Pazouki Painting Studio","http://www.pazoukiart.com/  doesnt work","pazoukipaintingstudio@yahoo.com","2217 San Ramon valley BLVD suite L","San Ramon",94583,"(925) 855-9300","Come and Join our Painting studio.We are an academic group of students that enjoys creative painting .


Services we offer
With more than 20 years experience
_We accept students from 7 years old and up
_We repair your old and damaged paintings
_We take proffetional picture of your art work
_We can paint your kids room,dining room,fire places and...
_We except portrait painting of your self,your family,pets and your loved ones and
_you can expose your art work here","CA",7,,"yes",,,"Creative Arts","Drawing and Painting",,,,,,,,,"??","phone","https://www.facebook.com/PazoukiPaintingStudio/info?tab=overview","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1010885_420832448029733_673776228_n.jpg?oh=ea0684bf6c9800215bb5507579a842a1&oe=5510EAD6","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1176234_430289823750662_577450888_n.jpg?oh=0ce6d97695c36b44b11df818b063b9c7&oe=54D3CA8B&__gda__=1427533816_ac49bf32a570e7adf436a121f299c20c",,,,,
"Art Zone - Hermosa Beach","http://www.artzone4kids.com/","info@artzone4kids.com","1102 Aviation Blvd Ste A","Hermosa Beach",90254,"(310) 318-6011","Welcome to the Art Zone Children's Studio. We offer a fun-filled and exciting arts-based environment where we strive to nurture children's creativity, experimentation, and the joy of artistic discovery.","CA",,,"yes","yes","yes","Creative Arts","Drawing and Painting",,,,,,,,20,"per day","online","https://www.facebook.com/pages/Art-Zone-Childrens-Studio/187090301322158","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/l/t1.0-9/180861_191024664262055_5174307_n.jpg?oh=3ae02d449a9efcd67d13d925a4b7dc0a&oe=54DE550B","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/180107_188908244473697_4370650_n.jpg?oh=2b7e9a3034e36ed1005abc518f17988f&oe=54DBE4DE",,,,,
"Art Zone - West LA","http://www.artzone4kids.com/","ArtZonewestLA@gmal.com","10944 West Pico Blvd","West Los Angelas",90064,"310-889-8598","Welcome to the Art Zone Children's Studio. We offer a fun-filled and exciting arts-based environment where we strive to nurture children's creativity, experimentation, and the joy of artistic discovery.","CA",,,"yes","yes","yes","Creative Arts","Drawing and Painting",,,,,,,,22,"per class","online","https://www.facebook.com/pages/Art-Zone-Childrens-Studio/187090301322158","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/l/t1.0-9/180861_191024664262055_5174307_n.jpg?oh=3ae02d449a9efcd67d13d925a4b7dc0a&oe=54DE550B","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/180107_188908244473697_4370650_n.jpg?oh=2b7e9a3034e36ed1005abc518f17988f&oe=54DBE4DE",,,,,
"Center Stage Conservatory","http://centerstagemodesto.com/Home.php","cscstudiomodesto@gmail.com","948 11th St","Modesto",95354,"(209) 846-0179","n an effort to bond the ever-growing, multicultural, and socio-economically diverse people who comprise the population of California's vast Central Valley, we aim to create a community of united artists who experiment, perform, and pursue a wide variety of subjects and styles. Through performance and process-driven education programs, we engage, inspire, create, and empower artistic discourse.","CA","??","??",,,,"Creative Arts",,,,,,,,"theatre",,,"phone","https://www.facebook.com/pages/Center-Stage-Conservatorys-Lower-Level-Studio/370734136281624","no","none that i can find","https://farm6.staticflickr.com/5570/14691481508_4fcfecbbf7.jpg",,,,"drama- kids would put on plays",
