"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Curtis Studio of Dance","http://www.curtisdance.com/curtis-studio-dance-schedule-events.html","bonniecurtis1@cox.net.","4915 9th Street","Carpinteria",93013,"(805) 684-4099","Dancing instructions , acrobatics","CA",,,"yes",,,"Tap","Jazz","Ballet","Pointe","HipHop",,,,,,,,,,"http://www.curtisdance.com/images/blank-logo-head.gif","http://www.curtisdance.com/images/Picture%20Day2012.jpg , http://www.curtisdance.com/images/stories/gallery/IMG_9.JPG , http://www.curtisdance.com/images/40years/June14_007.jpg","downtown Carpinteria","pre school, kindergarden",,
"Dancing Images","http://www.didancecenter.com/",,"24594 Sunnymead Blvd Ste R","Moreno Valley",92553,"(951) 247-6858","Dancing Instruction, Health Clubs, TnT,  and Teen Technique","CA",,,"yes",,,"Jazz","HipHop","Ballet","Contemporary",,,,,,15,"287$ - monthly",,,,"http://static.wixstatic.com/media/bf8dd9_b9fca525f29ba00160ece19b2c0b8b14.png_srz_p_496_351_75_22_0.50_1.20_0.00_png_srz","http://static.wixstatic.com/media/bf8dd9_b2c4812647594e0dbfca44d0af61ac08.jpg_srz_p_285_190_75_22_0.50_1.20_0.00_jpg_srz, http://static.wixstatic.com/media/bf8dd9_9c8698dfa14515c314a2a7b2de45420a.jpg_srz_p_285_191_75_22_0.50_1.20_0.00_jpg_srz","Palm Plz",,,
"Melody's Dance Studio","http://melodysdancestudio.net/","melodysdancestudio1967@gmail.com","112 Railroad Ave","Antioch",94509,"(925) 754-1210","Dancing Instruction, Gymnastics Instruction, Sports Instruction, We have Jazz, Jazz Technique, Hip
Hop, Tap, Ballet, Lyrical, Character, Social Dancing and we are always looking
for more!","CA",1.5,8,"yes",,,"HipHop","Jazz","Tap","Ballet","Lyrical",,,,,,"40 $ - 85 $ momthly",,,,,"http://melodysdancestudio.net/wp-content/uploads/2014/10/IMG_1539-150x150.jpg , http://melodysdancestudio.net/wp-content/uploads/2014/10/IMG_4034-150x150.jpg",,,,
"Sonoma Ballet Conservatory","http://sonomadancestudio.com",": info@sonomadancestudio.com","561 Broadway Ste B","Sonoma",95476,"(707) 938-1424","Dance Companies, Dancing Instruction, Conservatory of Dance offers Master Classes in Jazz, Flamenco, Character, Modern, Drama, Feldenkrais, Gyrokenisis, Pilates, Conditioning, Stretching and/or Yoga--important components in a well-rounded dance education.","CA",,,"yes","yes",,"Ballet","Jazz",,,,,,,,,,"pdf",,,"http://sonomadancestudio.com/images/logo.png","http://sonomadancestudio.com/images/dancers-pose.png, https://lh3.googleusercontent.com/-_f_tjwxiRsw/UvkSA1u69fI/AAAAAAAAAEw/jt4rH8aVn48/s144/0022-_%252520Ken%252520Viale.jpg , https://lh3.googleusercontent.com/-L-AoioPFe9E/UvkRA3b2ofI/AAAAAAAAAEA/v2-LK26OuHk/s144/0016-_%252520Ken%252520Viale.jpg",,,,
"Pride Of Polynesia Dance Revue","http://prideofpolynesia.com/","susan@prideofpolynesia.com","6512 El Cajon Blvd","San Diego",92115,"(619) 583-3000","Dancing Instruction, Halls, Auditoriums & Ballrooms, The dance company specializes in the songs and dances of four of the major Polynesian Islands, French Polynesia (Tahiti), Hawaii, Samoa and Aotearoa (New Zealand). . The Pride of Polynesia offers Polynesia offers floor shows, live background music, lei making demonstrations, hula lessons, and fire knife performance.","CA",,,,,,"Dance",,,,,,,,,,,,,,"http://prideofpolynesia.com/images/POP-Logo.gif","http://prideofpolynesia.com/images/gallery/9.JPG , http://prideofpolynesia.com/images/gallery/3.JPG, http://prideofpolynesia.com/images/gallery/2.JPG","College East, Mid-City",,,
"The Little Gym","http://www.thelittlegym.com/Pages/default.aspx",,"9525 N Sommerville Dr Ste 109","Fresno",93720,"(559) 433-3434","Dancing Instruction, Gymnasiums, Martial Arts Instruction, Children's Party Planning & Entertainment, specific techniques for ballet, tap and gymnastics, improved balance, posture and grace, development of rhythm and creative movement","CA",3.5,12,"yes","yes","yes","Ballet","HipHop",,,,,,,,,,,,,"http://36.media.tumblr.com/70d2731298b47901f52304bb1799e513/tumblr_na9lxpiZjA1sjgopyo1_1280.png ,http://www.thelittlegym.com/PublishingImages/contactUs.jpg",,"Woodward Park",,,
"Exeter City Dance Co",,,"150 E Palm St","Exeter",93221,"(559) 592-6669","Dancing Instruction, Dance Companies","CA",,,,,,"Dance",,,,,,,,,,,,,,,,,,,
"Sanchez Street Studios Inc.","http://sanchezstreetstudios.com/","info@sanchezstreetstudios.com","1587 Sanchez St","San Francisco",94131,"(415) 648-4911","Dancing instructions , teaches pilates .Whether you are an absolute beginner , season professional, someone recovering from a chronic or acute injury or someone who just wants to feel and look better Sanchez Street is the place","CA",,,"yes",,,,,,,,,,,,,,,,,,"http://sanchezstreetstudios.com/wordpress/wp-content/uploads/2011/08/classes51.jpg","Southwest San Francisco, Noe Valley, Central San Francisco",,,
"Westlake School-Performing Art","http://www.wspadance.com/","wspa1@sbcglobal.net","200 Northgate Ave","Daly City",94015,"(650) 757-1244","Dancing Instruction, Acting Schools & Workshops, Schools . It also offers ethnic dance classes in Russian and Polynesian traditions and a department of Broadway musical theater classes.  Tap, jazz, and hip hop are also offered to all levels of ability.  For the pre-schoolers, there are combination classes of ballet n’ tap.  WSPA has a music room where private classes in piano, voice, and musical theater are taught.","CA",5,12,"yes","yes",,"Ballet","HipHop","Jazz","Tap","Voice",,,,,,"650$ for 1 hour for 10 months","web form",,,"http://www.wspadance.com/_Media/wspa_logo_med.jpeg","http://www.wspadance.com/_Media/dvc00791_500.jpeg , http://www.wspadance.com/_Media/hannah_arabesque_med.jpeg , http://www.wspadance.com/_Media/dsc_0068.jpeg","Westlake",,,
"NDM Dance Studios","http://ndmdance.com/","ndmdance@padma-media-marketing.com","17711 Pioneer Blvd","Artesia",90701,"(562) 402-7761","Dancing instructions , NDM offers dance classses in Bollywood Dancing, Bhangra, Folk, and Groom & Bridal dance training. We also provide “Live Entertainment” for all types of events by The NDM Dance Troupe.","CA",5,,"yes","yes",,"IndianClassical",,,,,,,,,,,,,,"http://ndmdance.com/wp-content/themes/ndm/images/logo.png","http://ndmdance.com/wp-content/themes/ndm/images/enterbg.jpg , http://ndmdance.com/wp-content/uploads/wppa/thumbs/39.jpg , http://ndmdance.com/sites/default/files/dance1-company-main.jpg","El Patio Shopping Ctr",,,
"Keenan Irish Dance School","http://keenanirishdanceschool.com/","keenan5678@att.net","241 Darek Dr","Santa Rosa",95401,"(707) 542-1367","The Keenan Irish Dance School offers traditional Irish dance classes","CA",4,,"yes","yes",,"Dance",,,,,,,,,,,,,,,"http://keenanirishdanceschool.files.wordpress.com/2011/03/100530caspringfeis-013.jpg?w=112&h=150 , http://keenanirishdanceschool.files.wordpress.com/2011/01/header_photos2.jpg",,,,
"Kos Traditional Korean Dance Studio",,,"10330 Reseda Blvd","Northridge",91324,"(818) 993-3333","Dancing instructions","CA",,,"yes",,,"Dance",,,,,,,,,,,,,,,"http://s3-media4.fl.yelpcdn.com/bphoto/9ocYluxtANfO2XTNUVi-pQ/ms.jpg , http://s3-media2.fl.yelpcdn.com/bphoto/bvr07jKpOT_-1hafIfXLJw/ms.jpg",,,,
