"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)",,"Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade",,"Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes"
"ICE SKATING AT THE WINTER LODGE","http://winterlodge.com/","info@winterlodge.com","3009 Middlefield Road","Palo Alto",94306,"650.493.4566","Winter Lodge is a non-profit organization and has been teaching ice skating classes for kids for over 50 years here in Palo Alto. Fall, winter, & spring sessions.  The Fall session of classes begins the week of Sep 24. It includes a 1/2 hour group lesson once a week, with rental skates, free practice time, and 2 extra free practice passes for $184.00. Sign up in person, by phone, or by fax -- but when signups open, don't delay. Classes often fill up the first day!","CA",5,18,"yes",,"yes","Ice Skating",,,,,200,,,,,,,,,12,,"phone","https://www.facebook.com/WinterLodgeOutdoorIceSkating","no","http://winterlodge.com/wordpress/wp-content/uploads/2009/12/Winter_Lodge_logo100.jpg","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/389679_361111787263035_1801180247_n.jpg?oh=0ebb09e7a8a44ad7bcf3a60a000b0142&oe=54E02244","n/a","K",12,
"TOMAHAWKS LACROSSE","http://www.tomahawkslacrosse.org/","clubmanager@tomahawkslacrosse.org","PO Box 60613","Palo Alto",94306,"888-599-5096","Lacrosse is now an official school sport (Varsity & JV) for Boys & Girls at Paly & Gunn! At Paly, it's #2 in participation (behind only track; ahead of football, baseball, basketball, soccer, swimming). Spring Season 2012 -- boys' & girls' teams -- register [online] for new & returning players, beginner thru competitive: Boys Teams U9, U11, U13, & U15; Girls teams U11, U13, U15. Practices start in Feb; games, Mar-May.
Home games at Paly; we practice at various Palo Alto fields.","CA",6,18,"yes",,,"Lacrosse",,,,,,,,,,,,,,12,,"online","https://www.facebook.com/pages/Tomahawks-Youth-Lacrosse/214788511925333","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/398720_416002925137223_1526225868_n.jpg?oh=7cb280ff03b417317fd0237f385634f9&oe=551B1CDD&__gda__=1424463628_36b2cbc1bae54f341f25ff50e309fcfb","http://cdn4.sportngin.com/attachments/photo/0119/7435/windup_large.jpg",,2,12,
"SEAHAWKS RUGBY FOOTBALL CLUB","www.seahawkyouthrugby.com","steve@seahawkyouthrugby.com","???","??","??","650-669-1906","Seahawk Youth Rugby is mustering recruits for its 2013 program. The program offers teams for junior varsity boys, and coed teams for U8, U10, U12 and middle school open/lightweight divisions. Practice begins Sun Nov 18 at Palo Alto High School. Matches are played weekends, January thru April.","CA",6,18,"yes",,,"Lacrosse",,,,,250,,,,,,,,,12,,"online","https://www.facebook.com/SeahawkRugby","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-ash2/v/t1.0-9/1379462_598274476902303_2021936469_n.jpg?oh=d09b14ed37e5ada2145816b58a590ad2&oe=54E3D8FE&__gda__=1424006060_f7d7afc443d699d617941ae503e160e9","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/p417x417/1654228_664737250256025_2021987289_n.jpg?oh=39ab886e57261c7363f3d5bd19cb6673&oe=5518B7FF&__gda__=1428077506_bed5956ab0e63aa91b00fe4ab3b688b3","n/a",2,12,
"PALO ALTO LIGHTNING TRACK CLUB","http://www.paloaltolightningtrack.com/","sty3000@aol.com","Stanford University Angell Field  and other locations
295 Galvez St","Stanford",94305,"321-2175","Open to all runners, ages 5 to 19, any experience level. Practices 4x per week. Competition in USA Track & Field meets / Junior Olympics.
Annual fee covers both track & field and XC seasons.","CA",6,18,"yes",,,"Track and Field",,,,,,,,,,,,,,12,,"phone","https://www.facebook.com/pages/Palo-Alto-Lightning-Track-and-Field-Club/138516389521966","no","http://www.paloaltolightningtrack.com/bg-1-136611.jpeg?u=4289910802","http://www.paloaltolightningtrack.com/0_0_0_0_360_202_csupload_57845183.jpg?u=243848890","n/a","K",12,
"OPTI SUMMER SAILING CAMP","http://www.pysf.us/
http://www.pysf.us/optimist","opti@pysf.org
pysfteam@gmail.com","Peninsula Youth Sailing Foundation - 1200 Chesapeake Dr -","Redwood City",94063,"??","Camp: for boys & girls age 8 to 13 (and at least 50 pounds). Learn to sail in one-person prams in Redwood City. Summer camp registration is now open. We have 7 one-week classes, Mon-Fri 9 a.m. to 3 p.m.. Small classes.","CA",8,15,,"yes",,"Sailing",,,,,,,,,,,,,,10,,"email","https://www.facebook.com/PeninsulaYouthSailingFoundation","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/185903_203411899673289_195711_n.jpg?oh=ed0741196e55938fec433cbfab49ccce&oe=55181F20&__gda__=1424074587_236aa9abd9a20f5b7add784bf73472e8","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/p417x417/10407137_884659238215215_7632430630444916597_n.jpg?oh=a3ef8168d25fdc80750cd9528ec2d52b&oe=54D25705",,3,10,
"OPTI Racing Team","http://www.pysf.us/
http://www.pysf.us/optimist","opti@pysf.org
pysfteam@gmail.com","Peninsula Youth Sailing Foundation - 1200 Chesapeake Dr -","Redwood City",94063,"??","Our Racing Team is divided into two groups, the ""Opti Green Team"" and ""Opti Race Team."" Our Optimist racers are from 9-15 years old and enjoy improving their racing skills around the SF Bay Area and along the west coast. The Opti Green team is for sailors with less than a year sailing in Optimists, but who understand the basics of sailing and need an introduction to racing skills. The Opti Race team is for sailors who have experience racing Optimists around the Bay and are looking to refine racing skills.","CA",8,15,"yes",,,"Sailing",,,,,,,,,,,,,,10,,"email","https://www.facebook.com/PeninsulaYouthSailingFoundation","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/185903_203411899673289_195711_n.jpg?oh=ed0741196e55938fec433cbfab49ccce&oe=55181F20&__gda__=1424074587_236aa9abd9a20f5b7add784bf73472e8","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/p417x417/10407137_884659238215215_7632430630444916597_n.jpg?oh=a3ef8168d25fdc80750cd9528ec2d52b&oe=54D25705",,3,10,
"PYSF High School Sailing Classes","http://www.pysf.us/
http://www.pysf.us/optimist","opti@pysf.org
pysfteam@gmail.com","Peninsula Youth Sailing Foundation - 1200 Chesapeake Dr -","Redwood City",94063,"??","PYSF provides instruction, coaching, practice, and racing opportunities for Peninsula teens. Our mission is to coach, teach and nurture youth sailors in the San Francisco Bay Area. Many of the middle school and high school sailors in PYSF have developed into some of the top sailors in the US. We welcome all youth to come sail with us!

Our year-round sailing programs provide opportunities for kids of all ages to learn to sail and develop their sailing skills. Sailing is done in Optimists, Flying Juniors, 420's, and Lasers. Our sailors compete in regattas around the Bay, as well as up and down the West Coast. During the summer PYSF offers fun in-depth summer camps for boys and girls to learn to sail and race in small boats. There are also clinics for experienced sailors.","CA",14,18,"yes",,,"Sailing",,,,,300,,,,,,,,,12,,"email","https://www.facebook.com/PeninsulaYouthSailingFoundation","no","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/185903_203411899673289_195711_n.jpg?oh=ed0741196e55938fec433cbfab49ccce&oe=55181F20&__gda__=1424074587_236aa9abd9a20f5b7add784bf73472e8","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1470034_775392302475243_29490883_n.jpg?oh=66a5e8b93f5ebd61000f6605ebced21c&oe=54E5D4B9&__gda__=1424121233_94da37e69560960e0bafe0168ab0e279",,9,12,
"PALO ALTO AYSO SOCCER","http://www.ayso26.org/","info@ayso26.org","PO Box 1493","Palo Alto",94306,"(650) 735-1493","Since 1964 AYSO has been enriching children's lives with world-class soccer programs that promote a fun, family environment based on Six Philosophies:Everyone Plays,  Open Registration, Balanced Teams, Good, Sportsmanship, Positive Coaching, Player Development
More than 2000 Palo Alto kids and 450 Palo Alto parents work together each year to enrich our families and community. We produce soccer programs year-round from pre-kinder through high school, and a VIP program for special-needs kids. Our programs adjust field-size, skills training, tactical training, practice length and game length to match the developmental progress of each group. Older divisions play other Regions, Areas and Leagues.","CA",3,18,"yes","yes",,"Soccer",,,,,,,,,,,,,,12,,"online","https://www.facebook.com/pages/Palo-Alto-AYSO-Region-26/101614406556732","no","https://sites.google.com/a/ayso26.org/www/_/rsrc/1370480671426/parents/newsletter/KidsZoneFlagLeft.png","https://sites.google.com/a/ayso26.org/www/_/rsrc/1401895539994/parents/newsletter/newsletter/davisworldcupwrapup/14b1.JPG",,"PreK",12,
"PALO ALTO AYSO SOCCER - Kinder Socer","http://www.ayso26.org/soccer-programs/soccer/kinder-league","info@ayso26.org","PO Box 1493","Palo Alto",94306,"(650) 735-1493","Enhancing children's lives through soccer. Nationally accredited youth soccer, designed for age-appropriate enjoyment & learning. We are offering this program for the first time in the spring, responding to overwhelming enthusiasm to our fall 2010 program with 320 Palo Alto pre-kinder and kinder-level children.
Cost: $30 for pre-kinder; $50 for kinder.","CA",4,5,"yes",,,"Soccer",,,,,30,,,,,,,,,"K",,"online","https://www.facebook.com/pages/Palo-Alto-AYSO-Region-26/101614406556732","no","https://sites.google.com/a/ayso26.org/www/_/rsrc/1370480671426/parents/newsletter/KidsZoneFlagLeft.png","http://www.ayso26.org/_/rsrc/1409548260127/soccer-programs/soccer/kinder-league/PeersParkKinder.png?width=900",,"PreK","PreK",
"PALO ALTO SOCCER CLUB (PASC)","http://pasoccerclub.org/","PASCinformation@gmail.com","PO Box 50831","Palo Alto",94303,"??","Palo Alto Soccer Club is a competitive soccer club with over 40 teams ranging in age from U8 to U18 and camp programs for kids starting at age 5","CA",4,18,"yes","yes",,"Soccer",,,,,,,,,,,,,,12,,"email","https://www.facebook.com/pasocc","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/407842_167215626723330_1410956638_n.jpg?oh=dda18bfb961d1784e907f5e91781cb28&oe=54EBA77B","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/480854_189543874490505_122188585_n.jpg?oh=1963f5fafcd7c3051e94afbe3b895886&oe=551C7818",,"K",12,
"PALO ALTO SOCCER CLUB (PASC) Junior Trees Program","http://pasoccerclub.org/player-development/youth-development-programs/","PASCinformation@gmail.com","PO Box 50831","Palo Alto",94303,"??","Junior Trees is Palo Alto Soccer Club’s youth development program for Boys & Girls – Ages 4-9.

The nine week winter YDP program, starting on January 12, 2015 will be similar to the fall program. We will keep the same days (Monday and Thursday) and similar times with one day or both day options and 5 Saturday afternoon playdates at a location TBD.","CA",4,8,"yes",,,"Soccer",,,,,210,,,,,,,,,3,,"email","https://www.facebook.com/pasocc","no","same","no specific picture for junior trees",,,,
"PSV (PENINSULA SILICON VALLEY)
UNION FOOTBALL CLUB","http://www.psvunion.org/","manager@psvunion.org","PSV Union FC 
555 Bryant St #437","Palo Alto",94301,"(650) 387 4128 or (650) 799 7984","A non-profit youth soccer club based in Palo Alto, with professionally coached teams ages U7 to U18, & an Academy for ages 4-6. Our philosophy is based on a long term approach to development, focused on providing high level instruction & a great learning environment. Our teaching model is centered around year-round practice & play, an emphasis on repetition to master the fundamentals, & nurturing a dedication to learning and a love for the game. Our unique club environment, in which all teams, players & coaches collaborate so younger players can learn from more experienced players & older players in turn provide mentorship, helps promote player education. Our highly qualified & licensed coaches have played & coached around the world, and have many years of experience teaching all ages & levels. Most important, our coaches have a strong commitment to teaching & sharing their passion for the game. Players in our club range from 4 year old novices to 18 year old Youth National team players. We welcome various levels & experiences to come try out.","CA",6,18,"yes","yes",,"Soccer",,,,,,,,,,,,,,12,,"phone","https://www.facebook.com/pages/PSV-Union-Football-Club/153803914385","no","http://cdn2.sportngin.com/attachments/photo/3035/1282/psvufc_badge_red_small.jpg","http://cdn4.sportngin.com/attachments/photo/1450/7546/94Gteam_medium.jpg",,1,12,
"PSV (PENINSULA SILICON VALLEY) - Academy
UNION FOOTBALL CLUB","http://www.psvunion.org/","manager@psvunion.org","PSV Union FC 
555 Bryant St #437","Palo Alto",94301,"(650) 387 4128 or (650) 799 7984","SV Union Football Club's Academy focuses on introducing the game of soccer to the youngest players in our club, ages 4-6. We emphasize long term development: teaching basic skills, encouraging kids to have fun & develop a love for the game, developing a strong foundation for learning and understanding the material, and enabling kids to gain a good grasp of techniques that provide the stepping stones to play the game at a higher level in the future. Many players on our U8 to U13 competitive teams started soccer in our Academy program. We have a strong ""club"" model to promote this development, in which all teams, players & coaches collaborate and cooperate. Our highly qualified and licensed coaches have many years of coaching experience with all ages and levels around the world. All coaches have a strong commitment to teaching and sharing their passion for the game.","CA",4,6,"yes","yes",,"Soccer",,,,,21,,,,,,,,,1,,"phone","https://www.facebook.com/pages/PSV-Union-Football-Club/153803914385","no","http://cdn2.sportngin.com/attachments/photo/3035/1282/psvufc_badge_red_small.jpg","http://cdn4.sportngin.com/attachments/photo/1450/7546/94Gteam_medium.jpg",,"K",1,
"STANFORD SOCCER CLUB","http://stanfordsoccerclub.org/","sberz@yahoo.com","613 Marion Pl","Palo Alto","??","650-327-0421","Club soccer for kids ages 8-18 in and around Palo Alto CA
The Stanford Soccer Club is a competitive youth soccer club serving Palo Alto and neighboring communities. Our teams compete in the Cal North – Cal Soccer League (CCSL) and NorCal Premier Soccer League across all competitive levels.

Unlike many clubs, the Stanford Soccer Club emphasizes parental involvement in virtually all aspects of team leadership. Professional coaches provide our players with outstanding training and skill development. But it is team parents--not the club--who make the key decisions regarding player selection, coach selection, and the competitive objectives of each team.

Our distinctive approach to competitive soccer has proven extremely popular in the Palo Alto community, allowing the Stanford Soccer Club to thrive and to grow to several hundred players today.","CA",8,18,"yes","yes",,"Soccer",,,,,,,,,,,,,,12,,"email registrar","https://www.facebook.com/pages/Stanford-Soccer-Club/193952370621804","no","http://stanfordsoccerclub.org/sites/default/files/stanford-summer-club-logo_0.jpg","http://stanfordsoccerclub.org/sites/default/files/heat-wave-banner_0.jpg",,2,12,
"SUPREME COURT 1 ATHLETIC CLUB SQUASH","http://sc1ac.com/","Dave@sc1ac.com","415 N. Mathilda Avenue","Sunnyvale",94085,"408.739.1250","Squash lessons for all ages. Squash pro Muhammad Waseem ul Haq, of the Supreme Court 1 Athletic Club, is taking new students for private lessons, clinics, league play, & tournaments. All levels of juniors and adults are welcome. Muhammad has 25 years of squash experience and has played professionally (he was ranked 131 in the world in 1999).","CA",5,18,"yes","yes",,"Squash",,,,,,,,,,,,,,12,,"phone","no","n/a","http://www.hisasquash.com/wp-content/uploads/2014/06/HISA_Logo_Dec5_2012_125.jpg","http://sc1ac.com/wp-content/uploads/2012/06/squash-at-Supreme-Court.jpg",,,,
"EXCEL SWIM SCHOOL","site is odd http://www.excelswimschool.com/","none listed call Danny Dye at phone","Palo Alto High School Aquatic Center
        50 Embarcadero Rd","Palo Alto",94301,"650-861-1093","The Excel Swim School is designed to introduce first-time swimmers to a fun and positive environment, as well as working with more experienced swimmers in developing and improving stroke technique. The swim school is a noncompetitive environment where the teachers’ goal is to empower the swimmer to improve to the best of their ability. The teachers are all Palo Alto High School Swimmers certified by Red Cross in CPR, First Aid, & Lifeguarding.","CA",,,"yes",,,"Swimming",,,,,100,,,,,,,,,,,"phone",,,,,,,,
"Palo Alto Stanford Acquatics","http://www.pasa-swim.org/Home.jsp?team=pspasa","webform on site
http://www.teamunify.com/ContactMe.do?act=new&team=pspasa","??","Palo Alto","??","??","PASA was formed in the Fall of 2003 and welcomes swimmers of all ages and ability levels. PASA offers a program for everyone - from the beginner swimmer to the Olympian. 

PASA has been named a United States Swimming Gold Medal Club. The top 16 teams in the country receive this recognition. There are more than 2,800 USA Swim Clubs in the country, and PASA currently ranks as the 4th most competitive in the United States. PASA is ranked as the #1 team in Northern California.","CA",,,"yes",,,"Swimming",,,,,,,,,,,,,,,,,"https://www.facebook.com/pages/PASA-Palo-Alto-Stanford-Aquatics/238225890667?sk=info&ref=page_internal","yes","https://www.teamunify.com/pspasa/__doc__/banner.jpg","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/292148_10150618098640668_1406512962_n.jpg?oh=aa526de925185bd1ee58a24c791b3314&oe=54EA7449",,,,
"STANFORD CAMPUS RECREATION ASSOC. Swim Lessons","http://web.stanford.edu/dept/scra/","scra@stanford.edu  or specifically for lessons lauramitchell@stanford.edu","875 Bowdoin St.","Stanford",94305,"(650) 736-SCRA (7272)","K-5
6-8
9-12
         STANFORD CAMPUS RECREATION ASSOC.
SCRA offers year-round private and group swim lessons, and, as a Palo Alto Stanford Aquatics site, both pre-competitive and competitive swim team opportunities for kids who are new to swim team through national competitors. Our goal is to develop swimmers in a fun, nurturing learning environment","CA",5,18,"yes",,,"Swimming",,,,,25,,,,,,,,,12,,"email lauramitchell@stanford.edu","https://www.facebook.com/pages/Stanford-Campus-Recreation-Association/166223353414489","no","http://www.scraswimming.com/.a/6a0133eca8f427970b017ee8a95a43970d-pi","http://www.scraswimming.com/.a/6a0133eca8f427970b017ee451af1a970d-320wi",,,,
