"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting Price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url"
"Pacific Martials","http://fresnopma.com","arwcgirl@hotmail.com","4774 N. Blackstone Ave","Fresno",93726,"559-436-4641","Whether you're coming for self-defense or to instill values in your children, you won't find a school as dedicated to teaching well as Pacific Martial Arts","CA",4,18,"YES",,,"Martial Arts",,,,,,"online","https://www.facebook.com/PacificMartialArts","Y","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10600385_820073921360213_3200993084815065638_n.png?oh=a23a2e66efb72f751ad62ff934064e96&oe=54DB21FD","http://fresnopma.files.wordpress.com/2013/08/cropped-room.jpg"
"Outliers Jiu Jitsu","http://www.outliersbjj.com","Jeremy@outliersbjj.com","10251 Mast BLvd","Santee",92071,"619-562-1198","Outliers Jiu Jitsu is an official school of the Ribeiro Jiu-Jitsu Association serving Santee, CA and the entire East County of San Diego. Outliers BJJ is built on the foundation of self, family and community. The belief is that, if you take care of your self, you can raise a family, and with a family you can build a community. The aim of Outliers Jiu-Jitsu is to provide a learning environment that offers growth in all aspects of mind, body, and spirit.","CA",,,"YES",,,"Martial Arts",,,,,,"online","https://www.facebook.com/outliersjiujitsu","Y","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p160x160/264756_160259174045866_1114361_n.jpg?oh=caf30c0178b76fbcc20c534ac86f2a11&oe=54DD7E29&__gda__=1427253060_96140bb79081e3ffcb1c874808a41ded","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10649641_714142751990836_8263973682863294813_n.jpg?oh=40933bf44edeb45a9ba051ae12acf322&oe=551D50A8&__gda__=1427627380_8acf21725f1747331ee7f03df445789f"
"United Studios of Self Defense","http://ussd.com","Sensei@costamesakarate.com","2675 Irvine Ave Suite G","Costa Mesa",92627,"949-722-7432","Martial Arts training at USSD is not just about physical fitness or self-defense. Our students develop a range of skills that enable them to succeed in all areas of life. This is particularly important for children, who need the guidance and support of parents and others to develop the skills they need to become capable and balanced adults. Along with improved coordination, flexibility, strength, and endurance, our students develop better concentration skills, a sense of calmness, and a deep respect for themselves and others, in an environment where the camaraderie created by shared challenges creates a sense of trust and a recognition of individual achievement. Students advance at their own pace, without the pressure that is often such a part of team sports.","CA",4,18,"YES",,,"Martial Arts",,,,,,"online","https://www.facebook.com/USSDHQ","Y","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/421022_232315433519696_702255351_n.jpg?oh=793bb6e501b15614bbfe40a794c7dbe4&oe=550C8C11","http://ussd.com/wp-content/uploads/2014/09/web_title.png"
"Golden Lion Martial Arts School","http://www.goldnlion.com","David.Dong@goldnlion.com","1031 San Pablo Ave","Albany",94706,"510-527-1606","The Golden Lion Martial Arts School teaches the traditional Chinese arts of Choy Li Fut Kung Fu, a Shaolin system, and Yang Style Tai Chi Chuan. We are a member of the Plum Blossom International Federation.",,4,16,"YES",,,"Martial Arts",,,,30,"per_month","phone","https://www.facebook.com/pages/Golden-Lion-Martial-Arts-Academy/123120251032803","N","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/t31.0-8/704476_531600413518116_977517865_o.jpg","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/t31.0-8/10648197_889036477774506_83717563359435121_o.jpg"
"Martial Arts Family Fitness","http://www.kickboxers.com","info@kickboxers.com","122 E. Guitierrez St","Santa Barbara",93101,"805-963-6233","Our youth classes have been designed to teach children martial arts, as well as teamwork, cooperation and self confidence. Children learn respect for each other in a very fun and dynamic atmosphere.","CA",3,18,"YES","YES","YES","Martial Arts",,,,,,"phone","https://www.facebook.com/maffsb","Y","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/488150_10150961407889109_145912945_n.jpg?oh=0e61a4e48a2382911b48180ee84deea7&oe=54E439DC","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfa1/l/t31.0-8/10273274_10152100810164109_4790040621515579664_o.jpg"
"Sam Montgomery West Coast Tae Kwon Do","http://www.sammontgomerytkd.com","sammontgomerywctkd@sbcglobal. net","31185 Mission Blvd","Hayward",94544,"510-471-8100","Whether you are a child, teen or adult, the accomplishments you achieve through martial arts training can last a lifetime. You will learn that Tae Kwon Do is a state of mind, incorporating self-control, kindness, and humility with physical strength and grace. Training in martial arts imparts important life lessons, especially to the younger students. The discipline they learn in class can relate to other things besides martial arts. We teach respect and the ability to focus. Along with your mental training, you will acquire self-defense skills and you can develop balance and coordination by improving flexibility, cardiovascular fitness and overall muscle tone.","CA",4,16,"YES","YES",,"Martial Arts",,,,,,"phone",,,"http://www.sammontgomerytkd.com/sites/all/themes/earthen/logo.png","http://www.sammontgomerytkd.com/sites/default/files/imagecache/preview/photos/IMG_0721.jpg"
"International Academy Wingchun","http://wingchunus.com/membership/","hq@iaw-us.com","1380 University Ave","Berkeley",94702,"510-666-9261","We specialize in giving you the deep confidence that comes from functional Self-Defense ability. Our class environment is fun, safe and supportive. Among cooperative peers and dedicated teachers, you will learn to defend yourself and become a WingChun warrior.","CA",,,"YES",,,"Martial Arts",,,,,,,"https://www.facebook.com/WingChunUS","Y","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/182540_10151386781680919_518740669_n.jpg?oh=8bdea8279da1a10d9fba87a044923edc&oe=54E4B4AE","https://scontent-a-ord.xx.fbcdn.net/hphotos-ash2/t31.0-8/920401_10151508393775919_163153703_o.jpg"
"Rodness Martial Arts Center","http://rodnessmartialarts.wordpress.com/programs-2/","rodnessmma@att.net","415 L Street","Davis",95616,"530-753-6825","Our children’s Martial Arts program is a perfect blend of respect, positive discipline, and fun. They learn how to act and react to the world around them. Our students are treated with respect and are taught to return the same respect to others. We teach students the value of making goals and striving to achieve them. We believe in praise, encouragement and positive reinforcement. Students will also learn essential life skills such as Character Development, staying safe in school, staying safe on the street and how to defeat the bully without fighting, in a fun and safe environment.","CA",3,18,"YES","YES","YES","Martial Arts",,,,,,"phone","https://www.facebook.com/rodness1993/timeline","N","https://scontent-b-atl.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/281843_247089581988549_2334043_n.jpg?oh=99b367d9d569fe38cfbfaced52e82325&oe=55167B97","https://scontent-a-atl.xx.fbcdn.net/hphotos-xap1/v/l/t1.0-9/10388100_859984607365707_6472427333092273308_n.jpg?oh=15b0c04c4aa1343afb6f8600d31ad6f8&oe=54E3E2A0"
"Kids Club Martial Arts","http://www.kidsclubmartialarts.com",,"8280 Folsom Blvd","Sacramento",95826,"916-386-1927","Welcome to Kids Club Martial Arts, where lives are changed with every kick. 
Need more confidence?  We will help you get it.  Need more self-control?  We will help you achieve it.  Need more physical fitness?  We will help you attain it.  Need to add to your karate, kungfu, or mix martial arts (MMA)?  We will help increase your skills.","CA",7,12,"YES","YES",,"Martial Arts",,,,115,"per_month","phone","https://www.facebook.com/kidsclubmartialarts","N","https://scontent-a-atl.xx.fbcdn.net/hphotos-xfp1/v/l/t1.0-9/969132_624762717567093_1578815306_n.jpg?oh=da5e6c4b63279b76df318ed0ca41c2aa&oe=54DB01A6","https://scontent-a-atl.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10457561_746857168690980_7904827017473893249_n.jpg?oh=deaba61c18f38b84c28d87c35fd93081&oe=54DCC1F8"
"House of Champions","http://www.houseofchampions.com","hocvannuys@aol.com","17228 Saticoy St","Van Nuys",91406,"818-996-7180","Introduce your child to the many different benefits the House of Champions offers and teaches young minds and souls. Beginning Martial Arts at a young age has proven to help shape a person's mental and physical self. HOC kids learn valuable life lessons, learn fundamentals of discipline and respect, and are introduced to a world of learning that’s fun and healthy.","CA",4,15,"YES","YES","YES","Martial Arts",,,,,,"phone","https://www.facebook.com/pages/House-of-Champions-Van-Nuys-Ca/133690169984001","Y","http://www.houseofchampions.com/images/top-banner.gif","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/p417x417/10411215_880039248682419_5188026123571874248_n.jpg?oh=559b4989ddc0e23fab186185e63db1bb&oe=551240D2&__gda__=1427108352_e3b20c5d3c9a124b5753ce6f6b2d4991"
"Marpiposa Martial Arts","http://mariposama.com",,"5081 Jones St","Mariposa",95338,"209-742-4501","t our institute, children will learn the art of self-defense through the extensive training of various forms of martial arts. Our fun children programs teach children the necessary qualities of respect and self-discipline, besides focusing on skills and character development. This will help them excel in other aspects of life as well and lay a strong foundation for their future.","CA",4,18,"YES","YES","YES","Martial Arts",,,,,,"online","https://www.facebook.com/MariposaMartialArts","Y","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1920244_10152437006503748_4725085188482556750_n.jpg?oh=c2d609b9ead39cf7766af877245b3ee4&oe=54E2EE7C&__gda__=1427515158_a041c4e61805be519d8dd80335bba6fa","https://lh5.googleusercontent.com/-urvpmtLT2wg/ULFbjZyGN9I/AAAAAAAAAV8/c0mRw8kZEuc/w851-h595-no/527108_10150732680693748_757750042_n.jpg"
"Tat Wong Kung Fu","http://www.tatwong.com/index.html","info@tatwong.com","5100 Clayton Road","Concord",94521,"925-288-0900","Classes for children ages 4 and up, are organized by age and skill level and are offered at convenient times throughout the week and on weekends.Your child will develop concentration, confidence, discipline and respect, while building physical fitness, coordination, and self-defense skills in our safe, fun and positive environment.","CA",4,18,"YES","YES","YES","Martial Arts",,,,,,"online","https://www.facebook.com/pages/Tat-Wong-Kung-Fu-International/686380704759818?ref=br_rs","Y","https://scontent-a-atl.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1606892_686384044759484_849970600_n.png?oh=36dbb3ced726e51b76ca58a647e273e3&oe=5511CC6D","https://www.facebook.com/686380704759818/photos/pcb.804343119630242/804341569630397/?type=1&theater"
"Tang Soo Do University","http://tsdukarate.com","TSDUKarate@gmail.com","5285 Kazuko Court Suite A","Moorpark",93021,"805-530-0000","The Junior Basic Program is designed for students to get a feel of what martial arts is all about. Children will learn self-control, focus, discipline, self-defense, confidence and respect.This trial program is designed to introduce adults to martial arts.",,3,18,"YES","YES","YES","Martial Arts",,,,75,"per_ month","online","https://www.facebook.com/TSDUKarate","Y","https://scontent-b-atl.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/149629_182654658416344_7284074_n.jpg?oh=dec9825eab7b274b09e9506974db1f02&oe=54DB1CA5","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/528541_443267232355084_237066466_n.jpg?oh=3efe1dcfa7e3fb9b973974289c2960a0&oe=5515F160&__gda__=1427481009_09361a75595a0fba5f6bdb82951a68d9"
"Eastwind Martial Arts Academy","http://www.eastwindacademy.com","ewa@widomaker.com","1635 G Street","Merced",95340,"209-723-1358","Our specially tailored Youth curriculum builds a solid foundation in martial arts skills, while emphasizing the values of self discipline, respect, confidence and self-esteem.",,5,18,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/eastwindma","N","http://www.eastwindacademy.com/Graphics/ewa_logo.gif","http://www.eastwindacademy.com/Images/test/kids0308/photo1.jpg"
"San Francisco Aikikai","http://www.sfaikikai.com","sfaikikai@gmail.com","1625 Bush Street Suite 4","San Francisco",94109,"415-775-3593","From basic hanmi stances, rolling, different entry movements, striking and coordination of their bodies, the students will learn how to incorporate all of these components into practicing several different techniques. They will also learn how to respect each other, focus during class, and gain self-discipline and confidence in a fun and safe environment.",,6,18,"YES",,,"Martial Arts",,,,50,"per_month",,"https://www.facebook.com/sfaikikai","N",,"https://scontent-b-atl.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/993703_10151935220643033_1964687900_n.jpg?oh=3743b4c094e2a6b06bce45c5c5763cca&oe=54E1BDF5"
"Gracie Jiu-Jitsu Academy","http://www.gracieacademy.com","marplemartialarts@hotmail.com","3515 Artesia Blvd","Torrance",90504,"310-353-4100","Gracie Bullyproof is a confidence and character development program for kids and has been proven as an effective countermeasure to bullying as seen on:",,5,13,"YES","YES",,"Martial Arts",,,,,,"phone","https://www.facebook.com/GracieAcademy","Y","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/542997_10150685358214076_2123938700_n.jpg?oh=dbbfbad023d13db28b803d447eab63df&oe=551D99D4&__gda__=1428036059_07826b497d9ddc76960610a5eceb3451","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/413478_10150685350144076_2058008711_o.jpg"
"Family Martial Arts of America","http://www.fmaakarate.com","fmaamartinez@aol.com","835 Arnold Drive Suite 106","Martinez",94553,"925-370-6000","FMAA classes are geared toward the student’s age and physical fitness level.  Although we specialize in traditional karate-dō, FMAA instructors are well versed in many aspects of martial arts, including tournament sport karate, judō, and jujutsu.  All techniques are taught with real world, practical application in mind.  Whether it’s knowing how to take a fall to minimize injury, or boosting your confidence that you can defend yourself or your family, FMAA instructors work diligently to provide you with a realistic understanding of the art.",,5,18,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/FMAAKarate","N","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/543433_533543646659438_66223046_n.jpg?oh=259286fd6e1f5017fc67a9ef72e002da&oe=54E53418&__gda__=1424042367_fc5bce332aa2dcdacafe8d62d8bb6249","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/481125_510756178938185_286383808_n.jpg?oh=4eb5cf398eb25131ce34acf83530cd23&oe=551E7B6D"
"American School of Martial Arts","http://www.kungfukarate.com","kungfuinfo@aol.com","844 W. Palmdale Blvd","Palmdale",93551,"661-265-8664","Our children’s programs are second to none. We teach our students using a basic philosophy of positive reinforcement to build self-esteem, confidence, discipline, positive attitudes and values. We realize that although the ability to defend oneself is important, there are many additional benefits to be gained by involving a child in a martial arts program. (",,4,18,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/martialartsburbank","N","http://www.kungfukarate.com/images/logo.jpg","http://www.kungfukarate.com/wp-content/uploads/2007/08/img_18401.jpg"
"California Academy of Martial Arts","http://kungfuwingchun.com",,"521A N. Hollywood Way","Burbank",91505,"818-843-7916","Here at California Academy of Martial Arts, we teach children through Kung Fu to become confident, disciplined leaders and top-notch martial artists.",,3,13,"YES",,,"Martial Arts",,,,,,"online","https://www.facebook.com/burbankwingchun","Y","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c2.0.160.160/p160x160/1527079_10151734458820876_966330833_n.jpg?oh=9aaab38091eb0b8246c705cd186308fe&oe=54DC4E2D&__gda__=1423181678_90fd88de1f5a80e2d65536db321a86b7","http://i2.wp.com/www.kungfuwingchun.com/wp-content/uploads/2014/06/kids-kicking-kung-fu-1024x576.jpg?resize=533%2C299"
"United Studios of Self Defense","http://ussd.com","ussd4sranch@gmail.com","10449 Reserve Drive","San Diego",92127,"858-674-9757","Martial Arts training at USSD is not just about physical fitness or self-defense. Our students develop a range of skills that enable them to succeed in all areas of life. This is particularly important for children, who need the guidance and support of parents and others to develop the skills they need to become capable and balanced adults. Along with improved coordination, flexibility, strength, and endurance, our students develop better concentration skills, a sense of calmness, and a deep respect for themselves and others, in an environment where the camaraderie created by shared challenges creates a sense of trust and a recognition of individual achievement. Students advance at their own pace, without the pressure that is often such a part of team sports.","CA",4,18,"YES",,,"Martial Arts",,,,,,"online","https://www.facebook.com/USSDHQ","Y","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/421022_232315433519696_702255351_n.jpg?oh=793bb6e501b15614bbfe40a794c7dbe4&oe=550C8C11","http://ussd.com/wp-content/uploads/2014/09/web_title.png"
"Jun Chong Tae Kwon Do Studio","http://www.junchongtkd.com/index.php","junchong411@gmail.com","6340 Wilshire Blvd","Los Angeles",90048,"323-658-7570","Grandmaster Chong has taught Tae Kwon Do and Hapkido for over 35 years and his system has proven to be an excellent all around method of teaching martial arts and promoting health and self-confidence.. Our goals in teaching martial arts are simple but essential to the way of life:","CA",5,10,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/jun.chong","N","http://s3-media2.fl.yelpcdn.com/bphoto/EzoSiCc4SDN4Q80CFLOGTA/ls.jpg","http://www.junchongtkd.com/images/about_pic2.jpg"
"A. Brantley's Revolution Training and Martial Arts","http://www.fairfieldmartialarts.com","Info@MartialArtsInFairfield.com","4670 B Central Way","Fairfield",94534,"707-429-3744","Revolution Training and Martial Arts has been consistently teaching and training students since 1996. We teach students of all ages and abilities. We start at Pre-School and Kindergarten (3 1/2 - 6) with a curriculum designed especially for that age group (little guys don't go to the same class as teenagers). We continue with programs specifically for Elementary, Jr. High and High School, as well as College age through adults. We certainly hope you'll give us a call and come in and give a class a try. Please select the program below that interests you and your family and read a bit more. As always, we invite you to try a class at no charge and experience the revolution for yourself!","CA",4,18,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/pages/Revolution-Training-Martial-Arts/130755586980807?sk=timeline","N","https://pbs.twimg.com/profile_images/489227957605380099/weVVCRJt.png","http://www.fairfieldmartialarts.com/images/purestock_1574r-04371.medium.jpg"
"Santa Clarita Karate","http://www.laurinshorinjiryu.com/contact.htm","sckarate@msn.com","27737 Bouquet Canyon Road","Santa Clarita",91350,"661-296-0911","The Santa Clarita Karate school is able to boast a 4,000 square foot Dojo, 350 students, and unlimited/unrestricted class attendance.  Students can attend as many as 6 classes per day, 30 classes/week.  Your mind is your only limitation to learning.","CA",3,18,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/santaclarita.karate?fref=ts","N","http://www.laurinshorinjiryu.com/images/Patch.gif","http://www.laurinshorinjiryu.com/images/31611.jpg"
"Old Dragon Kung Fu",,"olddragonkungfu@aol.com","3320 E. Mission Ave","Oceanside",92058,"760-470-4998","Old Dragon Kung Fu is a Martial Arts School offering Karate, Krav Maga, Silat, Kung Fu San Soo & Water Boxing classes in Oceanside, CA for kids, men and women. Old Dragon Kung Fu is Located at 3320 Mission Ave..","CA",5,,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/olddragonkungfu","N","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/155735_1483534748542899_6253564184733968269_n.jpg?oh=026b7e67b685af085ee27373f8489cc2&oe=54DEF21A&__gda__=1423976743_afc404dd13264044b397c8a72ea68144","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/155735_1483534748542899_6253564184733968269_n.jpg?oh=026b7e67b685af085ee27373f8489cc2&oe=54DEF21A&__gda__=1423976743_afc404dd13264044b397c8a72ea68144"
"Macomber Martial Arts","http://www.macomberkarate.com/programs.html","Macomber.David@macomberkarate.com","5950 Hollister Ave","Goleta",93117,"805-683-6617","At Macomber Karate, we are dedicated to assisting parents guide children to their goals. Regardless of a child's athletic aptitude, the martial arts teaches kids that, through their own effort (plus a good helping of positive reinforcement), they can become everything they want to be.","CA",4,18,"YES",,,"Martial Arts",,,,29.99,"per_month","phone","https://www.facebook.com/pages/Macomber-Karate/380220695442414","N","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/1380226_380226442108506_2073003778_n.jpg?oh=6e34839d4f3db19dbff5020670c95e16&oe=5517B4A9","http://www.macomberkarate.com/media/bbtesting/bbgraduates.jpg"
"Studio Naga Indonesian Martial","http://www.studionaga.com/about-us","info@studionaga.com","5850 San Pablo Ave","Emeryville",94308,"510-652-6242","Studio Naga martial arts promote confidence, coordination and discipline in a safe - FUN! - and caring environment. Our instructors are qualified martial arts instructors, and over half are certified elementary school teachers in the East Bay. We offer a high instructor to student ratio and stress peer support, leadership and cooperation.","CA",3,18,"YES","YES","YES","Martial Arts",,,,99,"per_month","online","https://www.facebook.com/StudioNaga?ref=ts","N","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/31430_112789975432344_3315304_n.jpg?oh=8e15603a4173a9b89b696c592c8ccb23&oe=55174148","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/t31.0-8/c0.102.851.315/p851x315/1926189_744982665546402_1339029848_o.jpg"
"US Tae Kwon Do Karate Center","http://www.ahnsustaekwondo.com/about.htm","ahnsustaekwondo@gmail.com","9915 Paramount Blvd","Downey",90240,"562-928-1177","In our daily practice, both in adult classes and in children's classes, we practice to become stronger physically and emotionally. Self-improvement will come through exploring self-awareness, which leads to self-confidence. By becoming aware of your mental and physical stages, and through the techniques of Taekwondo, one is able to overcome weakness. And, finally, the workouts of U.S. Taekwondo provide a framework to channel stress, reduce aggressions, increase stamina, reduce back and joint problems, and maintain a healthy appearance.","CA",4,18,"YES",,,"Martial Arts",,,,,,"phone",,,"http://www.ahnsustaekwondo.com/images/globalbanner.jpg","http://www.ahnsustaekwondo.com/images/noobGallery/gallery_01.jpg"
"Z-Ultimate Self Defense Studio","http://zultimate.com","orangehills@zultimate.com","8534 E. Chapman Ave","Orange",92869,"714-538-0300","Our Martial Arts for Children develop these fundamental values in a safe, family environment that supplies the structure needed for children to grow and mature, all under the leadership of their Sensei. Coming to their private and group classes and training consistently in the martial arts helps develop these key values and characteristics, which carries over to home and school","CA",3,15,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/ZUSDS","Y","https://scontent-b-atl.xx.fbcdn.net/hphotos-xaf1/t31.0-8/s960x960/10275564_886144361398243_428530535741683205_o.jpg","http://zultimate.com/wp-content/uploads/2011/12/ZU13_Web_FrontSlider_Children-no-button.jpg"
"Infinte Jiu Jitsu","http://www.infinitejiujitsu.net","infinitejiujitsu@gmail.com","6508 Lonetree Blvd","Rocklin",95765,"916-410-9340","Kids Jiu jitsu  teaches: self-defense (Bully proofing), Confidence, Awareness, Respect, Critical thinking (making the right decision), social awareness, while getting a great workout and having fun","CA",4,18,"YES",,,"Martial Arts",,,,65,"per_month","phone","https://www.facebook.com/InfiniteJiuJitsu","Y","https://scontent-a-atl.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/484833_423589161051811_1478634171_n.jpg?oh=686b55386e77a4c8772058cf6559843a&oe=5511BC06","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xaf1/t31.0-8/10001218_630792576998134_5800678133983201053_o.jpg"
"American Martial Arts","http://www.stocktonkarate.com","Chris@shaolinkickboxing.com","6360 Pacific Ave #1","Stockton",95207,"209-952-4000","At the American Martial Arts Academy our students train with the best team of instructors, becoming the best martial arts practitioners. We have been a part of the Stockton Community for 19 years, consistently providing martial arts training to adults and kids and strive to support healthy living, confidence and well being.","CA",3,12,"YES",,,"Martial Arts",,,,,,"online","https://www.facebook.com/stocktonkarate","N","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/427972_325049767551005_9698648_n.jpg?oh=673f7ca8abd6d90866fa609854b74855&oe=54D28882&__gda__=1423423397_913a8a0eaeb11535728962d6f3295b54","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/p417x417/10620586_715485481840763_3890927089240310215_n.jpg?oh=ce35fb9a633e4a75fb0f249ab2a20f41&oe=54DB4E56&__gda__=1424299953_a89fc0205c7c5d366df9619eb8cd7f76"
"Yucca Valley Martial Arts",,"www.facebook.com/kyokushinkarate","58967 Business Center drive","Yucca Valley",92284,"760-702-0055","At Yucca Valley Martial Arts (Kyokushin Karate) Our Dojo is the premier martial arts school. Our Instructors are certified Blackbelts guiding individuals from all walks of life from youth to adults to reach their full potential. The curriculum at our dojo is a unique blend of Kyokushin Karate and Aiki-Jujitsu and places strong emphasis on valuable life skills such as perseverance, focus and self-discipline. The result: As students learn highly effective self defense techniques, they experience new levels of confidence and empowerment.","CA",,,,,,"Martial Arts",,,,,,,"https://www.facebook.com/pages/Yucca-Valley-Martial-Arts/180646155420869","N","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/558472_180646642087487_1294318458_n.jpg?oh=90360fe4af8ef66aa3ee0bc0e33a20c0&oe=551F83E3&__gda__=1427576599_5b771eec667f978f8765708e686c8982",
"Extreme Martial Arts","http://emacus.com","emacusa@yahoo.com","387 Magnolia Ave","Corona",92879,"951-734-3467","The aim of our school is to develop our students' Self-discipline, self-confidence, self-esteem, and self-defense skills. The desirable results are to build a healthy body, a healthy mind and a sound spirit. The benefits include a greater power of mental concentration, as well as a strong, flexible body.","CA",5,18,"YES",,,"Martial Arts",,,,,,,,,,
"Fusuikan Martial Arts Center",,,"2725 Myrtle Ave","Eureka",95501,"707-443-1725",,"CA",,,"YES","YES","YES","Martial Arts",,,,,,,"https://www.facebook.com/pages/Fusuikan-Martial-Arts-Center/117245144959993",,"https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/397866_353002948050877_894644225_n.jpg?oh=e9dd5e65745b72e00b016378c2ba9d1a&oe=5514697E&__gda__=1424034735_c4ccd2e2ea065ce6975b5c057ca5605e",
"Z-Ultimate Self Defense Studio","http://zultimate.com","orangehills@zultimate.com","12147 Ventura Blvd","Studio City",91604,"818-980-1809","Our Martial Arts for Children develop these fundamental values in a safe, family environment that supplies the structure needed for children to grow and mature, all under the leadership of their Sensei. Coming to their private and group classes and training consistently in the martial arts helps develop these key values and characteristics, which carries over to home and school","CA",3,15,"YES",,,"Martial Arts",,,,,,"phone","https://www.facebook.com/ZUSDS","Y","https://scontent-b-atl.xx.fbcdn.net/hphotos-xaf1/t31.0-8/s960x960/10275564_886144361398243_428530535741683205_o.jpg","http://zultimate.com/wp-content/uploads/2011/12/ZU13_Web_FrontSlider_Children-no-button.jpg"
"Tat Wong Kung Fu","http://www.tatwong.com/index.html","SF@hairsystemsinc.com","601 Clement Street","San Francisco",94118,"415-752-5555","Classes for children ages 4 and up, are organized by age and skill level and are offered at convenient times throughout the week and on weekends.Your child will develop concentration, confidence, discipline and respect, while building physical fitness, coordination, and self-defense skills in our safe, fun and positive environment.","CA",4,18,"YES","YES","YES","Martial Arts",,,,,,"online","https://www.facebook.com/pages/Tat-Wong-Kung-Fu-International/686380704759818?ref=br_rs","Y","https://scontent-a-atl.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1606892_686384044759484_849970600_n.png?oh=36dbb3ced726e51b76ca58a647e273e3&oe=5511CC6D","https://www.facebook.com/686380704759818/photos/pcb.804343119630242/804341569630397/?type=1&theater"
"Canyon Kajukenbo Martial Arts Institute","http://www.canyonkajukenbo.com","sigungrick@comcast.net","3419 Broadway Street","American Canyon",94503,"707-644-4740","Kids Classes at Canyon Kajukenbo Martial Arts Institute teach Discipline, Defense and Confidence. Our  Kids Classes at Canyon Kajukenbo Martial Arts Institute teach Discipline, Defense and Confidence. Our","CA",4,18,"YES","YES",,"Martial Arts",,,,,,"online","https://www.facebook.com/RMATC","N","https://scontent-a-atl.xx.fbcdn.net/hphotos-xap1/t31.0-8/1014904_631396870206844_402653715_o.jpg","https://scontent-a-atl.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/p417x417/1236234_657201300959734_1841978170_n.jpg?oh=e27cd8acac2aedacd10951ba3dbec37d&oe=54E5557B"
